level,id,parent_id,object_id,object_type,object_key,query_status,query_time,query_type,message,created_time,like_count,comment_count,error.message
1,2,1,23230437118_10160707425502119,data,data.*,fetched (200),13:03.2,Facebook:/<post-id>/comments,in fact many small farmers of bihar lost their profession and migrated to punjab as majdoor to sustain ....this reflects the dark side of farm bill,2020-12-14T16:32:36+0000,198,136,
1,3,1,23230437118_10160707425502119,data,data.*,fetched (200),13:03.2,Facebook:/<post-id>/comments,That’s the best example while privatization in agriculture sector won’t helps farmers.. Bihar is the example.. least developed state.. still under povert.,2020-12-14T15:12:12+0000,138,81,
1,4,1,23230437118_10160707425502119,data,data.*,fetched (200),13:03.2,Facebook:/<post-id>/comments,"modi wants to make Punjab like Bihar, not going to happen, take the farm laws back",2020-12-14T15:06:43+0000,84,37,
1,5,1,23230437118_10160707425502119,data,data.*,fetched (200),13:03.2,Facebook:/<post-id>/comments,"Now the question of creditibilty of BJP govt... by poor implementation of NOTE ban, GST every thing. They are believing only stant not fundamental change of economy.",2020-12-15T08:43:56+0000,79,5,
1,6,1,23230437118_10160707425502119,data,data.*,fetched (200),13:03.2,Facebook:/<post-id>/comments,That is the reason Punjab farmers are rich and Bihar farmers are poor. Bihar farmers are selling paddy to private traders at half price of MSP,2020-12-14T17:26:33+0000,77,7,
1,7,1,23230437118_10160707425502119,data,data.*,fetched (200),13:03.2,Facebook:/<post-id>/comments,"Govt logic : Since, uplifting the Bihar's farmers is difficult, let us pull down the farmers in states where they are doing well. Let us make everyone's life equally miserable.   No wonder punjab farmer's are protesting.",2020-12-14T15:28:30+0000,49,4,
1,8,1,23230437118_10160707425502119,data,data.*,fetched (200),13:03.2,Facebook:/<post-id>/comments,No wonder poor farmers of bihar are migrant laborers ...not even welcomed back by fenkus dost  during crisis of lockdown.,2020-12-14T16:19:24+0000,30,5,
1,9,1,23230437118_10160707425502119,data,data.*,fetched (200),13:03.2,Facebook:/<post-id>/comments,"I think, we need to calm the situation down, and bridge the gap between govt and farmers, my humble request to the govt is to consider these suggestions- the govt should fix msp for private players too with increment of prices May b periodic, and please do not give the remote control of private mandies in hands of state govt, they will exploit the farmers by with heavy taxes, in both cases the farmers hv to pay tax, then there won’t be any meaning for govt’s zero tax thing on mandies, just a quick question, can we check the feasibility of zero taxes on all mandies and implement it?? I hope the govt will consider these suggestions after checking the feasibility of these suggestions. Let’s pass on the benefits to the farmers. I hope these suggestions help them,",2020-12-15T03:29:23+0000,25,5,
1,10,1,23230437118_10160707425502119,data,data.*,fetched (200),13:03.2,Facebook:/<post-id>/comments,Pls share the rates at which private players buy wheat from Bihar farmers despite MSP of rs. 1975! Bihar farmers are at mercy of private players and are offered half the price of MSP(no protection in the new law for farmers). Basically the government wants to half the income of punjab farmers?,2020-12-15T07:12:33+0000,26,4,
1,11,1,23230437118_10160707425502119,data,data.*,fetched (200),13:03.2,Facebook:/<post-id>/comments,"This govt should run a saas bahu show, governance is just not their thing. #WeUnitedForFarmers ",2020-12-14T15:25:13+0000,16,1,
1,12,1,23230437118_10160707425502119,data,data.*,fetched (200),13:03.2,Facebook:/<post-id>/comments,And don't forget to add Bihar is the least developed state while Punjab is far better... Modi wants to ruin the farmers for his BFF Adani... ,2020-12-14T14:59:18+0000,21,0,
1,13,1,23230437118_10160707425502119,data,data.*,fetched (200),13:03.2,Facebook:/<post-id>/comments,If you go by Govt logic Bihar farmers would have become the richest in the country. Irony is people from Bihar migrate to work as agricultural workers in Punjab.,2020-12-15T03:37:04+0000,84,14,
1,14,1,23230437118_10160707425502119,data,data.*,fetched (200),13:03.2,Facebook:/<post-id>/comments,"Farmers are farmers weather they are from panjab or hariyana or rajisthan!!   Godi media!!  Panjab farmers leading protest ???? , who should lead the protest RSS or bajrangdal!!   Farmers eating pizza ???? , may be Bhaktas don't like farmers eating pizza!!   Pakistan and chaina ???? ect.....  Bangladesh had better economic growth than India",2020-12-15T05:22:15+0000,10,0,
1,15,1,23230437118_10160707425502119,data,data.*,fetched (200),13:03.2,Facebook:/<post-id>/comments,"Every state has different geographical area and different scenarios and cost of land NCR,delhi, punjab,haryan farmers rich instead other state because of that area higher land cost in cores.",2020-12-14T15:18:50+0000,7,8,
1,16,1,23230437118_10160707425502119,data,data.*,fetched (200),13:03.2,Facebook:/<post-id>/comments,How Indian media india today and other godi media is portraying the protest,2020-12-15T08:25:30+0000,7,3,
1,17,1,23230437118_10160707425502119,data,data.*,fetched (200),13:03.2,Facebook:/<post-id>/comments,Outcome of ending APMC Mandi & MSP ????,2020-12-16T16:23:15+0000,7,3,
1,18,1,23230437118_10160707425502119,data,data.*,fetched (200),13:03.2,Facebook:/<post-id>/comments,It clears that Punjab Farmers will be more effected than other State Farmers because of these 3 Farm Bills...   Their fears has logic & reasons..   when they don't want to sell their produce to Private & instead more interested to sell it Govt Agency & Mandi then why do we force them?  ,2020-12-14T16:05:35+0000,4,2,
1,19,1,23230437118_10160707425502119,data,data.*,fetched (200),13:03.2,Facebook:/<post-id>/comments,"Seen few videos of Bihar and jharkand farmers,where adani took thier land with force !If someone doesn’t want to sell thier land why to force them !even adani registerd the company’s in Punjab last year also !but they are on wrong place!how Punjabi’s won the war against British 1907 under the leadership of sardar ajit singh (uncle of bhagat Singh)on farm bills after 9months !Seen few people reading the books of bhagat singh there ????,so it won’t take 9months !!",2020-12-15T06:39:25+0000,5,6,
1,20,1,23230437118_10160707425502119,data,data.*,fetched (200),13:03.2,Facebook:/<post-id>/comments,Are farmer protests today based on data from 2013 ?? curious ??,2020-12-18T06:49:44+0000,3,0,
1,21,1,23230437118_10160707425502119,data,data.*,fetched (200),13:03.2,Facebook:/<post-id>/comments,The reason why Bihar's farmers has the lowest income in our country.,2020-12-16T11:42:56+0000,3,0,
1,22,1,23230437118_10160707425502119,data,data.*,fetched (200),13:03.2,Facebook:/<post-id>/comments,,2020-12-14T16:05:52+0000,5,2,
1,23,1,23230437118_10160707425502119,data,data.*,fetched (200),13:03.2,Facebook:/<post-id>/comments,,2020-12-15T02:46:43+0000,2,2,
1,24,1,23230437118_10160707425502119,data,data.*,fetched (200),13:03.2,Facebook:/<post-id>/comments,What is the  % of suicidal cases in Bihar belonging to farmers' family...,2020-12-18T17:15:06+0000,0,0,
1,25,1,23230437118_10160707425502119,data,data.*,fetched (200),13:03.2,Facebook:/<post-id>/comments,Central government should procure wheat and rice from all the states. It is a partiality of Central govt giving favour to the state of Punjab only.Other state should raise the issue. Punjab farmers are scared to loose the privilege given to them by Central government.,2020-12-15T06:45:23+0000,2,1,
1,26,1,23230437118_10160707425502119,data,data.*,fetched (200),13:03.2,Facebook:/<post-id>/comments,Punjab growth rate was not  even 6 percent Condition of bihar's agriculture sector is improving because of these laws   Media houses are the biggest perpeutater of lies & fake information,2020-12-17T09:03:24+0000,0,5,
1,27,1,23230437118_10160707425502119,offcut,,fetched (200),13:03.2,Facebook:/<post-id>/comments,,,,,
1,28,1,23230437118_10160707425502119,headers,,fetched (200),13:03.2,Facebook:/<post-id>/comments,,,,,
1,29,1,23230437118_10160707425502119,data,data.*,fetched (200),13:03.7,Facebook:/<post-id>/comments,"This stat is from India Today Group, I think Bhagats can rely on it and compare the lifestyle of farmers of Punjab and Bihar...",2020-12-17T13:22:58+0000,1,1,
1,30,1,23230437118_10160707425502119,data,data.*,fetched (200),13:03.7,Facebook:/<post-id>/comments,It means what i said earlier is right that the farmers of the rest of the country was cheated for the only punjabi Farmer. Please collect the data that shows how much govt. agencies and cold storage are there in bihar.  You will find the Thug government only works for Punjab.,2020-12-19T01:17:27+0000,0,1,
1,31,1,23230437118_10160707425502119,data,data.*,fetched (200),13:03.7,Facebook:/<post-id>/comments,Thats shows how bad are local bodies with as of now.. with this new rules more power to them to exploit the farmers as much as they can.. bihar is prefect example. I will like to see gujrat and maharastra too.. where almost nil mandi system,2020-12-14T18:36:37+0000,1,0,
1,32,1,23230437118_10160707425502119,data,data.*,fetched (200),13:03.7,Facebook:/<post-id>/comments,,2020-12-15T02:46:30+0000,1,5,
1,33,1,23230437118_10160707425502119,data,data.*,fetched (200),13:03.7,Facebook:/<post-id>/comments,This is the exact reason why farmers in other regions are left at the mercy of private contractors,2020-12-18T13:18:56+0000,2,0,
1,34,1,23230437118_10160707425502119,data,data.*,fetched (200),13:03.7,Facebook:/<post-id>/comments,"If this is a solemn guarantee, why not incorporate it in law? Why not meet the farmers at the Singhu border and tell them this? Why not convene Parliament, assure the opposition and address the nation through its principal legislative forum? #MSPGuarantee   Link to tweet: https://twitter.com/ndtv/status/1339860083686051845?s=21",2020-12-18T15:26:54+0000,2,0,
1,35,1,23230437118_10160707425502119,data,data.*,fetched (200),13:03.7,Facebook:/<post-id>/comments,We know how the so called Private Players exploit the farmers by their own laws just as in private sector jobs don't follow the minimum wage for a skilled Engineer,2020-12-18T03:24:57+0000,0,0,
1,36,1,23230437118_10160707425502119,data,data.*,fetched (200),13:03.7,Facebook:/<post-id>/comments,One country two systems can be adopted . One farm law for Punjabi farmers and another for farmers of other states . Win win for all.,2020-12-14T19:51:29+0000,4,0,
1,37,1,23230437118_10160707425502119,data,data.*,fetched (200),13:03.7,Facebook:/<post-id>/comments,"Private or Govt. When farmers are given full freedom to sell their products where ever they like, whats the need to go on strike.? They can not demand that govt. must purchase their product and that too with a Minimum Support price.  India Today is colluding with opposition as usual.",2020-12-17T13:05:28+0000,0,4,
1,38,1,23230437118_10160707425502119,data,data.*,fetched (200),13:03.7,Facebook:/<post-id>/comments,One of the demand is MSP should be a law.  So that no one can buy less than MSP.  Government don't want to do it.,2020-12-19T03:19:59+0000,0,0,
1,39,1,23230437118_10160707425502119,data,data.*,fetched (200),13:03.7,Facebook:/<post-id>/comments,Modi has no clue what to do what not to do hes just know how divide and win elections be it gujrat wes Bengal etc  Population is skyrocketing   Most polluted cities are in India   Roads are jammed   Toll plazas  are jammed   Corruption is at peak   No congress leader has been arrested and prisoned for corruption   Even chautalas are out on bail because they are suporting BJP in Haryana  No solution on plastic problem garbage problem in India   Lakhs of cases pending in courts no change by modi in so many years   Bsnl  Air india  Govt cos in losses  ,2020-12-18T04:22:59+0000,2,0,
1,40,1,23230437118_10160707425502119,data,data.*,fetched (200),13:03.7,Facebook:/<post-id>/comments,And we know which farmer is more prosperous! Govt wants Punjab farmer to become like Bihar farmer! ,2020-12-16T07:18:33+0000,4,0,
1,41,1,23230437118_10160707425502119,data,data.*,fetched (200),13:03.7,Facebook:/<post-id>/comments,"Farmers all over India are watching farmers movement, waiting for the results,black laws should go.",2020-12-17T02:59:19+0000,1,1,
1,42,1,23230437118_10160707425502119,data,data.*,fetched (200),13:03.7,Facebook:/<post-id>/comments,Sing is king Punjab state freedom from bjp,2020-12-14T21:09:24+0000,4,0,
1,43,1,23230437118_10160707425502119,data,data.*,fetched (200),13:03.7,Facebook:/<post-id>/comments,Data on how many percent is sold on or above msp is more imp . And how is money bring transferred to each farmer via broker or online . Media is creating unwanted binary many times . In that case if  farmer's of Punjab live in a lala land with old law n msp .  Farmer of Punjab Suicides are more in number than bihar .,2020-12-17T15:01:02+0000,0,1,
1,44,1,23230437118_10160707425502119,data,data.*,fetched (200),13:03.7,Facebook:/<post-id>/comments,"To solve problem of surplus of agricultural production, we need to: Stop all agricultural food and agriculture industrial imports. It will lead to cultivation of all agricultural import substitue in India.  Import substitutes cultivation will consume land of Punjab/Harayana and other parts of india.  This will reduce surplus rotting in FCI godowns. Market price may increase higher than MSP. The examples of food import substitutes are, cooking oil, aphrodisiac (hing ) etc. Punjab can easily grow sunflower, to produce sunflower oil. Other cooking oil grains can be cultivated. India imports very large amounts of cooking oil, which can be easily imported substituted.  Farmers may decide to cultivate these, since it's a guaranteed market.  Industrial agricultural import substitutes are, wood to produce paper, furniture wood, eucalyptus, bamboo for agarbathi rawmaterial, aromatic plants, etc.   Also we can grow ayurvedic plants, silver oak, teak wood, mohogony, sandal wood & others. Flower exports has to be incentivised.  Bio fuel like Jatropa can be cultivated, it will be good for rural hotel & house kitchen fire. Farmers dependence on MSP will reduce. By chance if there is shortage if grains, it can be imported at subsidised price. Farmers can lobby for import ban of all agricultural food and non food imports. This is practical, cost-effective, easy to implement and economical measure. I solicit feedback.",2020-12-17T09:12:11+0000,0,0,
1,45,1,23230437118_10160707425502119,data,data.*,fetched (200),13:03.7,Facebook:/<post-id>/comments,Sir I have a question  1. than why people of Bihar don’t work in Bihar and go to other states for work !?  2. Why they don’t get good amount from there corporate mandi  ,2020-12-14T16:55:23+0000,2,2,
1,46,1,23230437118_10160707425502119,data,data.*,fetched (200),13:03.7,Facebook:/<post-id>/comments,Punjabis thriving on taxpayers money.....so is the pain to Badals.,2020-12-17T08:10:08+0000,0,4,
1,47,1,23230437118_10160707425502119,data,data.*,fetched (200),13:03.7,Facebook:/<post-id>/comments,What is the average subsidy to a Punjab farmer vis-a-vis Bihar farmer?,2020-12-15T02:18:16+0000,0,0,
1,48,1,23230437118_10160707425502119,data,data.*,fetched (200),13:03.7,Facebook:/<post-id>/comments,At least provide the current data..not of 2012-2013,2020-12-17T10:37:50+0000,1,0,
1,49,1,23230437118_10160707425502119,data,data.*,fetched (200),13:03.7,Facebook:/<post-id>/comments,Government and farmers should discuss the bills thoroughly clause by clause,2020-12-16T17:05:27+0000,0,1,
1,50,1,23230437118_10160707425502119,data,data.*,fetched (200),13:03.7,Facebook:/<post-id>/comments,Isn't this bias when it is Punjab have whopping amount of government money whereas Bihar least developed should get benefits,2020-12-19T03:04:54+0000,0,2,
1,51,1,23230437118_10160707425502119,data,data.*,fetched (200),13:03.7,Facebook:/<post-id>/comments,That's the reason bihar farmer selling wheat in 1200 quantel and Punjab farmers 2500 rs,2020-12-18T13:26:41+0000,0,0,
1,52,1,23230437118_10160707425502119,data,data.*,fetched (200),13:03.7,Facebook:/<post-id>/comments,It's worst case in Odisha in comparison to bihar,2020-12-18T09:40:22+0000,0,1,
1,53,1,23230437118_10160707425502119,data,data.*,fetched (200),13:03.7,Facebook:/<post-id>/comments,Can u please tell the nation about the condition of farmers in Bihar????,2020-12-19T02:58:51+0000,0,0,
1,54,1,23230437118_10160707425502119,offcut,,fetched (200),13:03.7,Facebook:/<post-id>/comments,,,,,
1,55,1,23230437118_10160707425502119,headers,,fetched (200),13:03.7,Facebook:/<post-id>/comments,,,,,
1,56,1,23230437118_10160707425502119,data,data.*,fetched (200),13:04.2,Facebook:/<post-id>/comments,,2020-12-15T02:46:33+0000,1,9,
1,57,1,23230437118_10160707425502119,data,data.*,fetched (200),13:04.2,Facebook:/<post-id>/comments,That's because your chacha Nitish abolished the APMC system in Bihar in 2005. Why don't you put it in the graphic as well?,2020-12-17T06:47:25+0000,1,0,
1,58,1,23230437118_10160707425502119,data,data.*,fetched (200),13:04.2,Facebook:/<post-id>/comments,Bihar rate last season 800rs/qtl  punjab rate 1800rs/qtl And modi ji wants to make punjab like bihar ... instead of bringing rate to swaminathen report he wants it to be half ... and GODIMEDIA and BHAKTS call farmers names ,2020-12-14T14:52:21+0000,32,34,
1,59,1,23230437118_10160707425502119,data,data.*,fetched (200),13:04.2,Facebook:/<post-id>/comments,Modi govt want to become Punjab farmers poor and helpless..... ,2020-12-17T09:14:30+0000,2,0,
1,60,1,23230437118_10160707425502119,data,data.*,fetched (200),13:04.2,Facebook:/<post-id>/comments,There is no kisan in bihar . Now they become majdoor Bihar kisan ko rate jo milta hai Dhan  : 900-1000 per quintile Makkah: 500 Gehu: 1000-1200 per quintile,2020-12-14T23:28:39+0000,1,0,
1,61,1,23230437118_10160707425502119,data,data.*,fetched (200),13:04.2,Facebook:/<post-id>/comments,Ha ha ..punjab is full of anti modi sentiment like Kerala and tamil nadu ..3 worst states in india,2020-12-14T16:49:17+0000,1,7,
1,62,1,23230437118_10160707425502119,data,data.*,fetched (200),13:04.2,Facebook:/<post-id>/comments,Because punjabi people are the teacher of agriculture and we are learning from them.support from Assam I m fro agriculture department ,2020-12-14T20:12:29+0000,4,10,
1,63,1,23230437118_10160707425502119,data,data.*,fetched (200),13:04.2,Facebook:/<post-id>/comments,We salute farmers  Now go for each & every national elections ,2020-12-17T06:45:22+0000,1,0,
1,64,1,23230437118_10160707425502119,data,data.*,fetched (200),13:04.2,Facebook:/<post-id>/comments,That's why Bihar is poorest,2020-12-16T15:25:02+0000,2,0,
1,65,1,23230437118_10160707425502119,data,data.*,fetched (200),13:04.2,Facebook:/<post-id>/comments,Bihar di agriculture household income nu Punjab agriculture household income  nal compare karlo.....bhakti band ho jayegi,2020-12-15T04:06:44+0000,1,0,
