level,id,parent_id,object_id,object_type,object_key,query_status,query_time,query_type,message,created_time,like_count,comment_count,error.message
0,1,None,23230437118_10160676511322119,seed,,,None,None,,,,,
1,2,1,23230437118_10160676511322119,data,data.*,fetched (200),25:15.9,Facebook:/<post-id>/comments,These people are supported by the Congress party that has nothing positive done since independence.  Today we are seeing a lot of  positive rules and laws that are helping the normal people in their future. There are too many  politicians that only create problems against the laws because these politicians are not making the money that always made...this is a shame.,2020-12-04T20:19:59+0000,60,50,
1,3,1,23230437118_10160676511322119,data,data.*,fetched (200),25:15.9,Facebook:/<post-id>/comments,"CAA NRC rioters and middlemen are masquerading as farmers. Once lathi charged, they will play victim card. Till then, they are veer",2020-12-04T20:05:10+0000,77,85,
1,4,1,23230437118_10160676511322119,data,data.*,fetched (200),25:15.9,Facebook:/<post-id>/comments,More power to our farmers??????they are the only one who can turn this communalist and fascist government around.,2020-12-04T21:13:36+0000,20,13,
1,5,1,23230437118_10160676511322119,data,data.*,fetched (200),25:15.9,Facebook:/<post-id>/comments,It is the duty of every Indian's to win this struggle.,2020-12-04T20:31:44+0000,12,0,
1,6,1,23230437118_10160676511322119,data,data.*,fetched (200),25:15.9,Facebook:/<post-id>/comments,"Media should telecast more about which particular points in farm bills are affecting farmers agitating there and what is reply of government for that. Instead of doing so, this issue is being created as a national problem without any logical understanding.",2020-12-05T01:04:15+0000,9,6,
1,7,1,23230437118_10160676511322119,data,data.*,fetched (200),25:15.9,Facebook:/<post-id>/comments,"Every one should support farmers. They are the people who are feeding nation. Not all the farmers are rich. 80% of the farmers have 2 to 5 acre of land which is their bread & butter. Central govt should pass a comprehensive bill which takes care of each & every farmers. Modi should leave his ego, come out of Adani & Ambani & look at the farmer's Interest.",2020-12-04T20:51:50+0000,12,1,
1,8,1,23230437118_10160676511322119,data,data.*,fetched (200),25:15.9,Facebook:/<post-id>/comments,Since May 27th 2014 our beautiful and heterogeneous India ????  has ben turned into an intollerant one. The so called 'New' India had no place for pluralism . Justice To Indian ???? Farmers ?? ???????. Indian Farmers ?? ????  are the real heroes of the economy ??????? Down with crony capitalists ?? ????????,2020-12-04T22:39:21+0000,6,1,
1,9,1,23230437118_10160676511322119,data,data.*,fetched (200),25:15.9,Facebook:/<post-id>/comments,"The Government will wait up to the revolt of Delhites  ,when their routin work &movement is affected! There’s already discontent among people for illegal blocking of public roads. The threats by agitaters & the displeasure of responsible citizens has lost sympathy of general public . The interference of foreign elements & the entry of anti nationals has discredited the the of stir! The proposed bund on 8th will further expose the hallowness of this sectarian political drama!",2020-12-04T21:15:07+0000,5,2,
1,10,1,23230437118_10160676511322119,data,data.*,fetched (200),25:15.9,Facebook:/<post-id>/comments,Punjab Farmers Fighting for whole Indian farmers if Government take Back these Bills .All Over India Farmers will get benefits not only Punjab.But some people don’t know even if everything will under corporate world.You guys can’t even imagine how much you will have to pay for groceries.,2020-12-06T00:24:17+0000,4,0,
