level,id,parent_id,object_id,object_type,object_key,query_status,query_time,query_type,message,created_time,like_count,comment_count,error.message
0,1,None,102527030797_10159348894700798,seed,,,None,None,,,,,
1,2,1,102527030797_10159348894700798,data,data.*,fetched (200),59:29.2,Facebook:/<post-id>/comments,"Sikh community, a symbol of love, kind and affection.",2020-11-27T16:03:48+0000,123,26,
1,3,1,102527030797_10159348894700798,data,data.*,fetched (200),59:29.2,Facebook:/<post-id>/comments,This community really landmarks the symbol of Humanity.,2020-11-28T04:47:30+0000,40,6,
1,4,1,102527030797_10159348894700798,data,data.*,fetched (200),59:29.2,Facebook:/<post-id>/comments,"The government has to understand the plight of both JAWAN and KISHAN....not make both stand against each other like enemies....the JAWANS are sons of some KISHAN only.....none of the JAWANS are sons of any beurocrats,,,, or politicians....industrialists....actors,,,, so, lets support both",2020-11-27T14:39:19+0000,29,4,
1,5,1,102527030797_10159348894700798,data,data.*,fetched (200),59:29.2,Facebook:/<post-id>/comments,Tehseen poonawala bda tumne bdi personality dundi hai jo quote kar rhe ho.  NDTV KA HAL WO HO GYA HAI KI JO MARZI KARLO PURANI HARKATON KE KARAN LGTA to nakli hai....  NDTV   . nakli journalism,2020-11-27T13:53:22+0000,12,25,
1,6,1,102527030797_10159348894700798,data,data.*,fetched (200),59:29.2,Facebook:/<post-id>/comments,"Don’t forget the Sikh Community is in the forefront in providing free langars world over selflessly, here the present govt. is denying them the right to protest against the unjust laws which hurts the farmers most. What a shameful govt. is this which tramples the giver.",2020-11-28T16:20:02+0000,19,0,
1,7,1,102527030797_10159348894700798,data,data.*,fetched (200),59:29.2,Facebook:/<post-id>/comments,"Respect... They are not protesting  against the security personnels , they are protesting against the government. And protest against the government doesn't mean they are against the country India... They knows the police man standing in front of them  with a water cannon is actually one of someone's  relative and he is just doing his duty..  Now think about sahinbag , Kashmir , Bengaluru , Delhi ..  It's not difficult to find the differences between the regional Sanatan dhram and a radicalised arabic Islamic philosophy...",2020-11-27T15:38:20+0000,17,0,
1,8,1,102527030797_10159348894700798,data,data.*,fetched (200),59:29.2,Facebook:/<post-id>/comments,"??? ?? ????????????? ????? 12% ?? ???? 0.6% ??? ???? ??? ?? ??? ?? ??? ????? ?? ??? ??, ????? #?????? ????? ??...",2020-11-27T17:52:51+0000,13,11,
1,9,1,102527030797_10159348894700798,data,data.*,fetched (200),59:29.2,Facebook:/<post-id>/comments,??  ?????  ??  ???????  ??  ??  ?????  ??????  ??  ????  ?????  ?? ????  ???? ????? ?? ?????? ????  ????  ????  ?????? ??? l,2020-11-27T15:05:47+0000,14,2,
1,10,1,102527030797_10159348894700798,data,data.*,fetched (200),59:29.2,Facebook:/<post-id>/comments,??????? ?? ??? ??? it ??? ??? ????  ???? ????? ????? ?????????? ?? ..,2020-11-27T19:42:29+0000,16,3,
1,11,1,102527030797_10159348894700798,data,data.*,fetched (200),59:29.2,Facebook:/<post-id>/comments,??????? ????? ????? ?? ?????? ?? ???? ???? ?? ??????? ???? ????? ??? ???? ??,2020-11-27T15:15:20+0000,13,0,
1,12,1,102527030797_10159348894700798,data,data.*,fetched (200),59:29.2,Facebook:/<post-id>/comments,"Farmers are there so we are... Without them, we're nothing...",2020-11-27T13:11:35+0000,10,0,
1,13,1,102527030797_10159348894700798,data,data.*,fetched (200),59:29.2,Facebook:/<post-id>/comments,"Humne Indira ko Thok diya, Modi ko bhi..."" What kind of #FarmerProtest is this? Who are these Farmers?",2020-11-27T14:24:17+0000,5,95,
1,14,1,102527030797_10159348894700798,data,data.*,fetched (200),59:29.2,Facebook:/<post-id>/comments,????? ?? ???? ???? ????? ??? ?? ???? ?? ????? ?? ???? ???? ??? ??? ?? ?????? ??????? ?? ???? ???? ???? ?? ?????? ?? ??? ??? ???? ?????? ??????? ??? ? ????,2020-11-29T15:51:04+0000,2,8,
1,15,1,102527030797_10159348894700798,data,data.*,fetched (200),59:29.2,Facebook:/<post-id>/comments,This is the love between two worthy son of this country. Farmers knows how to spread love for whole country men.This is the lovely moment form the protest.,2020-11-27T17:58:10+0000,1,0,
1,16,1,102527030797_10159348894700798,data,data.*,fetched (200),59:29.2,Facebook:/<post-id>/comments,This is epic response toward suppression  and I loved it ....very wise action.,2020-11-28T01:22:12+0000,1,0,
1,17,1,102527030797_10159348894700798,data,data.*,fetched (200),59:29.2,Facebook:/<post-id>/comments,Hitler police ko kisaan khana(Langar) khilate hoye.. i salute ????,2020-11-28T05:49:19+0000,6,0,
1,18,1,102527030797_10159348894700798,data,data.*,fetched (200),59:29.2,Facebook:/<post-id>/comments,??????? ????? ?????? ??? ?????????? ?? ?????? ?? ???? ???? ????????? ?? ??? ?????? ?? ?????? ?????? ? ????? ?? ?????? ?? ?? ?? ???????????? ?????? ????????? ?? ?? ?? ????? ?? ??? ???,2020-11-27T19:57:25+0000,1,14,
