level,id,parent_id,object_id,object_type,object_key,query_status,query_time,query_type,message,created_time,like_count,comment_count,error.message
0,1,None,23230437118_785237072421506,seed,,,None,None,,,,,
1,2,1,23230437118_785237072421506,data,data.*,fetched (200),20:58.0,Facebook:/<post-id>/comments,Police fired on farmers and bullets hit Farmer and lost control,2021-01-26T13:20:21+0000,9,9,
1,3,1,23230437118_785237072421506,data,data.*,fetched (200),20:58.0,Facebook:/<post-id>/comments,What has happened today cannot be undermined and it’s a lesson for the Government that the Khalistan referendum which was temporarily suspended in 2020 has indirectly revived after Red Fort incident .. camera visuals are with police .. now police should arrests all those who are part of incident .. innocents public and farmers should be spared..Govt should slap NSA act on all farm leaders those who are now hiding and try to pass blame .. such a shameless incident and that to be National Capital ..,2021-01-26T13:38:31+0000,2,0,
1,4,1,23230437118_785237072421506,data,data.*,fetched (200),20:58.0,Facebook:/<post-id>/comments,The Government has to withdraw the law. #FarmersProtest,2021-01-26T13:18:59+0000,7,5,
1,5,1,23230437118_785237072421506,data,data.*,fetched (200),20:58.0,Facebook:/<post-id>/comments,A shameful moment for the country on our Republic Day. This is nothing short of an act of war against the Indian Republic.,2021-01-26T13:19:52+0000,3,0,
1,6,1,23230437118_785237072421506,data,data.*,fetched (200),20:58.0,Facebook:/<post-id>/comments,Police fired on farmer head while he was driving Tractor .Therefore  tractor fell down,2021-01-26T13:22:16+0000,0,1,
1,7,1,23230437118_785237072421506,data,data.*,fetched (200),20:58.0,Facebook:/<post-id>/comments,Not only indians are watching farmers protest...World peoples are deeply watching...,2021-01-26T13:27:34+0000,1,2,
1,8,1,23230437118_785237072421506,data,data.*,fetched (200),20:58.0,Facebook:/<post-id>/comments,What does media think ?? medical ?? report in India can move from positive to negative and negative to positive...Made in INDIA ???? ,2021-01-26T13:31:17+0000,1,1,
1,9,1,23230437118_785237072421506,data,data.*,fetched (200),20:58.0,Facebook:/<post-id>/comments,Yes but Rajdeep Sardesai already posted he died due to police bullet wound :),2021-01-26T13:50:39+0000,0,0,
1,10,1,23230437118_785237072421506,data,data.*,fetched (200),20:58.0,Facebook:/<post-id>/comments,Who is behind the root cause of all these divisive acts ...  Who always milks his plots.,2021-01-26T13:31:31+0000,0,6,
1,11,1,23230437118_785237072421506,data,data.*,fetched (200),20:58.0,Facebook:/<post-id>/comments,And india today is busy in licking modis boots ????godi media ab toh sudarjao ..one day you guys are gonna pay for this ..,2021-01-26T13:40:06+0000,5,3,
1,12,1,23230437118_785237072421506,data,data.*,fetched (200),20:58.0,Facebook:/<post-id>/comments,When farmers law was done you’ll did not give in details... Media is running by government???,2021-01-26T13:28:25+0000,0,0,
1,13,1,23230437118_785237072421506,data,data.*,fetched (200),20:58.0,Facebook:/<post-id>/comments,"Its good that one terrorist disguising as farmer died when his tractor overturned. ""Karma""",2021-01-26T13:29:20+0000,3,7,
1,14,1,23230437118_785237072421506,data,data.*,fetched (200),20:58.0,Facebook:/<post-id>/comments,Police wale ne barcading ko dhakka diya h video m saaf dikh rha h,2021-01-26T13:25:02+0000,0,1,
1,15,1,23230437118_785237072421506,data,data.*,fetched (200),20:58.0,Facebook:/<post-id>/comments,?? ???????? ????? ?? ????...  ????? ?? ????? ?? ?? ??? ???,2021-01-26T13:17:04+0000,4,15,
1,16,1,23230437118_785237072421506,data,data.*,fetched (200),20:58.0,Facebook:/<post-id>/comments,police shoots they will pay..,2021-01-26T13:55:14+0000,0,0,
1,17,1,23230437118_785237072421506,data,data.*,fetched (200),20:58.0,Facebook:/<post-id>/comments,Total Govt.failure Home ministry failure  ?? ?? ?? ?? ??? ???????? ??? ??? ?? ????? ??? ???? ?????? ??? ?? ?? ????? ???? ??? ???? ?????? ?? ??? ??? ????? ???? ???? ?? ?? ?? ?? ??? ?? ???? ?? ?????? ???? ????? ?? ???????? ???? ??? ???????? ???? ???   ?? ????? ??? ?? ???? ??? ?????? ????? ?? ???? ???? ????? ?? ??? ??? ???? ????? ????? ?? ??? ?? ???   ?? ??????? ?? ???? ?? ?? ??? ?? ?? ??????? ?? ?????? ?? ?????? ?? ?? ???????? ?? ???? ?? ???????? ?? ??? ??? ?? ????? ?????? ??? ?? ?? ?? ?????? ?? ???? ???? ?? ???????? ?? ?????? ??  ?? ???? ?????,2021-01-26T13:46:31+0000,0,0,
1,18,1,23230437118_785237072421506,data,data.*,fetched (200),20:58.0,Facebook:/<post-id>/comments,The government is afraid of taking action for the fear of losing votes! They did the same during caa protests! Why send policemen to be thrashed by the mob?! Police should withdraw and let the protesters wreak havoc in Delhi instead ??,2021-01-26T16:07:19+0000,0,0,
1,19,1,23230437118_785237072421506,data,data.*,fetched (200),20:58.0,Facebook:/<post-id>/comments,And some.one called india today report as b....k ????,2021-01-26T13:41:45+0000,0,1,
1,20,1,23230437118_785237072421506,data,data.*,fetched (200),20:58.0,Facebook:/<post-id>/comments,Bc police kya kar raha hain you guys supposed to lead farmer bhenkichut,2021-01-27T08:43:46+0000,0,0,
1,21,1,23230437118_785237072421506,data,data.*,fetched (200),20:58.0,Facebook:/<post-id>/comments,Heard bullet has been fired in his head As reported by india today,2021-01-26T13:35:05+0000,0,5,
1,22,1,23230437118_785237072421506,data,data.*,fetched (200),20:58.0,Facebook:/<post-id>/comments,Cops may be used sniper shot who knows???????,2021-01-26T14:34:34+0000,0,0,
1,23,1,23230437118_785237072421506,data,data.*,fetched (200),20:58.0,Facebook:/<post-id>/comments,Not dead he gets what he deserves . Karma hits back,2021-01-26T13:18:35+0000,3,0,
1,24,1,23230437118_785237072421506,data,data.*,fetched (200),20:58.0,Facebook:/<post-id>/comments,driver ? then its actually good,2021-01-26T14:16:51+0000,0,0,
1,25,1,23230437118_785237072421506,data,data.*,fetched (200),20:58.0,Facebook:/<post-id>/comments,????? ?? ??? ??? ?? ???? ???? ??? ??? ?? ?? ????,2021-01-26T13:34:01+0000,0,0,
1,26,1,23230437118_785237072421506,data,data.*,fetched (200),20:58.0,Facebook:/<post-id>/comments,"On left side, u can find cops. May police fired and he lost his control. ",2021-01-26T14:06:57+0000,0,0,
1,27,1,23230437118_785237072421506,offcut,,fetched (200),20:58.0,Facebook:/<post-id>/comments,,,,,
1,28,1,23230437118_785237072421506,headers,,fetched (200),20:58.0,Facebook:/<post-id>/comments,,,,,
1,29,1,23230437118_785237072421506,data,data.*,fetched (200),20:58.6,Facebook:/<post-id>/comments,Police ke karan mar gaye,2021-01-26T18:48:39+0000,0,0,
1,30,1,23230437118_785237072421506,data,data.*,fetched (200),20:58.6,Facebook:/<post-id>/comments,Kashmirio pr zulm dhahany waly Aaj Laal Qila bacha nahi Saky.....,2021-01-26T13:34:46+0000,0,3,
1,31,1,23230437118_785237072421506,data,data.*,fetched (200),20:58.6,Facebook:/<post-id>/comments,,2021-01-26T13:16:40+0000,1,2,
1,32,1,23230437118_785237072421506,data,data.*,fetched (200),20:58.6,Facebook:/<post-id>/comments,,2021-01-26T13:31:28+0000,1,1,
1,33,1,23230437118_785237072421506,data,data.*,fetched (200),20:58.6,Facebook:/<post-id>/comments,This is how BJP loves National Flag??,2021-01-26T20:35:21+0000,0,0,
1,34,1,23230437118_785237072421506,data,data.*,fetched (200),20:58.6,Facebook:/<post-id>/comments,,2021-01-26T13:27:33+0000,2,2,
1,35,1,23230437118_785237072421506,data,data.*,fetched (200),20:58.6,Facebook:/<post-id>/comments,,2021-01-26T13:17:52+0000,0,0,
1,36,1,23230437118_785237072421506,data,data.*,fetched (200),20:58.6,Facebook:/<post-id>/comments,,2021-01-26T14:33:26+0000,0,0,
1,37,1,23230437118_785237072421506,data,data.*,fetched (200),20:58.6,Facebook:/<post-id>/comments,,2021-01-26T13:22:27+0000,0,0,
1,38,1,23230437118_785237072421506,data,data.*,fetched (200),20:58.6,Facebook:/<post-id>/comments,,2021-01-26T13:33:30+0000,0,0,
1,39,1,23230437118_785237072421506,data,data.*,fetched (200),20:58.6,Facebook:/<post-id>/comments,,2021-01-27T05:41:11+0000,0,0,
1,40,1,23230437118_785237072421506,data,data.*,fetched (200),20:58.6,Facebook:/<post-id>/comments,,2021-01-26T14:27:05+0000,0,0,
1,41,1,23230437118_785237072421506,data,data.*,fetched (200),20:58.6,Facebook:/<post-id>/comments,,2021-01-26T14:15:19+0000,0,2,
1,42,1,23230437118_785237072421506,data,data.*,fetched (200),20:58.6,Facebook:/<post-id>/comments,"Now it's clear Pak influenced khalisthanis , leftist ,  nuxals and some anti national political parties are the master mind of that barbaric attack on our beloved country  #WEAREWITHINDIA #JAIHIND???? BHARAT MATA KI JAI ????",2021-01-26T13:39:57+0000,1,0,
