"level";"id";"parent_id";"object_id";"object_type";"object_key";"query_status";"query_time";"query_type";"message";"created_time";"like_count";"comment_count";"error.message"
"0";"1";"None";"23230437118_10160659031767119";"seed";"";"";"None";"None";"";"";"";"";""
"1";"2";"1";"23230437118_10160659031767119";"data";"data.*";"fetched (200)";"2021-10-05 10:15:29.950608";"Facebook:/<post-id>/comments";"No Minister is allowed to work. Only RSS official posted in PMO to deal with each and every issues in all ministries. That is why Agricultural Minister is missing here. This thing happens in all ministries.";"2020-11-29T03:08:33+0000";"55";"50";""
"1";"3";"1";"23230437118_10160659031767119";"data";"data.*";"fetched (200)";"2021-10-05 10:15:29.950608";"Facebook:/<post-id>/comments";"As a democratic movement its leadership should discuss any suggestion put forward by the authorities. In my opinion, however, the movement should reject the demand that the protest should be confined to certain designated places approved by government. No, that's not the way protests should take place. Moreover, they have been protesting for weeks far away from Delhi. These very same authorities never had time to discuss it then. Farmers should go ahead demanding their right to protest at Jantar Mantar.";"2020-11-29T03:08:42+0000";"10";"1";""
"1";"4";"1";"23230437118_10160659031767119";"data";"data.*";"fetched (200)";"2021-10-05 10:15:29.950608";"Facebook:/<post-id>/comments";"If govt were really concerned, they should have been on table on discussion by now, putting conditions and dragging matter shows their ill intentions ";"2020-11-29T03:51:42+0000";"5";"0";""
"1";"5";"1";"23230437118_10160659031767119";"data";"data.*";"fetched (200)";"2021-10-05 10:15:29.950608";"Facebook:/<post-id>/comments";"Farmers should go to jantar mantar. This is the same govt. that did not pay any attention to their demands and forced them to come to Delhi. They are Anndata. Our sympathies are with them.";"2020-11-29T03:40:04+0000";"3";"5";""
"1";"6";"1";"23230437118_10160659031767119";"data";"data.*";"fetched (200)";"2021-10-05 10:15:29.950608";"Facebook:/<post-id>/comments";"Agri sector reforms is the need of the hour. It (through market forces)will ensure proper allocation of resources available in the agri sector. Challenge for the Govt is how to convince the farmers who will be the ultimate beneficiaries of the proposed agriculture reforms act.";"2020-11-29T04:54:20+0000";"1";"1";""
"1";"7";"1";"23230437118_10160659031767119";"data";"data.*";"fetched (200)";"2021-10-05 10:15:29.950608";"Facebook:/<post-id>/comments";"Agriculture minister is missing n home minister will try to convince them. Wah Finance minister was discussing abt health issues in Corona time. Strange ministry system 😂😂";"2020-11-29T03:33:53+0000";"1";"2";""
"1";"8";"1";"23230437118_10160659031767119";"data";"data.*";"fetched (200)";"2021-10-05 10:15:29.950608";"Facebook:/<post-id>/comments";"";"2020-11-29T04:00:45+0000";"0";"2";""
"1";"9";"1";"23230437118_10160659031767119";"data";"data.*";"fetched (200)";"2021-10-05 10:15:29.950608";"Facebook:/<post-id>/comments";"How much Indians have to suffer under this Govt, Don’t know?  Every time they (politicians) make laws, every time people are on streets...  What kind of laws this is which is never appreciated by general people?  Already public institutions are under sell now whether railway or Air services, people have lost jobs, economy under crisis, China & Nepal is threatening India..  Yet they are blind to see this all... Cheating, Fooling & Doing Frauds does not always work & now it seems that, people are been cheated on Ache Din Slogan...  Hope these dark days will not create more troubles for Indians...";"2020-11-29T03:45:46+0000";"9";"11";""
"1";"10";"1";"23230437118_10160659031767119";"data";"data.*";"fetched (200)";"2021-10-05 10:15:29.950608";"Facebook:/<post-id>/comments";"";"2020-11-29T04:06:49+0000";"1";"1";""
