level,id,parent_id,object_id,object_type,object_key,query_status,query_time,query_type,message,created_time,like_count,comment_count,error.message
0,1,None,23230437118_10160654682307119,seed,,,None,None,,,,,
1,2,1,23230437118_10160654682307119,data,data.*,fetched (200),28:25.4,Facebook:/<post-id>/comments,"Once agaon Punjab and only Punjab can bring a change in the country. They are really bold ,brave and bidrohi !",2020-11-27T16:15:10+0000,97,50,
1,3,1,23230437118_10160654682307119,data,data.*,fetched (200),28:25.4,Facebook:/<post-id>/comments,The agitating 'so called farmers' didn't know anything about farming but political workers engaged in creating disturbances in the country !,2020-11-27T17:32:13+0000,15,18,
1,4,1,23230437118_10160654682307119,data,data.*,fetched (200),28:25.4,Facebook:/<post-id>/comments,"Sardar has been very generous n helpful to muslims, during riots,  I request all our Muslim brothers to provide help to our  punjabi brothers with foods n shelters.",2020-11-27T17:05:15+0000,8,3,
1,5,1,23230437118_10160654682307119,data,data.*,fetched (200),28:25.4,Facebook:/<post-id>/comments,"In the times of British rule they concluded that Bengali are great writers and punjabi are great  fighters,so cut both hands of India",2020-11-27T17:20:19+0000,7,4,
1,6,1,23230437118_10160654682307119,data,data.*,fetched (200),28:25.4,Facebook:/<post-id>/comments,All farmer union should unite.There is no agriculture policy in India. Though India is an agriculture based Nation  ADANi is a bigger Dalal.Throw out Adani from Punjab. Why govt set a time for talk 3rd Dec. ?Why not tomorrow.Govt wants to give it a  different Color...just like Indira Gandhi. Now it's upto all Farmer unions in India...Be Unite...,2020-11-27T16:50:09+0000,6,2,
1,7,1,23230437118_10160654682307119,data,data.*,fetched (200),28:25.4,Facebook:/<post-id>/comments,Feku modi only growing his beard doing nothing for farmers ,2020-11-27T16:26:41+0000,18,6,
1,8,1,23230437118_10160654682307119,data,data.*,fetched (200),28:25.4,Facebook:/<post-id>/comments,let a punjab farmer send 500 t wheat or rice to a miller in the south....without any middleman........the new laws are there to protect them and if not then BJP will help them !! and a new dawn will arise in india! ,2020-11-27T18:12:17+0000,3,1,
1,9,1,23230437118_10160654682307119,data,data.*,fetched (200),28:25.4,Facebook:/<post-id>/comments,What a fine gesture. Only Sikh bhai can do this.,2020-11-27T16:51:48+0000,11,3,
1,10,1,23230437118_10160654682307119,data,data.*,fetched (200),28:25.4,Facebook:/<post-id>/comments,English media and opposition tried to instigate people over Abrogation of Article 370 but Modi Shaw combine managed to crush the move .. Again they tried to instigate people over CAA Modi Shaw combine managed neutralize them with some help from Corona .. now again English media and opposition doing same over Farm Bill..,2020-11-27T16:25:29+0000,4,9,
