level,id,parent_id,object_id,object_type,object_key,query_status,query_time,query_type,message,created_time,like_count,comment_count,error.message
0,1,None,23230437118_10160413425007119,seed,,,None,None,,,,,
1,2,1,23230437118_10160413425007119,data,data.*,fetched (200),13:35.7,Facebook:/<post-id>/comments,They don't seem like farmers.. they are party workers.,2020-09-25T16:47:56+0000,0,0,
1,3,1,23230437118_10160413425007119,data,data.*,fetched (200),13:35.7,Facebook:/<post-id>/comments,"Looks like a group of out of work commies are protesting and I don't think they qualify to be labelled as ""farmers"". Even farmers have abandoned the Chinese party. ??",2020-09-25T11:40:00+0000,1,0,
1,4,1,23230437118_10160413425007119,data,data.*,fetched (200),13:35.7,Facebook:/<post-id>/comments,Those are not farmers bu 2% left supporters....????,2020-09-25T11:58:59+0000,1,0,
1,5,1,23230437118_10160413425007119,data,data.*,fetched (200),13:35.7,Facebook:/<post-id>/comments,Communist party is not farmer's of Odisha,2020-09-25T11:24:35+0000,1,0,
1,6,1,23230437118_10160413425007119,data,data.*,fetched (200),13:35.7,Facebook:/<post-id>/comments,These are Communist party people and not farmers.,2020-09-28T13:04:40+0000,0,0,
1,7,1,23230437118_10160413425007119,data,data.*,fetched (200),13:35.7,Facebook:/<post-id>/comments,Not only BJD,2020-09-26T07:52:02+0000,0,0,
1,8,1,23230437118_10160413425007119,data,data.*,fetched (200),13:35.7,Facebook:/<post-id>/comments,Inme se kisi Ko bhi puch lo farm bill kya hai... Koi nehi bol payega.... sab Ch*tiye...,2020-09-25T12:14:37+0000,0,0,
1,9,1,23230437118_10160413425007119,data,data.*,fetched (200),13:35.7,Facebook:/<post-id>/comments,Mera desh badalu raha hi public properties se Private properties tak.. farmers se leka corporates tak,2020-09-25T15:34:32+0000,0,0,
1,10,1,23230437118_10160413425007119,data,data.*,fetched (200),13:35.7,Facebook:/<post-id>/comments,,2020-09-25T12:18:59+0000,0,0,
1,11,1,23230437118_10160413425007119,data,data.*,fetched (200),13:35.7,Facebook:/<post-id>/comments,,2020-09-25T12:18:57+0000,0,0,
1,12,1,23230437118_10160413425007119,data,data.*,fetched (200),13:35.7,Facebook:/<post-id>/comments,Spineless Gang of persons without any plan & future. They can't even answer what is  the farm bill .God bless them????,2020-09-25T11:12:29+0000,1,7,
1,13,1,23230437118_10160413425007119,data,data.*,fetched (200),13:35.7,Facebook:/<post-id>/comments,"Those are not farmers at all , they are discarded left",2020-09-25T12:33:05+0000,0,0,
1,14,1,23230437118_10160413425007119,data,data.*,fetched (200),13:35.7,Facebook:/<post-id>/comments,,2020-09-25T12:07:24+0000,0,0,
1,15,1,23230437118_10160413425007119,data,data.*,fetched (200),13:35.7,Facebook:/<post-id>/comments,#support farmers,2020-09-25T11:31:20+0000,0,3,
1,16,1,23230437118_10160413425007119,data,data.*,fetched (200),13:35.7,Facebook:/<post-id>/comments,,2020-09-25T11:30:12+0000,2,0,
1,17,1,23230437118_10160413425007119,offcut,,fetched (200),13:35.7,Facebook:/<post-id>/comments,,,,,
1,2,1,23230437118_1260816547637890,data,data.*,fetched (200),16:46.6,Facebook:/<post-id>/comments,"India Today why are you asking only farmers as what they fear for, why you aren’t asking government as if they are in favour of keeping MSP system then what’s stopping them to give it written... Ask the government why these bills are snatching legal rights of farmer to go to court in case of fraud ? Ask the government as why commodities like onion potato were removed from essential commodities ? Ask the government what record they will have about purchaser who’s just purchasing on basis of pan card ? In case Adani’s Ambani’s commit fraud how come a SDM can deliver justice under arm twisting of these corporates ?  Have you got what it takes to question the government ?",2020-11-30T14:33:30+0000,17,23,
1,3,1,23230437118_1260816547637890,data,data.*,fetched (200),16:46.6,Facebook:/<post-id>/comments,he is not able to answer pros and cons...and India Today has given him as if he is a great expert..so sad...,2020-11-30T14:12:37+0000,15,17,
1,4,1,23230437118_1260816547637890,data,data.*,fetched (200),16:46.6,Facebook:/<post-id>/comments,His argument has nothing to do with the 'Farm bill' but rather with the possibility that it can go wrong.  But what innovation doesn't posses that threat? Farmers woes have been surfacing since always in India so why not divert to a new road,2020-11-30T14:37:49+0000,10,10,
1,5,1,23230437118_1260816547637890,data,data.*,fetched (200),16:46.6,Facebook:/<post-id>/comments,Why are farmers only from Punjab Protesting ??,2020-11-30T14:11:17+0000,8,31,
1,6,1,23230437118_1260816547637890,data,data.*,fetched (200),16:46.6,Facebook:/<post-id>/comments,"The one going through the media can't be a farmer, if you wanna meet the real farmers go and see them working in the field... I can bet that this man hadn't gone to work in the field ever in his life.... Stop utilising the emotions of the farmers to get your illusory popularity...",2020-11-30T14:09:11+0000,8,16,
1,7,1,23230437118_1260816547637890,data,data.*,fetched (200),16:46.6,Facebook:/<post-id>/comments,It's a shortcut to fame at the cost of nation's interest. Swara bhaskar did it with NRC n this actor is trying with farmers. Y doesn't the govt arrest n jail such obviously irrelevant characters in an agitation .,2020-11-30T14:21:27+0000,7,12,
1,8,1,23230437118_1260816547637890,data,data.*,fetched (200),16:46.6,Facebook:/<post-id>/comments,New drama.... New Work for opition party..modi provides them work,2020-11-30T14:28:12+0000,7,4,
1,9,1,23230437118_1260816547637890,data,data.*,fetched (200),16:46.6,Facebook:/<post-id>/comments,Yes that you people want without knowing ABCD of the law. ,2020-11-30T14:11:13+0000,9,0,
1,10,1,23230437118_1260816547637890,data,data.*,fetched (200),16:46.6,Facebook:/<post-id>/comments,He doesn’t know anything! He is just utilising situation to get fame and name. There are many farmers who support this bill and why don’t you ask them questions? Here Akalidal and Congress is using illiterate farmers for their benefits! No South Indian farmers are opposing the bill. ,2020-11-30T14:30:40+0000,2,1,
1,11,1,23230437118_1260816547637890,data,data.*,fetched (200),16:46.6,Facebook:/<post-id>/comments,@ india today- check his background before titling him as voice of farmers. But you cant...,2020-11-30T14:36:48+0000,1,0,
1,12,1,23230437118_1260816547637890,data,data.*,fetched (200),16:46.6,Facebook:/<post-id>/comments,Farmers do understand that these new bills are not in their favor that’s why they have been protesting for months. Why government wants to do it if farmers don’t want it? ,2020-11-30T18:58:04+0000,1,1,
1,13,1,23230437118_1260816547637890,data,data.*,fetched (200),16:46.6,Facebook:/<post-id>/comments,"In haryana mandis are the structure made by govt. This is a system to help poor farmers as well rich farmers.in mandis ardti (middle man) work for 2 percent of his commissions in exchange he provide us services that need to be done before selling cleaning, packing, payment from purchaser and place to store our crops before selling. Second thing families which are rely only on farmering need financial need for upto 4 to 6 months( crop cycle). If any financial crisis and any unplanned thing happen to them they easily Can take their help as they are their clients in exchange of verbel security of next crop. So exploitation of farmers are happening in states with weak mandi system and bad govt purchase. Prices of every product depends on demand and supply. As u seen several time prices of vegetables and grans. Govt need to assure minimum support price in writing and maximum selling price also which will be a strong step to stop corporate monopoly as they have sell products made of farming in balances price",2020-12-04T16:23:43+0000,0,0,
1,14,1,23230437118_1260816547637890,data,data.*,fetched (200),16:46.6,Facebook:/<post-id>/comments,Why not you are showing that Delhi government already passed the kisan Bill,2020-11-30T16:40:04+0000,0,0,
1,15,1,23230437118_1260816547637890,data,data.*,fetched (200),16:46.6,Facebook:/<post-id>/comments,"No minority is safe in India, especially since the Narendra Modi government came to power",2020-11-30T15:48:12+0000,0,0,
1,16,1,23230437118_1260816547637890,data,data.*,fetched (200),16:46.6,Facebook:/<post-id>/comments,"Kyun 70 saal to desh da kissan garib ha? Kyun ki har mandi de 20-25 artiya de thale lagge hunde ne, puri jindgi ihna de baas aartiyaan di parchi te langh jandi ha.. huun je kuch apna karan da moka mill riya ha par ta vi kuch karna nahi chahunde.. actually gulami khoon ch aa chuki ha aartiya de thale lagan di. Eh koi kissan jathe bandiya nahi, bass aartiyaan de awaaz ha.",2020-11-30T15:00:08+0000,2,0,
1,17,1,23230437118_1260816547637890,data,data.*,fetched (200),16:46.6,Facebook:/<post-id>/comments,The problem is not the new bill as its being brought in for the good of farmers. The issue has been politically motivated,2020-11-30T16:33:34+0000,1,1,
1,18,1,23230437118_1260816547637890,data,data.*,fetched (200),16:46.6,Facebook:/<post-id>/comments,WTF! Are you serious? This new Farmers Bill is a FAILED BILL already been tried in modern first class countries like USA and Canada. How the F is this FAILED system of other countries gonna operate in such corrupted India lol ?? ??  I mean unless this was only designed for Ambani adani to benefit ?? ??,2020-12-02T18:27:36+0000,0,0,
1,19,1,23230437118_1260816547637890,data,data.*,fetched (200),16:46.6,Facebook:/<post-id>/comments,This is A WILFUL MISUNDERSTANDING.  The present 3 Bills are a necessity as international trade demands. Our P.M. had not signed the treaty last year in East Asian Nations meet and assured first to do the respective changes in the laws related to agricultural produces open for sale in any where in India or abroad.,2020-12-05T16:44:07+0000,0,0,
1,20,1,23230437118_1260816547637890,data,data.*,fetched (200),16:46.6,Facebook:/<post-id>/comments,"Recently burkha dutt interviewed him, he said he supports jarnail singh Bindelwal ... supports it ... what to say ...",2020-11-30T14:17:30+0000,0,1,
1,21,1,23230437118_1260816547637890,data,data.*,fetched (200),16:46.6,Facebook:/<post-id>/comments,"Can somebody explain me what will happen to the inflation rate in India, when law of unlimited storage will be implemented practically? How the common man and poor section of the society who is living in the slums will feed themselves and their families? Pls tell me because I am uneducated and misguided.",2020-12-12T08:48:57+0000,0,0,
1,22,1,23230437118_1260816547637890,data,data.*,fetched (200),16:46.6,Facebook:/<post-id>/comments,"Lauda ka revolution hai, apni dukane chale rahe bas, aam aadmi ko paresan karna hai. Pure desh ke kisan msp hatana chahta hai aur inko rajneeti chamkani hai. https://www.google.com/amp/s/www.thehindubusinessline.com/economy/agri-business/why-section-of-farmers-in-maharashtra-want-to-get-rid-of-msp/article32860865.ece/amp/",2020-11-30T15:37:34+0000,0,1,
1,23,1,23230437118_1260816547637890,data,data.*,fetched (200),16:46.6,Facebook:/<post-id>/comments,"????????????? ?????????????? ????????? ""?????"" ?????????? ???? ????????????? ??????????? ????????????? ????? ??????? ?????????? ?????????????????? ???????? ??? ?????????? ""?????? ??????"" ????????? ??????? ???????????? ??????????????... #Support_Farmers_Bill",2020-11-30T14:24:37+0000,0,0,
1,24,1,23230437118_1260816547637890,data,data.*,fetched (200),16:46.6,Facebook:/<post-id>/comments,Tum log ka kuchh hone wala Nahin hai Kitna natak karna karo,2020-11-30T14:15:52+0000,1,0,
1,25,1,23230437118_1260816547637890,data,data.*,fetched (200),16:46.6,Facebook:/<post-id>/comments,Indian media is a joke. 142  nd in World press freedom index.,2020-11-30T14:48:01+0000,3,0,
1,26,1,23230437118_1260816547637890,data,data.*,fetched (200),16:46.6,Facebook:/<post-id>/comments,"??? ??? ?? ?? ???? ??????????? ?????? ???? ???????? ???? ?? ?? ????? ??????? ?????? ?????? ????, ?? ?? ?? ???? ???? ??????? ???? ????? ????, ????? ???? ????? ??? ?????? ??? ????????? ???????? ?????",2020-11-30T14:26:02+0000,1,0,
1,27,1,23230437118_1260816547637890,offcut,,fetched (200),16:46.6,Facebook:/<post-id>/comments,,,,,
1,28,1,23230437118_1260816547637890,headers,,fetched (200),16:46.6,Facebook:/<post-id>/comments,,,,,
1,29,1,23230437118_1260816547637890,data,data.*,fetched (200),16:47.1,Facebook:/<post-id>/comments,Where is carona now?  Is it on leave?,2020-11-30T14:24:18+0000,0,2,
1,30,1,23230437118_1260816547637890,data,data.*,fetched (200),16:47.1,Facebook:/<post-id>/comments,"To label someone.. khalistani, anti-national, Jihadi,Tukde Tukde gang,gupkar gang had been the only excuse to hide the real issue and True facts..... The issues are there and you need to adress them...... politically and ofcourse with a proper sense of tolerance...",2020-12-01T02:53:19+0000,1,0,
1,31,1,23230437118_1260816547637890,data,data.*,fetched (200),16:47.1,Facebook:/<post-id>/comments,Apni acting chamka raha hai waise yeh hai kaun never seen him in any punjabi movie ,2020-11-30T14:23:31+0000,1,0,
1,32,1,23230437118_1260816547637890,data,data.*,fetched (200),16:47.1,Facebook:/<post-id>/comments,"(????? ????? ???? ????? ???) ??????,?????? ??? ???? ??? ?????? ?????? ???? ?? ????? ??????? ??? ??? ???? ??? ????? ?????? ??? ????",2020-12-02T16:56:18+0000,0,0,
1,33,1,23230437118_1260816547637890,data,data.*,fetched (200),16:47.1,Facebook:/<post-id>/comments,Pehle yeh batao iski Jameene Farm Bill kaise legaya ?,2020-11-30T14:14:45+0000,1,0,
1,34,1,23230437118_1260816547637890,data,data.*,fetched (200),16:47.1,Facebook:/<post-id>/comments,Modi ne bejia ehnu bich reh k mahol khrab karan layi c modi gives this job to deep shidhu,2020-12-01T02:15:51+0000,0,0,
1,35,1,23230437118_1260816547637890,data,data.*,fetched (200),16:47.1,Facebook:/<post-id>/comments,Thanks for raising the voice of farmers,2020-12-01T01:39:52+0000,2,0,
1,36,1,23230437118_1260816547637890,data,data.*,fetched (200),16:47.1,Facebook:/<post-id>/comments,They are going to make khalistan .,2020-11-30T15:43:25+0000,0,1,
1,37,1,23230437118_1260816547637890,data,data.*,fetched (200),16:47.1,Facebook:/<post-id>/comments,He understands  Now every body is getting aware  It's goods,2020-11-30T14:15:55+0000,1,0,
1,38,1,23230437118_1260816547637890,data,data.*,fetched (200),16:47.1,Facebook:/<post-id>/comments,India today is paid media do not believe,2020-11-30T15:10:23+0000,0,0,
1,39,1,23230437118_1260816547637890,data,data.*,fetched (200),16:47.1,Facebook:/<post-id>/comments,All fame is waste. It's like ek ganta ka sultan.,2020-11-30T15:23:54+0000,0,0,
1,40,1,23230437118_1260816547637890,data,data.*,fetched (200),16:47.1,Facebook:/<post-id>/comments,He completely not able to answer the questions ????,2020-11-30T17:22:40+0000,0,0,
1,41,1,23230437118_1260816547637890,data,data.*,fetched (200),16:47.1,Facebook:/<post-id>/comments,I dont know if anyone know him...but he got a good coverage now,2020-11-30T14:15:03+0000,2,0,
1,42,1,23230437118_1260816547637890,data,data.*,fetched (200),16:47.1,Facebook:/<post-id>/comments,What has geo-political got to do with farm law? Oops....these woke liberals?????,2020-12-01T14:38:05+0000,0,1,
1,43,1,23230437118_1260816547637890,data,data.*,fetched (200),16:47.1,Facebook:/<post-id>/comments,Now a days suddenly actor becomes farmer.,2020-11-30T14:27:11+0000,0,0,
1,44,1,23230437118_1260816547637890,data,data.*,fetched (200),16:47.1,Facebook:/<post-id>/comments,https://youtu.be/7lfzeIJkTtE   Sir pls ik waar a video jrur dekhyo a changes ho skde a kisan bill ch..,2020-11-30T19:02:47+0000,1,0,
1,45,1,23230437118_1260816547637890,data,data.*,fetched (200),16:47.1,Facebook:/<post-id>/comments,India today giving stage to khalistani.....,2020-11-30T16:50:53+0000,0,1,
