level,id,parent_id,object_id,object_type,object_key,query_status,query_time,query_type,message,created_time,like_count,comment_count,error.message
0,1,None,102527030797_10159356445940798,seed,,,None,None,,,,,
1,2,1,102527030797_10159356445940798,data,data.*,fetched (200),49:25.2,Facebook:/<post-id>/comments,,2020-11-30T16:05:02+0000,21,3,
1,3,1,102527030797_10159356445940798,data,data.*,fetched (200),49:25.2,Facebook:/<post-id>/comments,NDTV please educate people on how hatred is being spread by BJP IT Cell,2020-11-30T16:32:00+0000,34,2,
1,4,1,102527030797_10159356445940798,data,data.*,fetched (200),49:25.2,Facebook:/<post-id>/comments,"???? ???? ??,?? ???????? ?? ???? ??? ???????? ??? ?? ??????? ?? ??? ???? ??,, ???????? ????????? ?? ?????? ???? ?? ???????? ??, ????? ???? ????? ????? ?? ????? ??? ??????? ?? ????? ???? ?? ???? ??????? ?? ??? ???? ????? ?? ???",2020-11-30T16:54:04+0000,9,18,
1,5,1,102527030797_10159356445940798,data,data.*,fetched (200),49:25.2,Facebook:/<post-id>/comments,Surely punjab farmers now will remain united and allow water sharing to Rajasthan and Haryana,2020-11-30T15:58:47+0000,16,14,
1,6,1,102527030797_10159356445940798,data,data.*,fetched (200),49:25.2,Facebook:/<post-id>/comments,,2020-11-30T16:07:26+0000,11,2,
1,7,1,102527030797_10159356445940798,data,data.*,fetched (200),49:25.2,Facebook:/<post-id>/comments,Richest Farm ownersof our country from Punjab are up against the development process of our country with the help of Khalistanis Jehadi's with the support of CONGRESS CPIM Others ??,2020-11-30T16:04:55+0000,7,25,
1,8,1,102527030797_10159356445940798,data,data.*,fetched (200),49:25.2,Facebook:/<post-id>/comments,KARMA !!!!!!!!??,2020-11-30T16:56:07+0000,3,11,
1,9,1,102527030797_10159356445940798,data,data.*,fetched (200),49:25.2,Facebook:/<post-id>/comments,May the wisdom and sanity prevail...govt.must listen to farmers...it is farmers right to express their differences regarding farm bills..govt  should address this issue immediately...,2020-11-30T18:00:34+0000,5,1,
1,10,1,102527030797_10159356445940798,data,data.*,fetched (200),49:25.2,Facebook:/<post-id>/comments,"?? ?????????? ???? ???? ?????? ?? ????? ??? ??????? ?? ??? ??, ??? ?? ????? ????-???? ??? ????? ???- ???? ( ?????????, ??????????, ???????, ???? ??? ???? ? ?? ?????? ?? ????????) ???? ?? ???? ???? ????? ?? ?? ?? ?? ??? ??????, ???? ????? ??? ????? ??? ?? ??????? ?? ????? ??? ??, ??? ?? ?????? ??? ????? ??? ?? ????? ?? ????? ???? ??? ??? ???, ????? ????????? ????? ???, ????? ????? ???? ???? ???????",2020-11-30T16:08:25+0000,4,10,
1,11,1,102527030797_10159356445940798,data,data.*,fetched (200),49:25.2,Facebook:/<post-id>/comments,,2020-11-30T16:04:10+0000,3,0,
1,12,1,102527030797_10159356445940798,data,data.*,fetched (200),49:25.2,Facebook:/<post-id>/comments,Just in case if BJP was in opposition they would have made sure that they make most out this agitation but non the less we have one ganjedi who might be still recovering from last night drags and snotzzz #RG,2020-11-30T19:09:06+0000,1,0,
1,13,1,102527030797_10159356445940798,data,data.*,fetched (200),49:25.2,Facebook:/<post-id>/comments,"bus ye jo tweet hai esko bills me likhne ki problem hai, bus ek baat likhni hai MSP will continue and no one can buy below MSP.",2020-11-30T19:32:33+0000,1,0,
1,14,1,102527030797_10159356445940798,data,data.*,fetched (200),49:25.2,Facebook:/<post-id>/comments,#?????? '? #???? ????? ????? '? ???? ???? ????? ?? ?? 551??? ??????? ???? ???? ??????? ????? ???? ?? ???????,2020-11-30T17:53:58+0000,1,0,
1,15,1,102527030797_10159356445940798,data,data.*,fetched (200),49:25.2,Facebook:/<post-id>/comments,????? ???,2020-12-01T06:39:47+0000,0,0,
1,16,1,102527030797_10159356445940798,data,data.*,fetched (200),49:25.2,Facebook:/<post-id>/comments,"modi ke pille jo kissano k khilaaf bol rahe hain, unhein mein bata dena chahta hu kissan sirf apna haq maang rahe hai......aapki behen ka rishta nahi.......",2020-11-30T22:57:51+0000,0,0,
1,17,1,102527030797_10159356445940798,data,data.*,fetched (200),49:25.2,Facebook:/<post-id>/comments,"Dear NDTV, would you be kind enough to elaborate what exactly the farmers are protesting along with divisive headlines like these ?? Your posts like these bring unnecessary divide and hatred .. nothing else.. have some conscience and produce a full fledged article atleast .. shame to see journalism turn into meme fest ??",2020-11-30T20:12:01+0000,6,8,
1,18,1,102527030797_10159356445940798,data,data.*,fetched (200),49:25.2,Facebook:/<post-id>/comments,"Even if the government did not do anything, people would protest.  What has the government done or just for the people?",2020-11-30T18:27:44+0000,0,0,
1,19,1,102527030797_10159356445940798,data,data.*,fetched (200),49:25.2,Facebook:/<post-id>/comments,Ap log vote dete Ho in Kutto ko isliye ye log itna zulm kr rahe h vote Dena band krdo bjp ko Dekho Desh me shanti aa jayegi,2020-11-30T21:07:50+0000,0,0,
1,20,1,102527030797_10159356445940798,data,data.*,fetched (200),49:25.2,Facebook:/<post-id>/comments,,2020-11-30T16:27:16+0000,3,5,
1,21,1,102527030797_10159356445940798,data,data.*,fetched (200),49:25.2,Facebook:/<post-id>/comments,Hathras wali bhabhi bhi ab kissan ke role mai aa chuki h ????,2020-11-30T16:13:45+0000,1,4,
1,22,1,102527030797_10159356445940798,data,data.*,fetched (200),49:25.2,Facebook:/<post-id>/comments,trolls and malyia gang has been activated,2020-11-30T16:32:07+0000,1,0,
1,23,1,102527030797_10159356445940798,data,data.*,fetched (200),49:25.2,Facebook:/<post-id>/comments,Ghanghor bakchodi chal rahi hai,2020-11-30T15:56:24+0000,1,0,
