level,id,parent_id,object_id,object_type,object_key,query_status,query_time,query_type,message,created_time,like_count,comment_count,error.message
0,1,None,23230437118_10160413425007119,seed,,,None,None,,,,,
1,2,1,23230437118_10160413425007119,data,data.*,fetched (200),13:35.7,Facebook:/<post-id>/comments,They don't seem like farmers.. they are party workers.,2020-09-25T16:47:56+0000,0,0,
1,3,1,23230437118_10160413425007119,data,data.*,fetched (200),13:35.7,Facebook:/<post-id>/comments,"Looks like a group of out of work commies are protesting and I don't think they qualify to be labelled as ""farmers"". Even farmers have abandoned the Chinese party. ??",2020-09-25T11:40:00+0000,1,0,
1,4,1,23230437118_10160413425007119,data,data.*,fetched (200),13:35.7,Facebook:/<post-id>/comments,Those are not farmers bu 2% left supporters....????,2020-09-25T11:58:59+0000,1,0,
1,5,1,23230437118_10160413425007119,data,data.*,fetched (200),13:35.7,Facebook:/<post-id>/comments,Communist party is not farmer's of Odisha,2020-09-25T11:24:35+0000,1,0,
1,6,1,23230437118_10160413425007119,data,data.*,fetched (200),13:35.7,Facebook:/<post-id>/comments,These are Communist party people and not farmers.,2020-09-28T13:04:40+0000,0,0,
1,7,1,23230437118_10160413425007119,data,data.*,fetched (200),13:35.7,Facebook:/<post-id>/comments,Not only BJD,2020-09-26T07:52:02+0000,0,0,
1,8,1,23230437118_10160413425007119,data,data.*,fetched (200),13:35.7,Facebook:/<post-id>/comments,Inme se kisi Ko bhi puch lo farm bill kya hai... Koi nehi bol payega.... sab Ch*tiye...,2020-09-25T12:14:37+0000,0,0,
1,9,1,23230437118_10160413425007119,data,data.*,fetched (200),13:35.7,Facebook:/<post-id>/comments,Mera desh badalu raha hi public properties se Private properties tak.. farmers se leka corporates tak,2020-09-25T15:34:32+0000,0,0,
1,10,1,23230437118_10160413425007119,data,data.*,fetched (200),13:35.7,Facebook:/<post-id>/comments,,2020-09-25T12:18:59+0000,0,0,
1,11,1,23230437118_10160413425007119,data,data.*,fetched (200),13:35.7,Facebook:/<post-id>/comments,,2020-09-25T12:18:57+0000,0,0,
1,12,1,23230437118_10160413425007119,data,data.*,fetched (200),13:35.7,Facebook:/<post-id>/comments,Spineless Gang of persons without any plan & future. They can't even answer what is  the farm bill .God bless them????,2020-09-25T11:12:29+0000,1,7,
1,13,1,23230437118_10160413425007119,data,data.*,fetched (200),13:35.7,Facebook:/<post-id>/comments,"Those are not farmers at all , they are discarded left",2020-09-25T12:33:05+0000,0,0,
1,14,1,23230437118_10160413425007119,data,data.*,fetched (200),13:35.7,Facebook:/<post-id>/comments,,2020-09-25T12:07:24+0000,0,0,
1,15,1,23230437118_10160413425007119,data,data.*,fetched (200),13:35.7,Facebook:/<post-id>/comments,#support farmers,2020-09-25T11:31:20+0000,0,3,
1,16,1,23230437118_10160413425007119,data,data.*,fetched (200),13:35.7,Facebook:/<post-id>/comments,,2020-09-25T11:30:12+0000,2,0,
1,17,1,23230437118_10160413425007119,offcut,,fetched (200),13:35.7,Facebook:/<post-id>/comments,,,,,
