level,id,parent_id,object_id,object_type,object_key,query_status,query_time,query_type,message,created_time,like_count,comment_count,error.message
0,1,None,102527030797_10159176698195798,seed,,,None,None,,,,,
1,2,1,102527030797_10159176698195798,data,data.*,fetched (200),30:53.5,Facebook:/<post-id>/comments,India has lots of middleman in every sectors. Remove all of them. BJP is doing great work. Congress made lots of complicated systems and lots of loop hole for corruption.,2020-09-20T08:50:31+0000,149,152,
1,3,1,102527030797_10159176698195798,data,data.*,fetched (200),30:53.5,Facebook:/<post-id>/comments,"The Bhaniya Janatha Party is always in favour of corporate houses...From Demonetaisation, GST, Neet, CORONA Bandh to NEP, it wants to bring in the zamindari mind set in modern India...This country belongs only to the rich and affluent...rest all their slaves...time to throw out BJP...",2020-09-20T08:36:19+0000,54,17,
1,4,1,102527030797_10159176698195798,data,data.*,fetched (200),30:53.5,Facebook:/<post-id>/comments,"Farmers provide us with food. Our leaders must help the farmers, and the poorest of the poor. But protests need to be totally peaceful. May India sincerely ask God to give us loving and caring leaders.",2020-09-20T07:36:35+0000,52,16,
1,5,1,102527030797_10159176698195798,data,data.*,fetched (200),30:53.5,Facebook:/<post-id>/comments,"Somebody only sees the Congress flags. Congress doesn't have the skill to hide itself into farmers. But BJP was highly skillful in hiding itself under  Anna Hazare's India against Corruption compaign, which was sponsored by RSS-backed Sanghis and BJP sponsored conspiracy protest.",2020-09-20T08:27:21+0000,59,21,
1,6,1,102527030797_10159176698195798,data,data.*,fetched (200),30:53.5,Facebook:/<post-id>/comments,"Farmers are being treated badly by the new BJP legislation. This is unfair as farmers produce essential food supplies. The BJP has no respect for anyone besides power,wealth and greed.",2020-09-20T09:18:51+0000,29,5,
1,7,1,102527030797_10159176698195798,data,data.*,fetched (200),30:53.5,Facebook:/<post-id>/comments,BJP has just handed to control of farmer’s produce to the corporations. Government has played the role of “middelman” between farmers and corporations. BJP has given our farms to the corporations on a plate. Just watch and see how the corporations will control stocks and manipulate price of our farms. Its in their hand now! ,2020-09-20T10:01:35+0000,26,25,
1,8,1,102527030797_10159176698195798,data,data.*,fetched (200),30:53.5,Facebook:/<post-id>/comments,"Oh! Haryana, you lead the nation.Kudos.",2020-09-20T07:34:35+0000,29,2,
1,9,1,102527030797_10159176698195798,data,data.*,fetched (200),30:53.5,Facebook:/<post-id>/comments,Congress flag with farmers,2020-09-20T07:36:29+0000,24,19,
1,10,1,102527030797_10159176698195798,data,data.*,fetched (200),30:53.5,Facebook:/<post-id>/comments,Any good move will have to face such protests . All these years we were supporting interest of only heavy weights . Let poor also get benefit . Only a strong government can take such bold steps without going for appeasement of anyone ,2020-09-20T08:50:11+0000,7,7,
