id,message,tone
2,"In a democracy there may be times when we are powerless to prevent injustice, but there must never be a time when we fail to protest. Let us show our solidarity with protesting farmers in India against draconian law passed by Indian government, #FarmersProtest","{'document_tone': {'tones': [{'score': 0.523793, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.68097, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'In a democracy there may be times when we are powerless to prevent injustice, but there must never be a time when we fail to protest.', 'tones': []}, {'sentence_id': 1, 'text': 'Let us show our solidarity with protesting farmers in India against draconian law passed by Indian government, #FarmersProtest', 'tones': []}]}"
3,I fully support the farmers! Best wishes!????,"{'document_tone': {'tones': []}, 'sentences_tone': [{'sentence_id': 0, 'text': 'I fully support the farmers!', 'tones': []}, {'sentence_id': 1, 'text': 'Best wishes!????', 'tones': []}]}"
4,Agriculture is the backbone of Indian economy. Government should understand that farmer distress is no joke.  Thank you NDTV for broadcasting this other media houses are running after stupid entertainer drugs cases.,"{'document_tone': {'tones': [{'score': 0.598546, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'Agriculture is the backbone of Indian economy.', 'tones': [{'score': 0.544546, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}, {'sentence_id': 1, 'text': 'Government should understand that farmer distress is no joke.', 'tones': [{'score': 0.724236, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 2, 'text': 'Thank you NDTV for broadcasting this other media houses are running after stupid entertainer drugs cases.', 'tones': [{'score': 0.686816, 'tone_id': 'anger', 'tone_name': 'Anger'}]}]}"
5,Congress organized Protest.... Huge population of farmers are happy as they could sell the produce nearby collection centers with out paying any commissions or Dhadha Giri ,"{'document_tone': {'tones': [{'score': 0.855154, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}}"
6,"Do we truly want to build a great and glorious India? Do we truly love peace and justice? Do our youth need education, employment? Do we sincerely pray for our country?","{'document_tone': {'tones': [{'score': 0.810485, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.955084, 'tone_id': 'confident', 'tone_name': 'Confident'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'Do we truly want to build a great and glorious India?', 'tones': [{'score': 0.786821, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.825035, 'tone_id': 'confident', 'tone_name': 'Confident'}]}, {'sentence_id': 1, 'text': 'Do we truly love peace and justice?', 'tones': [{'score': 0.924718, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.92125, 'tone_id': 'confident', 'tone_name': 'Confident'}]}, {'sentence_id': 2, 'text': 'Do our youth need education, employment?', 'tones': []}, {'sentence_id': 3, 'text': 'Do we sincerely pray for our country?', 'tones': []}]}"
7,Poor farmers are not protesting only riches  are protesting coming in their vehicles supported by some political parties.,"{'document_tone': {'tones': [{'score': 0.700564, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.5538, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}}"
8,"Desh ke Gaddar on hights.... BJP- RSS govt... Must take action against them.... They are funded by Insolvent Pakistan ISI , ISIS and Taliban Terrorist.... Call on army to clear roads and railway tracks... --- AndhBhakt Association Nagpur","{'document_tone': {'tones': [{'score': 0.52186, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.51064, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.91171, 'tone_id': 'confident', 'tone_name': 'Confident'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'Desh ke Gaddar on hights.... BJP- RSS govt... Must take action against them....', 'tones': [{'score': 0.509368, 'tone_id': 'confident', 'tone_name': 'Confident'}]}, {'sentence_id': 1, 'text': 'They are funded by Insolvent Pakistan ISI , ISIS and Taliban Terrorist....', 'tones': [{'score': 0.653099, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 2, 'text': 'Call on army to clear roads and railway tracks... --- AndhBhakt Association Nagpur', 'tones': [{'score': 0.80026, 'tone_id': 'confident', 'tone_name': 'Confident'}]}]}"
9,We are with our farmers.,{'document_tone': {'tones': []}}
10,"Let the whole world know that there is farmer's curfew tomorrow in India. Mother India must be crying seeing our farmers sad and hopeless. Modi ji, who never wears a suit of lakhs ,could never get the pain of the one wearing 200 clothes  # ??_????????_???_#StandWithIndianFarmers ","{'document_tone': {'tones': [{'score': 0.756554, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.60167, 'tone_id': 'confident', 'tone_name': 'Confident'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': ""Let the whole world know that there is farmer's curfew tomorrow in India."", 'tones': [{'score': 0.71364, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 1, 'text': 'Mother India must be crying seeing our farmers sad and hopeless.', 'tones': [{'score': 0.935998, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.579436, 'tone_id': 'confident', 'tone_name': 'Confident'}]}, {'sentence_id': 2, 'text': 'Modi ji, who never wears a suit of lakhs ,could never get the pain of the one wearing 200 clothes  # ??_????????_???_#StandWithIndianFarmers', 'tones': []}]}"
11,"All MEDIA failed to show Goa NEWS  , Villages destroyed, Lacks of Trees ?? cutting ,hills cutting, fields destroyed, False complains by Goa GOVERNMENT on people's with POLICE'S FORCES. All NATIONAL MEDIA DEAD FOR GOAN'S PEOPLE ???  GOD ""SAVE"" GOA.","{'document_tone': {'tones': [{'score': 0.841573, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.940229, 'tone_id': 'confident', 'tone_name': 'Confident'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': ""All MEDIA failed to show Goa NEWS  , Villages destroyed, Lacks of Trees ?? cutting ,hills cutting, fields destroyed, False complains by Goa GOVERNMENT on people's with POLICE'S FORCES."", 'tones': [{'score': 0.659886, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 1, 'text': 'All NATIONAL MEDIA DEAD FOR GOAN\'S PEOPLE ???  GOD ""SAVE"" GOA.', 'tones': [{'score': 0.687768, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.849827, 'tone_id': 'confident', 'tone_name': 'Confident'}]}]}"
