Name,Comment,Time,Likes,Reply Count,Reply Author,Reply,Published,Updated
Gangu,ದೇಶದ ರೈತರ ಈಗೀನ ಹೋರಾಟಕ್ಕೆ ದೇಶದ ಒಳಗಿನವರಾಗಲಿ ಅಥವಾ ಹೊರಗಿನವರಾಗಲಿ ರೈತರಿಗೆ ಆಗಾಧವಾದ ನೈತಿಕ ಬೆಂಬಲ ದೊರಕುತ್ತಿರುವುದನ್ನಾ ಕಂಡು ಈಗೀನ  ಸರ್ವಾಧಿಕಾರಿ ಮೋದಿ ಸರಕಾರವು ಅಂತವರ ವಿರುದ್ದ ಪಿತೂರಿತನದಿಂದ ಕೂಡಿದ ಸತ್ಯಕ್ಕೆ ದೂರವಾದ ರಿಯಾಲಿಟಿ ಚೆಕ್ ಮಾಡುವ ನೆಪದಲ್ಲಿ ಈ ಸರಕಾರದ ಅಡಿಯಾಳುಗಿರುವ ಕೆಲ ಮಾಧ್ಯಮಗಳ ಮೂಲಕ ರೈತರ ಪರವಾಗಿರುವಂತವರಿಗೆ ಅಪಪ್ರಚಾರದ ಮೂಲಕ ಅವರ ತೇಜೋವಧೆಗೆ ವ್ಯವಸ್ಥಿತ ಪಿತೂರಿತನದ ಸನ್ನಿವೇಶಗಳನ್ನು  ಸೃಷ್ಟಿ ಮಾಡುತ್ತಾ ಅತ್ತಾ ರೈತರ ಹೋರಾಟವೂ  ದಮನಗೊಳ್ಳಬೇಕು ಇತ್ತಾ ರೈತ ಬೆಂಬಲಿಗರೂ  ಅವಮಾನಗೊಂಡು ಬಾಯಿ ಮುಚ್ಚಿಕೊಂಡು  ಹಿಂದೆಹೋಗುವಂತಾಗಲಿ ಎನ್ನುವುದೇ ಈ ದುಷ್ಟ ದುರಾಡಳಿತ ಕೇಂದ್ರದ       ಬಿ ಜೆ ಪಿ ಸರಕಾರದ ಪ್ರಾಯೋಜಿತ ಕೆಟ್ಟ ಕೆಲಸವಾಗಿದೆ ...ಅದರೆ ರೈತರು  ಇಂತಹ ಎಲ್ಲಾ ದಮನಕಾರಿ ನಡೆಗಳನ್ನು ಮೆಟ್ಟಿ ನಿಂತೂ ಗೆಲುವನ್ನಾ ಪಡೆದೆ ತೀರುತ್ತಾರೆ ....ಜೈ ಜವಾನ್ ಜೈ ಕಿಸಾನ್ .ರೈತರ ಇಚ್ಛೆಯಂತೆಯೇ ಮೂರು ಕಾಯ್ದೆಗಳು ರದ್ದಾಗಲಿ ...,2021-02-06T18:54:48Z,0,0,,,,
DEEPIKA PATHAK,Lllllllllllllll,2020-12-07T17:42:24Z,0,0,,,,
Deena Anand,Pls protest like this for ban of EVM machine every problem will be solved,2020-12-07T15:57:05Z,3,0,,,,
Dhaliwal pb04,Klnu school lgne aa ?,2020-12-07T13:05:59Z,0,0,,,,
Sathya,Thanks for your solidarity of public and actor and actress and spots person.<br><br>Please help one another regardless of caste and religion and language and race.<br><br>I stand with farmers rights. <br><br>Please scarp new farmer law.,2020-12-07T11:24:17Z,3,1,,,,
,,,,,Parnam Saini,"Public, please bare for 3 hours tomorrow. Help the farmers. You will be blessed.",2021-02-05T12:07:05Z,2021-02-05T12:07:05Z
Jo Black,2000  to 3000 people can not take the whole country into hostage. Stop this condense,2020-12-07T11:06:56Z,1,2,,,,
,,,,,zabi khan,😎u andha bhakt or 2 rupees per comment from bjp it cell,2020-12-07T17:35:47Z,2020-12-07T17:35:47Z
,,,,,Frankie Long,Condense or nonsense,2021-02-25T18:02:25Z,2021-02-25T18:02:25Z
Aasheesh Kumar Saxena,No Bandh . Everything will remain open. These people are misleading public. We don&#39;t want bandhs and all . Vacate our highways. We will not surrender to anarchists.,2020-12-07T10:46:45Z,2,8,,,,
,,,,,pranay dasari,lol,2020-12-07T10:48:14Z,2020-12-07T10:48:14Z
,,,,,be honest life is short,Bhakt lolzz.,2020-12-07T11:28:03Z,2020-12-07T11:28:03Z
,,,,,Vikrant Singh,Aand-Bhakt(Andhbhakt 2.0) spotted,2020-12-07T12:23:18Z,2020-12-07T12:23:18Z
,,,,,Jail Reddy,"then dont eat food, eat shit!",2020-12-07T13:00:00Z,2020-12-07T13:00:00Z
,,,,,rajib sarkar,Ahees,2020-12-07T15:43:28Z,2020-12-07T15:43:28Z
,,,,,rajib sarkar,Andh Vakt,2020-12-07T15:43:47Z,2020-12-07T15:43:47Z
,,,,,zabi khan,😎andha bhakt,2020-12-07T17:35:00Z,2020-12-07T17:35:00Z
,,,,,sania junoon,Tommorow kangna will humiliate his mother .n i will see his response .<br>U bullshit,2020-12-09T10:52:24Z,2020-12-09T10:52:24Z
Mahendra Pratap,Tum chor ho aur bike huye ho.<br>Kya kisan acchi gadi aur AC ka prayog nhi kar skta hai,2020-12-07T10:31:31Z,0,0,,,,
Arun Anilkumar,This reminds me of CAA protests..😂,2020-12-07T10:30:33Z,3,2,,,,
,,,,,Thulunga Basumatari,What&#39;s funny broh,2020-12-07T17:38:16Z,2020-12-07T17:38:16Z
,,,,,Ashutosh Pandey,Yes look like NRC CAA jaise internet lockdown hoya tha us waak😂,2020-12-08T01:49:55Z,2020-12-08T01:49:55Z
