Name,Comment,Time,Likes,Reply Count,Reply Author,Reply,Published,Updated
Vinod P,Include petrol/gas issues in demands!,2021-02-06T02:38:44Z,0,0,,,,
avnish pandey,Goli maro sabko...all of them are middlemen who earn the most and make a fool of real farmers and retailers. Kisaan se lete hain agriculture produce 9 rupay mein aage bechte hain 20 mein aur hummei  milta hai 30 mei.....rakesh tikait ke assets hain 4 crore ke....this agitation is shit completely rubbish. Congress and communist party led. Abhi bhi mauka hai goli maro rather tanker lao bomb se udao inko.,2021-02-04T07:40:02Z,0,0,,,,
Prakash Kumar Balekundri,"I am pained to see hooligans in Kisan movements are traitors and antinational by their actions today. Bhagat Singh, with his freedom fighters friends, must be watching from the heavens and crying! I can see many more tragedies are coming to our ways. Beware there are many who don&#39;t want India to strong and superpower! Please let us not play in their hands!!! Wahe Guru ki Jai ! wisdom downs on wiser and sanity will prevail!<br><br>What a shame!",2021-01-26T16:17:33Z,0,0,,,,
mm d puri,All indians should support our farmers. Govt dragging them to stop agriculture. With out MSP farmers wil get cheated. Brokers and corporates will get befited.,2020-12-18T10:41:46Z,1,0,,,,
sharanpreet singh,"If you tell farmers are misguided,,, man you need to wash your Mind &amp; Mentality,, shame on Government,,,, KissanEktaZIndabaad 🙌🙌🙌🙌",2020-12-08T05:21:55Z,0,0,,,,
Shantie Maharaj,What a sad shame dey can listen to lies and deception by Pappu and his lobby disgraceful,2020-12-07T20:48:02Z,0,0,,,,
Google User,Proud of farmers,2020-12-07T18:14:27Z,2,0,,,,
Oldschool Girl3,All over the world farmers are so respected and loved. Shocked to see how Indian farmers are being treated. Indian govt. should be ashamed. Farmers feed the country and are the hardest working people. So sad to see their plight.,2020-12-07T17:48:04Z,2,0,,,,
Rashmikant Patel,This Law Good For 85 %Small KISHAN  !!<br>This Law Kala Kanoon For Big KISHAN Adatiya!!!!<br>They Loosing Monopoly over Small KISHAN ❤️❤️❤️❤️,2020-12-06T22:51:01Z,2,0,,,,
Rashmikant Patel,Why We Needs Parliament???<br>Make Law !<br>We No Need Now <br>No Law !,2020-12-06T22:49:24Z,1,0,,,,
