Name,Comment,Time,Likes,Reply Count,Reply Author,Reply,Published,Updated
Ramkumar 1993,"Rahul,gdhe,ko,Agra,me,bhrti,kro,aur,tukde,gaik,ko,suvar,ki,tati,kha,rhe,hai,n,d,t,v,to,sala,desh,ka,gddar,hai,",2021-02-15T19:58:49Z,0,0,,,,
मुकेश राणा राणा,जब किसान नही चहाता तो सरकार  के खाज कयो है,2021-01-09T13:02:13Z,0,0,,,,
viikk pandit,"GARBAGE FARMERS... Vietnam rejects Indian rice as not fit for humans, ... Pubjab already uses the new Farm Laws to allow Kisans from Bihar to sell rice massively in Punjab. And amazingly most of the Farmer Unions protesting are Panjus...  the average Indian farm size is only 2.28 hectares, they do not have tractors. Tikhait is Coongi ally and failed in elections. Seems these farmers are only BLACKMAILERS",2021-01-07T06:36:36Z,0,0,,,,
smart tv,J,2021-01-01T04:17:47Z,0,0,,,,
Shahbaz Ali12,4,2020-12-31T20:31:49Z,0,0,,,,
Shahbaz Ali12,444444444444444444444444444444444444444444,2020-12-31T20:31:45Z,0,0,,,,
manoj kashyap,😀😀😀😀😀,2020-12-23T16:08:08Z,0,0,,,,
Muhammed Khadeer,"This much problems coming in india, then why selecting this government. I&#39;m sure one day they will sell complete India and run away from India",2020-12-15T12:23:30Z,1,0,,,,
Gurvinder Thiara,God bless kisans. Thank you for ur coverage on the truth n justice for kisans. It&#39;s their property n they have every right to protect their property.,2020-12-14T23:01:56Z,0,0,,,,
Akki Mukadam,Uppar wala kary aandolan santi purn   aur sarkar sabhi ka saath day,2020-12-14T10:31:01Z,0,0,,,,
Gulam kadar Khalifa,A Salam,2020-12-14T08:34:49Z,0,0,,,,
Muhammed Umar Maroof Khan,Great job simply best,2020-12-13T18:15:51Z,0,0,,,,
ZAIN309,Eind of India.  China is making eind of India,2020-12-13T11:17:50Z,1,0,,,,
Chauhan Gaurang,333h3333r 333333 3h3ht 3,2020-12-12T22:42:54Z,0,0,,,,
Orce Tata,"I think that every person who is a candidate for something like that and gives from these people who are trying to sell their drugs, I think that every person is trying and will try to force the note, but with me I have never beaten China with Russia and America needs to understand when India&#39;s flag flies over the planet So everyone needs to understand that they need to respect democracy",2020-12-12T22:32:13Z,0,0,,,,
Orce Tata,"I ask one question for each person at the age of 84 what agriculture can that person do or at the age of 74 or 75 what agriculture can that person do? So I ask one question the fish came to they sell their drugs more than so many people bring from pakistan to sell drugs why don&#39;t you speak the truth why are they up to the single question why are they afraid of the truth they have to learn to tell the truth each person has to learn to tell the truth in society, so I have to respect every person that they don&#39;t want this emoji then, and it&#39;s good that I&#39;m not going to give in to any murderer who has leaked drugs among them to sell does not admit that he is trying to sell drugs why and why I do not know what is agriculture in India But not every case I saw on the satellite anyway It&#39;s a lot of work. But what I saw on the satellite is that there are some people who bring drugs to India. The question mark for me is more than that. You have to understand anyway we will send these documents to the prosecutor and the police and the court more than that anyway we will not leave them at home because they want to meet the police each person that they have to speak in court for everything they have done for drug trafficking and arms trafficking",2020-12-12T22:30:48Z,0,0,,,,
Monu Khatik,9917112008,2020-12-12T03:26:09Z,0,0,,,,
Doosra95,"Khalistan Zindabad ... Framers long live , no to corporate, NO TO GMO Products. Modi Murdabad. BJP KI ghand fard do!!!!",2020-12-11T20:04:46Z,0,0,,,,
Asif Ansari,Ravish Kumar ji,2020-12-11T19:22:23Z,0,0,,,,
Anis Khan,...,2020-12-11T16:20:04Z,0,0,,,,
Modern Jatt,Tab Tractor aur kisan note par tha<br>Aaj tractor Aur kisan Road par Hain 😥,2020-12-11T16:17:28Z,0,0,,,,
Md amir,10p0b1000ck,2020-12-11T15:10:27Z,0,0,,,,
Takhi Geeta,hun bjp sarkar di ultti ginti suru,2020-12-11T07:33:56Z,0,0,,,,
Vaseem Baig,T,2020-12-11T06:13:26Z,0,0,,,,
Sanjay Mishra,बिहार की हार से बिलबिलाया हुआ है😊😊😊,2020-12-11T05:57:58Z,0,0,,,,
Sanjay Mishra,गद्दारों की पूरी जमात कैसा फड़फड़ा रही है😊😊😊,2020-12-11T05:56:31Z,0,0,,,,
Sanjay Mishra,वामपंथी दलाल न हों  तो शांतिपूर्ण ही रहेगा......,2020-12-11T05:55:11Z,0,0,,,,
Jitendra Solanki,Jabardast si jabardast,2020-12-11T02:36:56Z,0,0,,,,
mian manazir,ABI MOQA HA. ALG CUNTRY BNA LO SINGH BRO PLEASE YH CHANCE PHIR NHI MILY GA,2020-12-11T00:28:03Z,0,0,,,,
sameer chauhan,one of the best trusted channel ndtv,2020-12-10T19:55:41Z,0,0,,,,
aamir khan,Great job sir,2020-12-10T16:15:03Z,0,0,,,,
Masoud Lone,He is  one n only  of indian journalism,2020-12-10T15:04:45Z,0,0,,,,
navdeep singh,Omg,2020-12-10T10:17:33Z,0,0,,,,
Mohammed Abdul Rauf,Bn n n n n ncjkb,2020-12-10T06:47:19Z,0,0,,,,
kousar ali,Jai jawan jai kissan,2020-12-10T06:19:33Z,0,0,,,,
mukesh verma,Aap acha kam kar rhay ho,2020-12-09T15:56:00Z,0,0,,,,
Hyder Marakkar,The farmers and rural voters of Rajasthan have given clear mandate to BJP and Modi... the results show that people of India are with Narendra Modi and BJP. The government should not bend in front of these anti nationals and NDTV . We the common people of this country are with Modiji... anti nationals and terrorists should never have hand in national policy making...,2020-12-09T14:13:37Z,0,0,,,,
Balbir Saini,जो किसान का बीज है वो जल्दी से जल्दी अपने इस्तीफे दे<br>मतलब जो किसान का बेटा है और एम पी और एम एल ए बन कर गए है वो जल्दी से जल्दी अपने इस्तीफे दे,2020-12-09T12:20:49Z,0,0,,,,
Balbir Saini,कह देंगे इन के बाप का क्या जाता है,2020-12-09T12:12:59Z,0,0,,,,
Balbir Saini,तीनों कानून रद्द करायें गे<br>नहीं तो यहीं पे मर जायेंगे,2020-12-09T12:11:49Z,0,0,,,,
amit sharma,Tu to Dallas hai,2020-12-09T08:42:54Z,0,0,,,,
siddharth singh,Harami Ravish Kumar Tum pahchan liya Gaya Hai Deshdrohi ulta tang kar marunga,2020-12-09T07:39:11Z,0,0,,,,
Bibek Kumar Gupta,Communist china ka paisa khane wala,2020-12-09T07:37:37Z,0,0,,,,
sonam kapoor,kisan bill bahana hein...hindu Sikhs ko katwana hein....insallah isi zindabad Pakistan congress,2020-12-09T03:58:55Z,0,0,,,,
kamran tahawar,"indian farmers ,including seihk have to  grow that ammmount of props which can make them alive only",2020-12-09T03:55:52Z,0,0,,,,
Piyush Chauhan,Ab aayenge kuch log jo real journalist bolnege Ravish ko woh khus ho jayega,2020-12-09T03:21:03Z,0,0,,,,
Piyush Chauhan,Per bihar me RJD walon ne hangama machaya uska kya ?,2020-12-09T03:18:25Z,0,0,,,,
Jay Patel,Ab 1 hi rasta hai pure Bharat desh ko bacha neka jitane bhi bjp ki netaa hai un sare neta ko jad se ukhad feko 2 haatha or 2 pero ka insane hi hena koi bhagwan thodi hai khatam Karo in bjp chor ko janata mai Etana power hai ke 30 min mai pura desh badal sakta hai aakhir in bjp bhikha mango ko janata ne khada kiya hai in choro ki koi oukat nahi hai ye aandolan karne se kuchha nahi hogaa dimag us Karo or nisane pe tir maro baki to tum log bjp ka kuchha nahi ukhad sakte Jay Bharat Jai hind,2020-12-09T02:14:57Z,0,0,,,,
AMEER-E-HARAM International Travel and Tours,Free khalistan,2020-12-08T20:36:47Z,0,0,,,,
AMEER-E-HARAM International Travel and Tours,Free khalistan,2020-12-08T20:36:22Z,0,0,,,,
Shuaib Mohtesham,Jkgkkgtyghhnnnnnnn,2020-12-08T19:23:11Z,0,0,,,,
h singh,Real journalism,2020-12-08T17:27:18Z,0,0,,,,
h singh,"Real warriors,  respect to all",2020-12-08T17:25:36Z,0,0,,,,
Mohd Gulbahar,Ravish.ji.selam.hi.aapko,2020-12-08T16:44:29Z,1,0,,,,
IRFAN MOHD,Ravish Kumar fan&#39;s hit like...<br>Arnab fans comments,2020-12-08T15:22:56Z,0,0,,,,
SACHIN BOSS BUDINA KALAN,Namaskar tu zihadi Mohammed ka goo,2020-12-08T12:10:18Z,0,1,,,,
,,,,,sonam kapoor,kisan bill bahana hein...hindu Sikhs ko katwana hein....insallah isi zindabad Pakistan congress zindabad and Indian muslman,2020-12-09T04:06:25Z,2020-12-09T04:06:25Z
Aslam Khan,jai jawan jai kisaan,2020-12-08T05:25:51Z,0,0,,,,
Sandip Dhule,Ravish Kumar sir is the best,2020-12-08T05:24:06Z,0,0,,,,
Aravali M,"मेरे दादा जी किसान थे, मैं किसान के साथ हूं।।🙏🙏",2020-12-08T05:02:25Z,0,0,,,,
Mohd Shabbir,Hum kisano ki wajah se zinda hain,2020-12-08T04:48:35Z,0,0,,,,
Mohd Shabbir,"Ravish Kumar is great person alhamdulillah ,,Allah unko lambi Umar de👍",2020-12-08T04:46:26Z,0,0,,,,
A K Patel,NEXT 5 YEAR.....<br><br><br>ADANI TAMATOR...RATE 200RS PER KG......ADANI ALLU ...RATE 250 RS PER KG......READY FOR INDIA.....AMBANI APPLE...RS 500 PER KG......APAKA PAISA AAP SE HI.LUNTA JAYGA....MODI MEXT MISSION............,2020-12-08T04:44:51Z,0,0,,,,
Samsul H Hussain,Ravish kumar sir  I love you          from karimgang assam,2020-12-08T04:18:07Z,0,0,,,,
Barkat Ali,Great news,2020-12-08T03:59:01Z,0,0,,,,
babu guddu,AIMIM Party &#39;kissan k saath hai<br><br>Kissan k liye LiKE<br>Kisan Ekta zindabad LiKE,2020-12-08T03:50:55Z,0,0,,,,
