Name,Comment,Time,Likes,Reply Count,Reply Author,Reply,Published,Updated
Rinkumoni Nath,pehle thik se english bolna sikh,2021-03-08T04:40:49Z,0,0,,,,
kriti singh,Karani ka fal hi,2021-01-29T15:08:24Z,0,0,,,,
Dom Toretto,Yeahhh🔥,2021-01-29T03:42:06Z,0,0,,,,
Beauty Of Nature#07,Maro salo...gaddar,2021-01-28T14:17:34Z,0,0,,,,
राजनीति रहस्य,Achha hua,2021-01-28T11:13:43Z,1,0,,,,
Sameer Ahmad,Ankit Tyagi if you get a good job at some trusted news channel go there otherwise do not report in these conditions because the anger they have for godi media will be on you and you will have no answer. It can be fatal for you going there again.,2021-01-28T07:24:50Z,0,0,,,,
ranveer singh,Is time godi media ki bht fati ki kahi modi wala gussa kisaano ka godi media pe na nikal jaaye,2021-01-27T19:29:10Z,0,0,,,,
Continuum NXT,Send this reporter to school..he needs to get some basics of English and journalism... Then rehire him.,2021-01-27T16:26:34Z,0,0,,,,
sush d,Kya jhut bolta hai Yeh sikh,2021-01-27T14:57:10Z,2,0,,,,
Ajit Ray,Annadatta gaddar gang ko joota maarke NSA me ander koro,2021-01-27T12:22:56Z,0,0,,,,
Sanchit Singh,Video aa chuki hai yeh khud apni galti se mara hai <br>Chutio modi ko badnaam karne ke lie kuch bhi bolte ho <br>Jai shree ram jai bjp jai modi,2021-01-27T09:38:56Z,0,0,,,,
Adreno Rush,Kisan jindabad .<br>Ye golimar k galat Kia dalli police,2021-01-27T09:10:02Z,2,0,,,,
krishan Lal,"<b>🌲सबकुछ बनाकर परमेश्वर ने इनसान को अपने अकार में बनाया पढो गूगल से पवित्र बाइबल उत्पति </b><b><a href=""https://www.youtube.com/watch?v=ezel1qYXPXU&amp;t=1m26s"">1:26</a></b><b>,27,28 और जानो कि हम सबके शुरूआती मात पिता एक हैं और हम सब किसान हैं, कयोंकि परमेश्वर ने सबकुछ पैदा किया वो भी किसान है, अब कोई दूसरी थ्योरी बताकर हमें जातिवाद में बाँटने ना पाये💪🏻</b>",2021-01-27T09:00:04Z,0,0,,,,
singh is king,2 goli mari gai bhai ko 😒,2021-01-27T06:38:58Z,1,0,,,,
Aakash Makkar,Godi media,2021-01-27T05:37:15Z,1,0,,,,
Pranav Maiya,It&#39;s just one fuckin farmer who has died these people are acting as if thousands have died lmao,2021-01-27T05:06:02Z,0,0,,,,
Harjeet Kaur,Ghatiya media ghatia sarkar Kissan Ekta jindabad modi jaega narak mein,2021-01-27T04:12:36Z,2,1,,,,
,,,,,Inzer Iqbal,Ameen suma ameen narikh mai😂😂😂insha allah,2021-01-29T05:53:40Z,2021-01-29T05:53:56Z
N p jaan,ye sali ghodi media h,2021-01-27T03:22:55Z,1,0,,,,
Sabse hatke,😢<br><br>Please no more shoot 🙏🙏<br><br>All kisaan is my blood❤️,2021-01-27T02:55:27Z,9,2,,,,
,,,,,ALLAH BAKRICHOD PANCHAR WALA,TUM MUSLIM NA IDHAR KA HO NA UDHAR KA BAS DESH TODNE KA KAAM KRO JAI SRI RAM JAI HIND JAI BHARAT 🥰🇮🇳🇮🇳🥰,2021-01-30T19:44:55Z,2021-01-30T19:44:55Z
,,,,,Ramya Naidu,H🖕🖕🖕,2021-01-31T05:47:56Z,2021-01-31T05:47:56Z
Maher Nadeem,Love punjabi,2021-01-26T19:09:02Z,2,0,,,,
Vivek Sharma,"Itne peaceful protest me koi kese mar skta h, yakin hi nhi hota.",2021-01-26T17:29:07Z,5,0,,,,
Naeema Hanif Qureshi,kisan rally zinda abad,2021-01-26T17:07:15Z,5,0,,,,
Bharat,😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂,2021-01-26T16:55:09Z,0,0,,,,
jack11guri,Modi sale dubb krr marja,2021-01-26T16:25:36Z,0,0,,,,
tarachand b,Kissano ne Tractor rally  ki sharte todi hai... barricade par tractor chadhane ki kya jarurat thi...,2021-01-26T16:18:29Z,0,0,,,,
Piyush Mehra,One down how many left? Lol,2021-01-26T16:18:21Z,0,0,,,,
siddharthkesharwani7,Khud mara h accident m koi ni mara h,2021-01-26T16:16:21Z,6,17,,,,
,,,,,Our Rights,हाँ तू था ना वाहाँ... इससे पता चलता है तेरे गोबर भक्त होने का.... लोगों ने देखा police को गोली चलाते तब भी कहे रहा है यह नहीं हुआ.... वाह भई... अन्ध्भक्त हो तो तेरे जैसे....,2021-01-27T03:25:58Z,2021-01-27T03:25:58Z
,,,,,Dev Sahu,@Our Rights  oye sun na....wo khud mar raha h to koi kya kre .....yakin nhi hota to pura video dekh accident ka wo barricate ko todte hue palat gya......ok,2021-01-27T13:51:05Z,2021-01-27T13:51:05Z
,,,,,UK016 WALE,@Our Rights wha se beta video ache se dekh lo or agr goli chki h to video laao .. jb tractor palta h koi bi gun sound ni aai or tko lgta h police headshot maregi ? Itna acha aim 😂😂 bhai dukh hmko h but usse jda dukh glt information se h,2021-01-27T15:38:08Z,2021-01-27T15:38:08Z
,,,,,Our Rights,@ UK016 WALE भई तू तो ऐसे बोल रहा है जैसे वहाँ खंडा था🤣🤣🤣🤣🤣🤣🤣🤣,2021-01-27T15:50:50Z,2021-01-27T15:50:50Z
,,,,,UK016 WALE,@Our Rights sharam ki baat h kehni ni chaiye .. goli chali h video dikha do 🙏 hm bi utni respect krte h jitni har koi krta h lekin fake news se kuch ni milta .. hjaaro ki public thi umeed krta hun kuch proof jma kra hoga .. or postmatum report bi fake hi hogi ..,2021-01-27T15:53:53Z,2021-01-27T15:53:53Z
,,,,,Our Rights,@ UK016 WALE शर्म उन लोगों आनी चाहिए जो fake न्यूज़ देखा रहे है... तो अब कोई वहाँ कैमरा लेकर खड़ा होगा के police गोली मारेगी और हम कैप्चर करेंगे.... तो जिन लोगों ने देखा वो ग़लत....तो इस video में गोली चलती देखायी दी तुझे... पर इस पर तो यक़ीन कर रहा है तू....सिर्फ़ और सिर्फ़ तुम्हारा गोदी मीडिया सच्चा भाई.... बस कर...,2021-01-27T16:05:48Z,2021-01-27T16:05:48Z
,,,,,Vinod Bhatt Tarkeshwar,Lal kile per jo jhanda faraya hai vah bahut hi sharmnak ghatna hai.,2021-01-27T16:22:47Z,2021-01-27T16:22:47Z
,,,,,UK016 WALE,@Our Rights yha volleyball match ni chlra ki uski glti iski glti bhai ke ghar wale khud bol diye palat kr hui or tractor uska tha bi ni kisi or ka chla rha tha mere bi bhout punjabi dost h veere bhout saal kaate h punjab m ... Hm ye ni kehre ki support ni krte sb krte h hr chz m krte h but jb clip bnti h uspe jda trust kro tmare ankho ke samne chlra h sb or tractor ki chat itni majbut ni hoti ki palat jye or nukan na aye ... Sharm hmko ari h jinse hr chz m vdo proof mangte h aj khud ke pass kuch ni,2021-01-27T17:42:25Z,2021-01-27T17:42:25Z
,,,,,Our Rights,@ UK016 WALE तो जब पता नहीं पूरी ख़बर का तो क्यूँ बोल रहा है....,2021-01-27T17:43:40Z,2021-01-27T17:43:40Z
,,,,,UK016 WALE,@Our Rights apne leader ko bole jitni bheed jma hoti h na hisaab bi rkhe ! Baad m ye na bole ye uska tha ya iska .. kaam ke naam pr hr kisi ko bula lete h bhad m wo ulti harkate krte h ...,2021-01-27T17:44:32Z,2021-01-27T17:44:32Z
,,,,,UK016 WALE,@Our Rights are chaccha ap news chordo Google pe search krlo ! Kese hui report bi aa chuki h,2021-01-27T17:45:32Z,2021-01-27T17:45:32Z
,,,,,Vinod Bhatt Tarkeshwar,Goli Koi nahin Chali. Tractor palta aur uske niche dabke mar gaya vah.,2021-01-27T18:16:20Z,2021-01-27T18:16:20Z
,,,,,Our Rights,@ UK016 WALE मुझे कह रहा है तू अपने चोर झासाराम को क्यूँ नहीं बोलता.. क़ानून वापिस ले... तो यह लोग घर जाए... यह ज्ञान बारा lecture वह भी दो थोड़ा....,2021-01-27T20:04:45Z,2021-01-27T20:04:45Z
,,,,,Our Rights,@ UK016 WALE और police सो रही थी republic डे हो और सारे policeवाले भाग जाए लाल क़िले से .... वह भई यह ऑर्डर किसे पास किया ज़रा यह भी बता दो...,2021-01-27T20:06:34Z,2021-01-27T20:06:34Z
