Name,Comment,Time,Likes,Reply Count,Reply Author,Reply,Published,Updated
Gursimran Singh,"Anytime there is a tyranny , this happens. Indian People did act like puppets during British, Mughal times and defended their he system during those times. Only few stand tall against The system. History will be made again. Everyone can do / say what’s right for Them. We don’t need no godi media. My great grandfather died fighting British. I’m ready to die fighting for my brethren’s rights.",2021-06-27T16:07:16Z,0,0,,,,
Mysterious Gamer Girl,BhendiTV 😂😏😏,2021-02-05T21:35:39Z,0,0,,,,
Mian Ziyaa,Think about farmers,2021-02-01T20:11:13Z,0,0,,,,
Chaturvedi,Ye kisan nhi h,2021-01-31T16:59:13Z,0,0,,,,
Nasim Ahmad,Good,2021-01-31T16:39:42Z,0,0,,,,
Monty singh,Shutup,2021-01-31T12:29:43Z,0,0,,,,
Mono Jutt,66666666666666666666666666666666666666666666666666666666666666666666666,2021-01-30T21:38:59Z,0,0,,,,
sheraz khan,godi government per lanat ho sikh aur Muslims per zulm band karo,2021-01-30T08:04:44Z,0,0,,,,
Mehmood Shahid,Dal do pakistan per ye bi.,2021-01-30T00:11:21Z,0,0,,,,
Manish Tharwal,26 jan is always a high alert day of india what was the intelligence security report to the current government and what was the action need some light on it. Is my country in safe hands,2021-01-29T12:21:39Z,0,0,,,,
Asadullah Bhanbhro,RSS is Terrorists Killer of<br>KASHMIR And KHALISTAN<br>مودی کھا گیا ھے کئی انسان۔<br>آدم خور مودی ظالم حیوان۔<br>FREEDOM for All KISAAN.<br>FREEDOM for KASHMIR.<br>FREEDOM for KHALISTAN.<br>FREE  FROM  HINDUSTAN..<br>مودی کھا گیا حقوق کسان۔۔۔<br>قاتل مودی نھیں ھے انسان۔۔۔,2021-01-29T10:12:59Z,0,0,,,,
Asadullah Bhanbhro,مودی کھا گیا ھے کئی انسان۔<br>آدم خور مودی ظالم حیوان۔<br><br>مودی کھا گیا حقوق کسان۔۔۔<br>قاتل مودی نھیں ھے انسان۔۔۔,2021-01-29T10:12:37Z,2,0,,,,
Asadullah Bhanbhro,RSS is Terrorists Killer of<br>KASHMIR And KHALISTAN<br>FREEDOM for All KISAAN.<br>FREEDOM for KASHMIR.<br>FREEDOM for KHALISTAN.<br>FREE  FROM  HINDUSTAN..,2021-01-29T10:11:47Z,0,0,,,,
Unofficiall BUBAI,Rip india,2021-01-29T07:48:18Z,0,0,,,,
Muhammad Nouman Khan Indhar,🤣🤣🤣🤣,2021-01-29T07:26:17Z,0,0,,,,
Hammad Naqvi,KHALISTAN BUNKE RAHEGA BUNKE RAHEGA BUNKE RAHEGA  MODI MOOZI PER BESHUMAR LAANAT LAANAT LAANAT,2021-01-29T06:20:03Z,0,0,,,,
Hammad Naqvi,IS THIS WE CALL DEMOCRACY OF HINDUSTAN IS THIS A SECULAR STATE OF INDIA OR HINDU INDIA?  MODI SHAME ON YOU,2021-01-29T06:14:59Z,4,0,,,,
Hammad Naqvi,HINDUSTAN MURDABAAD MURDABAAD KHALISTAN ZINDABAAD PAKISTAN HAMESHA PAINDABAAD MODI MOOZI YAZEED SHAITAN MURDABAAD,2021-01-29T06:10:50Z,0,0,,,,
Hammad Naqvi,PAKISTAN HAMESHA PAINDABAAD PAINDABAAD PAINDABAAD,2021-01-29T06:08:27Z,0,0,,,,
Pærth,Sach bolo media,2021-01-29T04:57:38Z,0,0,,,,
A Lovely Singh,Shame on police,2021-01-29T04:44:04Z,0,0,,,,
A Lovely Singh,"Modi sabse bharash neta,,,,tiranga se khud paseena pochta hai,26 January pe bjp ka jhnda lehraa rahe hain,,,, laal kile ae tiranga kisi ne bhi nhi utara,,,,ye godi media zee news, aaj tak vale chutiya bna rahe logo ko...",2021-01-29T04:43:01Z,0,0,,,,
precious chanel,President house main ghusna chaiye,2021-01-29T04:41:51Z,0,0,,,,
A Lovely Singh,"Ye baki k zee news vale aur aaj tak vale chutiya channel to bol rahe the tiranga utaar diya,,,,,,this channel show the truth",2021-01-29T04:38:22Z,0,0,,,,
Sarb Mann,There was no looting or destruction of private property if comparing with the size of the crowd. The protest was massively successful.,2021-01-29T00:51:44Z,0,0,,,,
Nidhi Sharma,"I really respect the host and this channel.. where other channels are biased and giving wrong information, this Channel and specially the host is so professional and the only motto is to tell people what exactly happens...",2021-01-28T22:55:47Z,1,0,,,,
D C,"Inn sikho ne Nishan Sahib ka apman kiya, Tirangey se jyada apman Nishan Sahib ka hua hai.",2021-01-28T17:34:57Z,0,0,,,,
Facts With Wadood,Must see subscribe regarding Hindus are minority in India 👇👇👇👇,2021-01-28T17:34:44Z,1,0,,,,
bhairav giri,"टुकड़े गैंग, झामपंथी, खांग्रेस , आक थ पार्टी , एंडी टी वी ,   खविश खुमार फत्रकार , जैसे जयचंद आज दुखी हैं कि उनका ख्वाब अधुरा रह गया क्योंकी बी जे पी और मजबूत जो हो गई है",2021-01-28T16:36:02Z,0,0,,,,
tripta kumar,Majority of tractor rally was peaceful and on given route but it is sad that none of indian channel gave any importance....they only focused on  small group which  ruined the entire peaceful protest....it is quite obvious that those who did voilence on 26th are planted,2021-01-28T16:15:38Z,0,0,,,,
mohamadk qureshi,अगर गद्दारी और देश द्रोह का कोई तुम घा होता तो वो NDTV को मिलना चाहिए जो इस्लामी आतंकवदीओ से लेकर खलिस्तनिओ तक का हिमायती है,2021-01-28T15:52:40Z,0,0,,,,
Haji A S Baloch,اتنی بڑی مملکت ھندوستان کی حکمران ایک پیشاپ خور گوبر خور بے تعلیم چائے کا ویٹر ہیں۔<br>کیا اس سے پہلے کے حکمران ایسے تھے؟<br>ایک بلوچ,2021-01-28T15:28:56Z,0,0,,,,
Asghar Karim,Arnab knows everything !,2021-01-28T15:04:24Z,0,0,,,,
Jamil Ahmed,Punjab is the Land of Great Warriors,2021-01-28T13:07:23Z,0,0,,,,
Kurian Mathew,Imposters hijacked an election only the other day with Chinese Communists help. They  are replicating the strategy here too?,2021-01-28T10:51:09Z,0,0,,,,
ROJGAR KENDRA,Sahid bhagat singh ne apna haq cheen liya tha..  or yaha bhi yahi hoga..  <br>Rss ke chele bilbila rahe or khalistani bol rahe hai..,2021-01-28T07:55:45Z,0,0,,,,
Shobhendra Patel,किसान भाइयों आप लोगो ने हमारा विश्वास तोड़ दिया। हम आपके इस काम की निन्दा करते है,2021-01-28T05:39:07Z,3,1,,,,
,,,,,Rajesh Aggarwal,karta rehh..modi harega kisaan jitenge,2021-03-18T04:14:12Z,2021-03-18T04:14:12Z
Ngangom Doren Singh,Proud of farmers 👍🌍❓,2021-01-28T03:36:39Z,0,0,,,,
Rafiq Ibrahim,The Kissan was shot. The rest has been a stunt. The Body must have a Autopy,2021-01-28T01:38:16Z,0,0,,,,
Mahadev Sharma,"farmers just peacefully protested for this day, to make the india&#39;s image worst internationally... heads off to the farmers for making india down. same on farmers and netas helping behind this.......<br>edit: and yes where are the real farmers who can&#39;t stop their own people to do this all?",2021-01-27T23:35:37Z,0,0,,,,
Dr Julmi,False information... misleading,2021-01-27T21:19:43Z,0,0,,,,
Dr Julmi,Fake,2021-01-27T21:19:20Z,0,0,,,,
Hema Kumhar,Mera bhart mhan,2021-01-27T20:38:26Z,0,0,,,,
Hema Kumhar,Ye kya ho rha he,2021-01-27T20:38:00Z,0,0,,,,
Wajid Ali,Bohut dukhat ghatna hai police ke zakhmi hone ka Aakda hai desh ki media&#39;s ke paas But desh ki media&#39;s ke paas Kisaano ke zakhmi hone ka Aakda nahi 😷 Godi media&#39;s mein police firing laathi charge and police ka chupkar bridge ke upar se Deep Siddhu Ko Free Hand Operation On RF Flag Hosting That All Are The Planing For Destroy This ANDOLAN😷,2021-01-27T20:37:58Z,1,0,,,,
G & R retail LLC,if you talk about lal khila sikh on that you guys forget back history,2021-01-27T20:03:26Z,1,0,,,,
G & R retail LLC,more respose modi gov dehli police,2021-01-27T19:54:32Z,0,0,,,,
G & R retail LLC,yes modi should cancial bill this is traler from kissan four mont go kissan sitting on road do gov care no so far,2021-01-27T19:53:14Z,1,0,,,,
Tanushree Mondal,Jai ho kisan ji,2021-01-27T19:22:28Z,0,0,,,,
game pubg,I m punjab hindu but love modi,2021-01-27T19:17:56Z,0,0,,,,
Ujer Khan,Hmmlll<br> M..l,2021-01-27T19:15:40Z,0,0,,,,
Ujer Khan,I.. M.  Ll,2021-01-27T19:15:29Z,0,0,,,,
Kamruzzaman,RSS destroy,2021-01-27T18:58:48Z,0,0,,,,
