Name,Comment,Time,Likes,Reply Count,Reply Author,Reply,Published,Updated
BILL DHALIWAL,WORLD IS WATCHING . SOON WORLD WILL BE CURSING SUCH GOVT. AND PUTTING PRESSURE . NO ESCAPE . YOU CANNOT SCARE PUNJAB .ENOUGH IS ENOUGH .,2020-11-26T15:49:26Z,0,0,,,,
BILL DHALIWAL,victory to farmers . yes .,2020-11-26T15:45:48Z,0,0,,,,
Viswa Kalluru,Jai formers rip BJP,2020-11-26T13:26:01Z,1,0,,,,
Farida Batool 0001,Why farmers of other state didnot protest?,2020-11-26T13:18:10Z,0,1,,,,
,,,,,MandyNewcity,because they were already not getting msp guaranteed anyways.,2020-11-26T16:13:05Z,2020-11-26T16:13:05Z
nithin ps,Where is Rahul Gandhi,2020-11-26T11:30:34Z,0,0,,,,
Philip,"This is inhumane, very good protest, where are the evil BJP, leader&#39;s and MInister&#39;s, why so much of tension at the border&#39;s, why not they allow them to protest peacefully, but instead allowing riots to happen, who&#39;s responsible for this???, Good farmer&#39;s have taken a right decision, fight for all your right&#39;s till the government listen to your pleas, why only social distancing when farmer&#39;s are protesting peacefully? why not social distancing when voting is going on in the State???",2020-11-26T11:25:25Z,1,0,,,,
Gurwinder Kaur,Nycc,2020-11-26T10:25:59Z,0,0,,,,
Martha Iyengar,Common people together on the roads.<br>Against aloof bjp govt,2020-11-26T10:25:17Z,1,0,,,,
Martha Iyengar,Why should the haryana govt. Block their way . This is proof of undeclared emergency,2020-11-26T10:22:11Z,1,0,,,,
Indian Chhora Wandering,"Tanashahi ,atyachari  ka goddi tore ga Tractors..<br><br>NRC ka upcoming protest  en tractors ka pichhe ane wala hai pura desh me..👍<br>Chalo Kishano..Desh bachao",2020-11-26T09:31:07Z,0,0,,,,
Sai Surya,Jai kisan,2020-11-26T09:20:20Z,0,0,,,,
krishan kumar,Jeet kisan ki hogi,2020-11-26T09:03:51Z,1,0,,,,
Sonali Ghodake,Government should speak to them.,2020-11-26T07:38:35Z,3,0,,,,
