Name,Comment,Time,Likes,Reply Count,Reply Author,Reply,Published,Updated
korula mani,WELL EXPLAINED CONGRESS SIR,2020-12-03T02:32:02Z,0,0,,,,
HAri oum,"Congress HQ shifted in lahor,iha seref modi dummy con hai kons mp k cm hai.",2020-11-30T05:32:57Z,0,0,,,,
Musafir Palbarka,This antinational channel and its sold out host hahahhahahaha,2020-11-29T13:06:42Z,2,0,,,,
Manish K S,MSP IS  FREE MONEY and must be removed,2020-11-29T12:35:20Z,1,0,,,,
Shantie Maharaj,If d farmers stupid to b provoked den let dem so silly congress dis morning for dem in 70 years only corruption,2020-11-28T20:51:34Z,0,0,,,,
Jun Das,Gurantee MSP is not possible will farmers gurantee quality this is issue how a consumer can purchase a bad quality atta dal rice  in the name of govt this is absurd matter is politice nothing related to bill they are demanding it will hamper general public those who are mango people it will affect inflation hard to effort us this matter is related to politicians and middle man not farmer issue hijack by political parties,2020-11-28T15:27:18Z,5,0,,,,
Peter Pereira,Now Rajdeep is becoming a bjp agent like arnab the paid agent,2020-11-28T10:55:07Z,0,0,,,,
Peter Pereira,Bjp is forcing opposition to bring people on the streets as bjp is anti people as the govt is the worst and the most corrupt in the world,2020-11-28T10:54:19Z,0,0,,,,
Jogender Singh,Congress spokesperson is laughing like mad person,2020-11-28T08:41:11Z,0,0,,,,
Jogender Singh,Facts are crystal clear.. How much msp did UPA give.. Data never lie.. So before taking a stand.. One should see data,2020-11-28T08:32:25Z,3,2,,,,
,,,,,Jogender Singh,@Balagopal R certainly they gave less msp thn NDA,2020-11-29T07:42:32Z,2020-11-29T07:42:32Z
,,,,,Jogender Singh,@Balagopal R they are still not stopping msp,2020-12-01T05:33:15Z,2020-12-01T05:33:15Z
Jogender Singh,One should ask to Gaurav who had made this msp rule before BJP?,2020-11-28T08:29:02Z,0,0,,,,
Rehan Santhosh,Bjp destroying country 🤦‍♂️,2020-11-28T08:16:26Z,1,0,,,,
Roy,This lady is shamelessly laughing on such a serious issue...,2020-11-28T05:58:52Z,5,0,,,,
Balaji Shrinivaas Krishnamurthy,Nonsense protest,2020-11-28T03:51:26Z,2,0,,,,
Mohammed muzaib,What nonsense Oppostion is ment to act as voice of people shame in godi media,2020-11-28T03:28:26Z,3,0,,,,
Mohd Irfan,Why Rajdeep invites Junglee billi?,2020-11-27T22:11:44Z,2,1,,,,
,,,,,Vijay B S D,He didn&#39;t. The media did,2020-11-28T01:10:50Z,2020-11-28T01:10:50Z
Love Peace,People are the prime stakeholders in a democracy and not the few corporates. Inacceptable.. listen to the farmers. Congress cannot even mobilize hundred people. Don&#39;t joke.,2020-11-27T18:53:08Z,1,0,,,,
Jyotiraditya Handa,When the government listened ?lmao,2020-11-27T18:44:43Z,0,0,,,,
Jyotiraditya Handa,"<a href=""https://www.youtube.com/watch?v=epdpFygvqd4&amp;t=8m09s"">8:09</a> so damn coooool 😂",2020-11-27T18:37:16Z,1,1,,,,
,,,,,Vijay B S D,What??,2020-11-28T01:10:09Z,2020-11-28T01:10:09Z
NAIYER,Mic off kar diii sali kutya kiii 😂😂😂😂,2020-11-27T18:27:51Z,0,0,,,,
akhtar shamsi,BJP new slogan is becho india rightly said by TRS Cm son,2020-11-27T18:27:13Z,1,0,,,,
Lawrence Dsouza,Anti farmer anti people government.,2020-11-27T18:11:11Z,2,0,,,,
