Name,Comment,Time,Likes,Reply Count,Reply Author,Reply,Published,Updated
good,SINGH IS KING👑,2021-07-25T10:40:11Z,0,0,,,,
good,Green helmet wala modi ka chamcha hai,2021-07-25T10:39:23Z,0,0,,,,
good,Kisaan ekta zindabaad,2021-07-25T10:38:37Z,0,0,,,,
Parth Dhanjal,Godi media,2021-06-11T19:21:22Z,0,0,,,,
Gautam Yadav,Police waley agar kisan ke bethey hotey toh yeh sarkar muh toor deti,2021-06-06T16:46:37Z,0,0,,,,
Anand Bettad,Farmer quation is currect,2021-05-19T09:29:01Z,0,0,,,,
🙏SINGH 🙏,"Sala covid da , 101 treeke , penc*<b>*</b> sade pawe koi trekka na hove put bahhh bhut sohni pone a ase",2021-05-05T17:16:11Z,0,0,,,,
Jagir Singh,ਗਣਤੰਤਰ ਅਤੇ ਲੋਕਤੰਤਰ ਦੀ ਸੰਵਿਧਾਨਿਕ ਮਰਿਯਾਦਾ ਦਾ ਉਲੰਘਣ ਕਰਕੇ ਖੇਤੀ ਦੇ ਕਾਲੇ ਕਾਨੂੰਨ ਬਣਾਏ ਹੋਏ ਹਨ ਇਸ ਲਈ <br>The death/harassment of farmers &amp; workers  due to protesting against Agro black laws and the behavior of NDA Rulers towards the people of its own country should also be condemned strongly by raising demand for dismissal of NDA SARKAR.,2021-02-27T13:31:09Z,0,0,,,,
555 666,"We already seen many dangerous disease caused by virus and bacterias, many had dies since 1970- 1990- 2000, ...example: Calra,Denggu,Polio and many more...those were more dangerous than Covid 19...but the world had no caution and no stupidest restrictions like wearing mask because that era unlike present day which with advance digital technologies like smartphone,QR code,Wifi ,Internet ,Facebook ,<br>Android apps,whatsapp,telegram and etc..Today we are with enough of these technologies to control each individual in the name of  saving people&#39;s life🖕...What they have done is simply against human rights...They created corona propaganda for this..Either corona exist or not, this is just a mass political fraudulence for their more execution power...",2021-02-17T12:59:52Z,0,0,,,,
waqas syed,"Kashmiries plz dont ask  sympathy from India,,RSs India killing their sikhs as well",2021-02-03T17:31:58Z,0,0,,,,
Rauf Khan,Police officer na bhot acha faisela kiea ha from Pakistan,2021-01-29T17:35:36Z,1,0,,,,
yoink,1st sushant then farmer law,2021-01-27T23:02:35Z,0,0,,,,
Mastram,The second office had good EQ and the first one lacked both IQ and EQ<br>Ganwaro ki tarah bol rha tha pehle wala,2021-01-27T18:20:26Z,0,0,,,,
Mastram,Lol the thumbnail is now irony<br>We haven&#39;t come to fight lol<br>Though I support as most of them were peacefully protesting in tractor Rally,2021-01-27T18:18:39Z,0,0,,,,
Karamat Ali,salute of you. <br>He said give 2 options about of 101 solutions.<br>covid for us not for you hahaha you beauty,2021-01-27T17:01:57Z,0,0,,,,
Bipin Kumar,Ye police kitna bada ooo hai... Chhi chhi chhi sari had par .....koi kisan ka nehi sunta yaha....police hai ya gunda hai...,2021-01-27T13:11:59Z,1,0,,,,
yk The Boss,Northeast India support you farmars,2021-01-27T09:42:34Z,0,0,,,,
yk The Boss,EVM VOTER MACHINE HATAW<br>DESH KO bachaw,2021-01-27T09:41:10Z,0,0,,,,
T A H E E R,Sab netha kisan ki roti khate hai.. Ulta unke ooper law lathe hai,2021-01-27T08:51:54Z,0,0,,,,
T A H E E R,Kisaan bhai zindabad.. Uthni himmat haito police wale khudh kheth mein ughake khao na..,2021-01-27T08:51:15Z,0,0,,,,
ANIRUDH JOHARI,Tum sab ko pata bhi nahi hai pagal log,2021-01-27T07:43:52Z,1,0,,,,
GAMEMAN 376,I know it&#39;s very hard to farm like in this time but you are throwing india flag like this shame on you punjabi,2021-01-27T05:15:41Z,0,0,,,,
Fight with mind,"My biggest mistake in life is voting bjp and this modi came to power daily I pray to God when this modi, amith shah will go from power or from world",2021-01-26T20:35:11Z,0,0,,,,
Sam Dada,Jahil police,2021-01-26T18:17:33Z,0,0,,,,
Ankit Maheshwari,Faasi ka fanda daal diya kuch bhi karte rho protest india ko duba do sab milke farmer government sab milke tod do desh ko😂😂😂,2021-01-26T16:13:44Z,0,0,,,,
Sakhawat Dhilon,Police kuti ke bche han,2021-01-26T13:07:40Z,0,0,,,,
Arshad Syed,How dare anyone misbehaves with farmers.<br>It is because of them we eat food.<br>Shame on everyone,2021-01-25T19:04:35Z,1,0,,,,
L,"COVID release is an attempt to control the free peoples of the world including these farmers, pray they the farmers prevail. Governments are using COVID to subjugate the masses.",2021-01-25T09:50:17Z,0,0,,,,
Hermi Singh,Police fascists,2021-01-24T22:53:07Z,1,0,,,,
