Name,Comment,Time,Likes,Reply Count,Reply Author,Reply,Published,Updated
BLITZ TEXAS USA,"Punjabiyan naal punga, Support from TEXAS USA  @",2020-12-03T02:23:13Z,0,0,,,,
Harshpreet Kaur,Please next time don&#39;t vote to them. U can learn from USA democracy. People has power so next time use this power .,2020-12-01T20:31:53Z,0,0,,,,
Harshpreet Kaur,World is watching for BJP leadership shame on them . They don&#39;t care about their people.  So many leaders have no family,2020-12-01T20:28:12Z,0,0,,,,
Harshpreet Kaur,When BJP doing rally that time where is Corona,2020-12-01T20:25:31Z,0,0,,,,
Anil Tripathi,"This is Shaheen Bagh 2.0. Same people, same stretagy, same channels.",2020-12-01T14:07:32Z,0,0,,,,
Sarb Kaur,"It is the first time, this protest become historical protest because it was leaded by farmers leader",2020-12-01T04:32:33Z,0,0,,,,
Sarb Kaur,"It protest  lead by farmers,even not any political party",2020-12-01T04:26:47Z,0,0,,,,
Harish,illiterate bjp spokesman doesn&#39;t know to talk about just going about anything,2020-12-01T00:51:58Z,0,0,,,,
Jas Singh,21centuary farmers need this s@it,2020-11-30T20:53:57Z,0,0,,,,
Nalin Bharkhda,"Please don’t have yadav in your channel <br>He so irritating and he is Hippocrates, he does not have his on status, wondering and fit in the room available",2020-11-30T19:19:13Z,0,0,,,,
VaaniP,Iss bjp ke kutte ko chappal se marna sahi  maanavta hai,2020-11-30T18:58:16Z,0,0,,,,
Lost wonderer,56 inches chati wala is fearing to face our Anna data. Shame on poor governance,2020-11-30T17:37:47Z,0,0,,,,
Hakkim Hakkim,"ஏர் பூட்டி உழுது அவனை, வெறும் ஏர் கலப்பை என்று நினைத்துக்கொண்டான் அந்த ஆரியவதி!! அந்த ஆரியத்தை உழுது போடட்டும் ஏர் கலப்பையால் விவசாயி!!..டெல்லியை முட்டி மோதி உடைக்கட்டும் விவசாயிகளின் போராட்டம்!!🔥🔥🔥",2020-11-30T17:34:16Z,0,0,,,,
sathya022,Speaker Can&#39;t even understand or speak English? What the hell these bjp persons are brought for talks?,2020-11-30T16:05:16Z,0,1,,,,
,,,,,sathya022,@Ard Pat first thing... You need to understand this is a English news channel..media is not running for host.. It is for the English audience..,2020-12-05T05:09:58Z,2020-12-05T05:10:56Z
tripat sahajpal,THE SUPREME COURT IN RENDERING THE SHAHEEN BAGH JUDGEMENT SAID NO ONE CAN OCCUPY THE STREETS OR HIGHWAYS BUT CONGREGATE IN A DESIGNATED SITE WHAY IS NDTV OR THE POLITICAL PARTIES NOT PAYING HEED TO THIS CONSTITUTIONAL RULING BECAUSE THEY ARE TROUBLEMAKERS  AND WANT VIOLENCE,2020-11-30T15:45:07Z,0,0,,,,
Vasuki Nagabhushan,NDA2.0 is the most corrupt govt in history.,2020-11-30T15:30:50Z,0,0,,,,
Proud and Peaceful,Y Yadav is a bogus man with a smooth tongue.,2020-11-30T14:39:53Z,0,0,,,,
Proud and Peaceful,It is all a political propaganda of opposition and rich Punjab so-called elite in the farmer clothes.,2020-11-30T14:37:34Z,0,0,,,,
K Sull,"The news man says they are all khalistani and then ends by saying he has no time.<br>Are the Hindu brothers from UP, Haryana, and Gujarat Khalistani too?<br><br>These are farmers of Hindustan speaking for all states on the issue of farming.",2020-11-30T14:17:18Z,0,0,,,,
Mohan Kumkar,ബിജെപി സർകാർ destroyed our country,2020-11-30T10:48:11Z,0,0,,,,
Shridhar Mahajan,"इस समय, देश का किसान बहूत भावूक, विपदापूणॆ और कष्टदायक़ दौर से गुजर रहा है, इस परिस्थिती में मोदी सरकार ने समझदारी, संवेदनशिलता और बडा मन दिखाना चाहिए, सारा देश इस किसान आंदोलन को देख रहा है, हे इश्वर, हे अल्ला, हे वाहेगुरू मोदी सरकार को सदृबुद्धी दे, विवेक़ बक्षे.......भगवान सबका भला करे।",2020-11-30T10:43:14Z,0,0,,,,
Sumchinmang Tonsing,NDTV is one national media which still allows every opinion a voice.,2020-11-30T09:44:37Z,0,0,,,,
Syed Karamathullah,"Modi Government should act with a statesman&#39;s temperament, but it is arrogant like a bad boss.",2020-11-30T09:06:20Z,1,0,,,,
Deepak Malik,Bjp just consists of bunch of fools as its symbol suggests kamal ke fool  who don&#39;t have any logics..it is being clearly seen in the debate..the bjp sopkesperson is such a fool that he can&#39;t even answer the debate in the right direction....,2020-11-30T08:26:38Z,0,0,,,,
Punit Gujral,Why you didn&#39;t do the same when Modi as CM of gujrat had requested the same. <br>Congress you are going to get the reply just wait.,2020-11-30T08:11:22Z,0,0,,,,
Fitness Curiosity,"Adil singh speaking sense. It is not the time when any party can fool people around. Let it be congress let it b BJP or AAP, no one can fool none now. Educated people can understand very well, what is right and what is wrong.",2020-11-30T08:07:15Z,0,0,,,,
Jmj Selvin,"Farmers back bone of india,  bjp black money of india",2020-11-30T07:28:29Z,0,0,,,,
I,These bjp leaders &amp; spokesperson are so misguided... seems like they have no idea of what they are taking about... Modi teach your people to talk with facts rather than talking gibberish,2020-11-30T07:05:31Z,1,0,,,,
Pornima Gaikwad,बीजेपी  सरकार के मन में चोर है इसलिए वह स्पष्ट शब्दोमें किसानोंकी मांगे  बिनाशर्त माननेको तैयार नहीं है ! बीजेपी हटाव देश बचाव !!,2020-11-30T06:53:31Z,0,0,,,,
MANICKAVASAGAM PERIASAMY,"In case Govt cares farmers in covid period,govt should not have introduced &amp;passed these bills affecting farmers",2020-11-30T06:42:21Z,1,0,,,,
