Name,Comment,Time,Likes,Reply Count,Reply Author,Reply,Published,Updated
RINKU GHOSH,main thing is that farmers are not ready to hear at all.....so gov also should not introduce any reform for these fools....there is clearly written in bill no land of farmers will be taken....and if farmers do not agree with corporates to sell there produce then do not sell and anyway i think in open market without trade farmer can sell at a better price....and its not that farmers are not getting MSP ...they are getting more msp as compared to 2014.....so i think we must support farm bills...,2021-09-07T07:09:34Z,1,0,,,,
Shankar SM,"One or two states were given priority during the times of food shortage in India and these were Punjab and Haryana. The system of commissions this agents and tax collected by the state I&#39;d not correct since this need not be supported by the Central Government and if so then all states have to be given similar status. The fear that private traders would take advantage is too be volunteered by the farmers through collective bargaining and they can have these commission agents in their behalf. Also if farmers are happy with commission agents, these people can themselves become the sole traders.  All said and done while government is coming out of public sector participation slowly evenin defence, telephones, power, aviation etc., It is not reasonable to ask Central Government to be the left purchaser of food grains. Ofcourse Central and State governments would come to help farmers whenever there is a need since farming is the backbone of the country. While every other states&#39; farmers go directly to markets and were happy when levy on rice mills were lifted his can these farmers have a different treatment even after decades? Politicised farmers are taking to bandhs in these difficult times giving based name to all farmers in general.",2021-07-29T11:00:30Z,0,0,,,,
jamihassan,Fekuchand chor hai.,2021-07-08T09:07:01Z,0,0,,,,
Sarita Choure,"For free Liquors , rapes, drugs, pizza and spreading fake propaganda....",2021-05-12T02:45:56Z,0,0,,,,
Sabka Baap,Inn santa or banta ko koi samjhao ye..Law... <br> Anpad gawar.O ko.🤣😂 kon batayega ye KHALI stan walo ki chaal hai..,2021-05-11T18:41:28Z,0,0,,,,
Sayooj Kumar,"This stupid protest during the pandemic has turned Delhi into a grave yard of corona victims, why not the organisers including the communists take responsibility of deaths caused by them",2021-05-06T08:10:12Z,1,0,,,,
Ashley Paul,I support the farmers. 200%.,2021-05-01T17:22:16Z,0,0,,,,
Jeorge,"When Government elected officials sucks up to the rich and powerful, this is what happens. A cancer in the democratic form of government that empowers the rich to sponsor anyone to run for any elected position in a democratic country. This is what happens when the government becomes of the people, by the people, but NOT for the people. Sad :(",2021-02-11T02:05:16Z,0,0,,,,
DRIVELAZA,Farmers are innocent hard workers.... Hope government tries to educate them about the empowerment and benefits of the bill passed. Its only because of state government politics and misguidance which has lead to chaos. Not at all farmer&#39;s fault. Nor the central government&#39;s fault. If farmers are worried then government has to convince them and make sure corporate companies treat farmers equally as a business partner and do not exploit them. Once mandi system is removed only then farmers will be able to think out of the box. Hope we see farmers evolve and be the richest and happiest citizens.,2021-02-07T09:52:38Z,0,0,,,,
any,Government want to become middleman trader. What a greedy corrupt official.,2021-02-06T23:26:25Z,0,0,,,,
Lakshmi Shankar,If middle men were not looting the farmers then why did rahul gandhi want to take middle men out,2021-02-03T08:29:41Z,1,0,,,,
Himadri Das Bharali,These all farmers  are big bloody fools.They dont have any right to destroy the governments property and beat the plolice. Now 300 no of police has been injured by these fools (devil&#39;s). Even they are misbehaving with our national flag. When i saw this on news it made me aggressive. Every Indian should love and respect the national flag. This is humble request to the  central government  that to take serious action on them.,2021-01-27T15:32:58Z,0,0,,,,
Theeraphat Sunthornwit,I sleep with....no... i mean i stand with farmers.,2021-01-26T18:22:38Z,0,0,,,,
Munkashif,Last smile of yous is killing me 🔥,2021-01-10T05:01:12Z,0,0,,,,
CUCHULAINN,Yogendra Yadav top farmer and middle man  of the year 2021 without owning a farm and getting  money from China,2021-01-09T16:52:41Z,0,0,,,,
Alorjyoti Chattaraj,WB not support the rule,2021-01-07T19:34:49Z,0,0,,,,
