Name,Comment,Time,Likes,Reply Count,Reply Author,Reply,Published,Updated
L0sT S0UL,Good mediator...keep up the good journalism,2021-02-04T19:57:14Z,0,1,,,,
,,,,,Kuldeep Khokhar,Vvvvhv v. V <br>v vb. G v v  vvv b g gvhg,2021-09-07T10:04:54Z,2021-09-07T10:04:54Z
CUCHULAINN,Yogendra Yadav top farmer and middle man  of the year 2021 without owning a farm and getting  money from China,2021-01-09T16:49:47Z,0,0,,,,
Harish M,"This, not the right time pass this kind of act.. this bill pass by listening, voice viting ooy or no.. when some people, start opposing.. thay were not listened, and they were suspended.. <br><a href=""https://www.youtube.com/watch?v=euIRCvyzXAY&amp;t=0m40s"">0:40</a> please show the starting of this issue..",2021-01-04T20:44:47Z,0,0,,,,
Barsharani Pattanayak,Anchor bar bar kyun bol rahe ki Congress kar rahi thi..abhi toh bjp Kiya he na..uska upar najar do,2020-12-12T18:04:58Z,0,0,,,,
Barsharani Pattanayak,Govt ke control me aatahe toh itna farmer suicide hota he..agar private player ke bharosa chod Diya toh Kiya nehi hoga..u comparing agriculture with business..itna to dimag hum me bhi he...,2020-12-12T18:02:38Z,0,0,,,,
Barsharani Pattanayak,Rahul ji..aap govt clg ko Mandi se compare kar rahe ho..Mandi se kishan income karta he and clg me money spend karte he....,2020-12-12T18:00:12Z,0,0,,,,
Jam09 Joe,What students leaders are to south Indian politics...farm mandi leaders are to North indian politicis. Modi govt should bring this bill.. farmers will benifit immensely....new technology will be brought by mnc and govt red tapism will decrease,2020-12-03T16:15:30Z,0,0,,,,
prasad mlv,"Mr Rahul...actually in 2011,and 2013 congress brought this bill to introduce.<br>For some vested intrest they could not doit,now the same bill is introduced by NDA.<br>What is the problem for congress and opposition.<br>Such bills does not require standing committe recommendations.<br>After long time the poor former got the rights to sell his crop ,where ever he wants to sell,we do not understand why souch hue and cry<br>And for all of us it looks like a hypocracy.<br>And it looks like INDIA To DAY is a part of this game.",2020-09-23T15:34:29Z,4,3,,,,
,,,,,Siddharth Thakur,Are you saying that we shouldn&#39;t question anything which we think needs revision<br><br>Is this the RSS and BJP dictatorship?,2020-09-23T18:35:51Z,2020-09-23T18:35:51Z
,,,,,Defiant,@prasad mlv true,2021-02-04T05:33:52Z,2021-02-04T05:33:52Z
,,,,,Kunal Saini,@Siddharth Thakur dictatorship hoti na? Toh ye 2 ruppee ki angrezi wala comment bhi na kr pata tu. ..  baj matt jyada,2021-02-10T04:14:48Z,2021-02-10T04:14:48Z
Saroja Krieg,Modi government is a fraud <br>They are looting Indians,2020-09-22T18:52:41Z,2,0,,,,
Subhankar Bagchi,Yoginder is a chor covered by beard 😂😂😂,2020-09-22T08:58:15Z,2,1,,,,
,,,,,Siddharth Thakur,BJP is a chor covered covered by RSS,2020-09-23T18:47:22Z,2020-09-23T18:47:22Z
Current Adda,BUYCOTT BJP <br>INDIA IS GOING DOWN TO DUMP,2020-09-22T08:08:26Z,0,0,,,,
pushkaraj bhojkar,"Important question is who will establish private mandi just like congress n simillar partys taken oven gov.  Mandis bjp also give liscen to there close persions, and they will be new thekedar of this new mandis like ambani adani would be new private mandi owner..this is also one question..who will get benifite..",2020-09-22T04:00:07Z,0,0,,,,
Nirmal Jain,I support BJP,2020-09-22T01:18:33Z,4,3,,,,
,,,,,Current Adda,okie keep supporting <br>soon you will hate yourself,2020-09-22T08:08:57Z,2020-09-22T08:08:57Z
,,,,,Saroja Krieg,Nirmal Jain soon you won&#39;t have food to eat<br>You are a stupid fool,2020-09-22T18:51:19Z,2020-09-22T18:51:19Z
,,,,,Akash,@Current Adda just like me,2020-09-27T06:59:46Z,2020-09-27T06:59:46Z
Viraj Turakhia,"Yogendra Yadav says that farmers are already allowed to sell products to private traders. They also showed the fact that 94% of farmers are already selling their products to private traders. Now, how come all of sudden the data will be gone? I think that is a BS argument.<br><br>But I agree with the question of why no debate was allowed. That&#39;s a fair question to ask the BJP government.<br><br>A good debate hosted by Rahul.",2020-09-21T22:32:19Z,5,1,,,,
,,,,,aditya singh,Sir I don&#39;t know u belive or not but shanta Kumar committee who&#39;s constructed during the government of NDA submitting his report in2016 in which write only 6% farmer of India get msp while 81% farmer not known that msp given on many of the crop. Sir I am ag. Student so as a student and my knowledge I like to share with u don&#39;t take this otherwise.,2021-08-16T09:50:36Z,2021-08-16T09:50:36Z
anurag majhi,Bikautak,2020-09-21T20:30:24Z,1,0,,,,
ritwik -,"Shame shame, Rahul Kanwal is Modi’s favourite canine pet! Down with the Godi media speaking through their sphincters all the while and delivering farts through the evening!",2020-09-21T16:46:05Z,2,1,,,,
,,,,,Anurag Yadav,please do fall in the habit of labeling things,2020-09-21T21:55:36Z,2020-09-21T21:55:36Z
James Zacharias,The law should cover head load goons in Kerala for bleeding the farmers,2020-09-21T16:32:49Z,0,0,,,,
Momphan Momphan,"🔺Do you wish to be famous, wealthy and powerful? Be part of this elite organization called the illuminati brotherhood filled with world leaders, business authorities, artists, and be given (💰500,000 USD) as your monthly benefit and also be given a new house of choice. Reply me by saying YES.....if INTERESTED...... 🔺<br>🔺WhatsApp contact +27818679415",2020-09-21T16:27:52Z,0,0,,,,
