Name,Comment,Time,Likes,Reply Count,Reply Author,Reply,Published,Updated
Bishal Gupta,AAA reporter sir...if they want to do hunger strike than ok ..  they can go in there home and can strike. Bc ..pehle phursat mein nikal,2021-01-11T16:38:59Z,0,0,,,,
Sumanpreet Kaur,"Modi is affecting so many lives. This needs to stop, we need to stand up for our country and stop this idiotic maniac. We have had enough, this piece of trash has done NOTHING good for our country, now it&#39;s our turn to use OUR voices and get the respect we deserve. And in India there are not that many COVID cases half of them were made up by Modi and alot of doctors scared people so they won&#39;t protest! Many people who has strokes, heart attacks or any other problem were told they have &quot;covid&quot; When they didn&#39;t. India was very taking alot of cautions but what the doctors did not bhai nirmal singh ji was wrong, they said he had &quot;covid&quot; But really he didn&#39;t he got a heart attack. <br>and we r done! He&#39;s nose is even bigger than Pinocchios. <br> India is a great country and it has great people but we just need a new ruler. 🇮🇳🇮🇳🇮🇳",2020-11-27T04:14:24Z,1,0,,,,
Harkawal Preet Singh Saini,"We are coming Delhi. Farmers Zindabad . Waheguru ji ka Khalsa, Waheguru ji ki fateh",2020-11-26T17:41:49Z,0,0,,,,
Ajay Kukreja,DEPRIVED OF MSP AND SUBJECTED TO WATER CANNONS. !!!!!!,2020-10-29T08:17:49Z,0,0,,,,
Tiger Singh,Modi is a pawn for rich people of India. He is an enemy of farmers.,2020-10-25T21:05:10Z,0,0,,,,
Dude_spy,"People of Haryana and Punjab, ye bill sirf kisano ko kamzoor nahi karega balki in rajeyo ki arthvayevstha ko khokhla kardega. Agar kisan ke pas kharach karne ko paisa nahi hoga to shahar main vayapaar kaise hoga. Please I request everyone whether businessman, student, private employee to protest this bill as at the end of the day it will impact everyone.",2020-10-02T19:16:08Z,0,0,,,,
RohanFix,Are we living in British Raj???<br>Dictatorship is around<br>What are we doing??<br>Wake Up India,2020-09-30T20:48:19Z,1,0,,,,
Zion Vas,Farmer sows the seed. Bible is the seed God jesus sowed n satisfied our soul. C &quot; Bible&#39; in google!&#39;..,2020-09-30T11:53:29Z,0,0,,,,
Jordan Vas,"Farmer sowed seed, God Jesus n bible is a seed of god&#39;s word satisfied ur soul by His death n ressurrection. C &#39;Bible&#39; in google!!!.......",2020-09-29T12:12:47Z,0,0,,,,
komal Randhawa,ur water cannon can&#39;t stop our kisan union .,2020-09-29T08:45:04Z,0,0,,,,
Tasty Food & Life,thu bjp walo pe,2020-09-28T09:07:03Z,0,0,,,,
Royal Singh YT,Thank u soo much NDTV for cover this news,2020-09-27T12:23:33Z,0,0,,,,
inhumame animals torture,Quickly get commandos with missile launchers and ak 47 as situation could get ugly we cannot afford farmers who are making too much money they can only eat two sookhi chapati in a day,2020-09-27T08:06:56Z,0,0,,,,
Spider Man,Bjp sabpe NSA na laga de 😂,2020-09-26T19:35:13Z,0,0,,,,
