Name,Comment,Time,Likes,Reply Count,Reply Author,Reply,Published,Updated
Dr RM Debnath,"Som Saheb, audio problem. Har Har Mahadev Shivay Nomoh Nomo Shivay",2020-09-21T14:37:51Z,1,0,,,,
rude n cool,Controversial for ndtv... not for kishan...,2020-09-21T09:52:53Z,2,0,,,,
Akhil G,Parliament going SSR case.,2020-09-21T09:36:55Z,0,0,,,,
Akhil G,NDTV talk about IPL.,2020-09-21T09:26:47Z,0,0,,,,
Swapnil N,So now decorum of parliament is above farmer&#39;s death warrant?,2020-09-21T08:31:42Z,1,0,,,,
Reddylion,I don’t support filthy congress and bjp but only brokers oppose this farm bill....... farmers is the rightful owner to sell his produce etc where ever he wants........ no brokers..... farm to fork.... filthy brokers opposing.. Jai Kisan....,2020-09-21T07:33:20Z,1,0,,,,
Monal Patel,Its funny when congress oppose this bill like any other thing but the same bill was in their election manifesto of 2019 election.<br>the Only  work of opposition is to delay the reforms and not allow to do anything productive.,2020-09-21T06:34:37Z,1,12,,,,
,,,,,Swapnil N,It is same like GST and Rafael deal. UPA concepts were different. Ask feku how he used to talk about MNREGA. How he used to talk about Aadhar.,2020-09-21T08:37:11Z,2020-09-21T08:37:11Z
,,,,,Monal Patel,"@Swapnil N again, rather than engaging in good conversation you choose words like feku which completely delegitimizes any meaning to any debate. <br>Congress remains the party with good ideas but BJP is the party of IMPLEMENTING ideas.",2020-09-21T09:27:51Z,2020-09-21T09:27:51Z
,,,,,Monal Patel,"@Swapnil N In its 2019 poll manifesto, the Congress had gone a step further, saying it would “repeal the Agricultural Produce Market Committees (APMC) Act and make a trade in agricultural produce—including exports and inter-state trade—free from all restrictions.”",2020-09-21T09:29:15Z,2020-09-21T09:29:15Z
,,,,,Swapnil N,"@Monal Patel How on earth the word feku delegitimized the conversation? Isn&#39;t it truth that he sells jumla? How on earth demonetization GST were implemented in so called &quot;good&quot;way? On the other hand, BJP remains name changing party only. They renamed almost all schemes of UPA. And on top of it, they first opposed them. For example, can u tell me what feku used to say about MNREGA? What he used to say about &quot;aadhaar&quot;?",2020-09-21T09:31:35Z,2020-09-21T09:31:35Z
,,,,,Swapnil N,"@Monal Patel ufff again same. There is difference between Rafael deal of UPA and rafael deal of NDA. There is difference between how aadhaar was used under UPA and under NDA. Same thing here. Farmer just want one sentence to be added &quot;If anyone purchase below MSP then jail&quot;. Now don&#39;t ask me if UPA government would had done it or not, we will never know now.",2020-09-21T09:41:35Z,2020-09-21T09:41:35Z
,,,,,Monal Patel,"@Swapnil N Dude dont even talk about rafale deal. It&#39;s been a bust that&#39;s why it never came into fruitation. In fact, in 2013,  ak antony straight up said in parliament that they have no money to fund the MMRCA deal. the ToT negotiations were happening but nothing ever finalized because expecting ToT from such aircraft doesn&#39;t come cheap. Also their deal didn&#39;t include any ammunition or BVR missiles which were included in NDA&#39;s complete deal. Now our airforce uses MICA(which is also tested on SU-30KMI jets), Meteor and Hammer missile. So don&#39;t even talk about them vs their because there was no deal in congress govt if it ever was something would have moved between the period of MMCRCA competition which happened in 2011 and 2014 .",2020-09-21T10:12:17Z,2020-09-21T10:12:17Z
,,,,,Monal Patel,"@Swapnil N Trust me, the moment i started using words like pappu, Italian. It would derail any logical debate and things only will turn on exchanging insults and abuses. Remember, namecalling and mocking someone in debate is always stupid. Debate on facts and that&#39;s how it goes. Noone said Modi govt is perfect. They have flaws, their work has flaws. Everyone does. GST has been in process of evolution since the day it passed. Several amendments were done by the feedbacks of GST counsil. If you calm down your biased nerve then you can find many good things too, ofcourse bad ones are also there.",2020-09-21T10:16:54Z,2020-09-21T10:16:54Z
