Name,Comment,tone
Ramkumar 1993,"Rahul,gdhe,ko,Agra,me,bhrti,kro,aur,tukde,gaik,ko,suvar,ki,tati,kha,rhe,hai,n,d,t,v,to,sala,desh,ka,gddar,hai,",{'document_tone': {'tones': []}}
मुकेश राणा राणा,जब किसान नही चहाता तो सरकार  के खाज कयो है,{'document_tone': {'tones': []}}
viikk pandit,"GARBAGE FARMERS... Vietnam rejects Indian rice as not fit for humans, ... Pubjab already uses the new Farm Laws to allow Kisans from Bihar to sell rice massively in Punjab. And amazingly most of the Farmer Unions protesting are Panjus...  the average Indian farm size is only 2.28 hectares, they do not have tractors. Tikhait is Coongi ally and failed in elections. Seems these farmers are only BLACKMAILERS","{'document_tone': {'tones': [{'score': 0.75202, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.650058, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'GARBAGE FARMERS... Vietnam rejects Indian rice as not fit for humans, ... Pubjab already uses the new Farm Laws to allow Kisans from Bihar to sell rice massively in Punjab.', 'tones': [{'score': 0.749791, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}, {'sentence_id': 1, 'text': 'And amazingly most of the Farmer Unions protesting are Panjus...  the average Indian farm size is only 2.28 hectares, they do not have tractors.', 'tones': [{'score': 0.621142, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}, {'sentence_id': 2, 'text': 'Tikhait is Coongi ally and failed in elections.', 'tones': [{'score': 0.681182, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}, {'sentence_id': 3, 'text': 'Seems these farmers are only BLACKMAILERS', 'tones': [{'score': 0.734644, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.620279, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.946222, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}]}"
smart tv,J,{'document_tone': {'tones': []}}
Shahbaz Ali12,4,{'document_tone': {'tones': []}}
Shahbaz Ali12,444444444444444444444444444444444444444444,{'document_tone': {'tones': []}}
manoj kashyap,😀😀😀😀😀,{'document_tone': {'tones': []}}
Muhammed Khadeer,"This much problems coming in india, then why selecting this government. I&#39;m sure one day they will sell complete India and run away from India","{'document_tone': {'tones': [{'score': 0.655106, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.643758, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.895883, 'tone_id': 'confident', 'tone_name': 'Confident'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'This much problems coming in india, then why selecting this government.', 'tones': [{'score': 0.61084, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.788547, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 1, 'text': 'I&#39;m sure one day they will sell complete India and run away from India', 'tones': [{'score': 0.519969, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.704642, 'tone_id': 'confident', 'tone_name': 'Confident'}]}]}"
Gurvinder Thiara,God bless kisans. Thank you for ur coverage on the truth n justice for kisans. It&#39;s their property n they have every right to protect their property.,"{'document_tone': {'tones': [{'score': 0.870468, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.935988, 'tone_id': 'confident', 'tone_name': 'Confident'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'God bless kisans.', 'tones': [{'score': 0.922322, 'tone_id': 'joy', 'tone_name': 'Joy'}]}, {'sentence_id': 1, 'text': 'Thank you for ur coverage on the truth n justice for kisans.', 'tones': [{'score': 0.51966, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.543112, 'tone_id': 'confident', 'tone_name': 'Confident'}]}, {'sentence_id': 2, 'text': 'It&#39;s their property n they have every right to protect their property.', 'tones': [{'score': 0.821444, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.751512, 'tone_id': 'confident', 'tone_name': 'Confident'}]}]}"
Akki Mukadam,Uppar wala kary aandolan santi purn   aur sarkar sabhi ka saath day,{'document_tone': {'tones': []}}
Gulam kadar Khalifa,A Salam,{'document_tone': {'tones': []}}
Muhammed Umar Maroof Khan,Great job simply best,"{'document_tone': {'tones': [{'score': 0.912052, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.762356, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
ZAIN309,Eind of India.  China is making eind of India,"{'document_tone': {'tones': [{'score': 0.883404, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'Eind of India.', 'tones': []}, {'sentence_id': 1, 'text': 'China is making eind of India', 'tones': [{'score': 0.842108, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}]}"
Chauhan Gaurang,333h3333r 333333 3h3ht 3,{'document_tone': {'tones': []}}
Orce Tata,"I think that every person who is a candidate for something like that and gives from these people who are trying to sell their drugs, I think that every person is trying and will try to force the note, but with me I have never beaten China with Russia and America needs to understand when India&#39;s flag flies over the planet So everyone needs to understand that they need to respect democracy",{'document_tone': {'tones': []}}
