Name,Comment,tone
Rinkumoni Nath,pehle thik se english bolna sikh,{'document_tone': {'tones': []}}
kriti singh,Karani ka fal hi,{'document_tone': {'tones': []}}
Dom Toretto,YeahhhðŸ”¥,{'document_tone': {'tones': []}}
Beauty Of Nature#07,Maro salo...gaddar,{'document_tone': {'tones': []}}
à¤°à¤¾à¤œà¤¨à¥€à¤¤à¤¿ à¤°à¤¹à¤¸à¥�à¤¯,Achha hua,{'document_tone': {'tones': []}}
Sameer Ahmad,Ankit Tyagi if you get a good job at some trusted news channel go there otherwise do not report in these conditions because the anger they have for godi media will be on you and you will have no answer. It can be fatal for you going there again.,"{'document_tone': {'tones': [{'score': 0.832924, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.745431, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'Ankit Tyagi if you get a good job at some trusted news channel go there otherwise do not report in these conditions because the anger they have for godi media will be on you and you will have no answer.', 'tones': [{'score': 0.532701, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.728394, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 1, 'text': 'It can be fatal for you going there again.', 'tones': [{'score': 0.561249, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}]}"
ranveer singh,Is time godi media ki bht fati ki kahi modi wala gussa kisaano ka godi media pe na nikal jaaye,{'document_tone': {'tones': []}}
Continuum NXT,Send this reporter to school..he needs to get some basics of English and journalism... Then rehire him.,{'document_tone': {'tones': []}}
sush d,Kya jhut bolta hai Yeh sikh,{'document_tone': {'tones': []}}
Ajit Ray,Annadatta gaddar gang ko joota maarke NSA me ander koro,{'document_tone': {'tones': []}}
Sanchit Singh,Video aa chuki hai yeh khud apni galti se mara hai <br>Chutio modi ko badnaam karne ke lie kuch bhi bolte ho <br>Jai shree ram jai bjp jai modi,{'document_tone': {'tones': []}}
Adreno Rush,Kisan jindabad .<br>Ye golimar k galat Kia dalli police,"{'document_tone': {'tones': []}, 'sentences_tone': [{'sentence_id': 0, 'text': 'Kisan jindabad .<br>Ye', 'tones': []}, {'sentence_id': 1, 'text': 'golimar k galat Kia dalli police', 'tones': []}]}"
