Name,Comment,tone
Pemninder Singh,Shame Shame Shame 😂😂😳😳<br>Shame Shame Shame 😂😂😳😳<br>To the Central Government -- and Delhi Police misguided. By wrongfully guiding Farmers . <br>Very sad to very wrongfully Conducted News 🗞️🗞️ that doesn&#39;t represent truth. Shame Shame Shame 😂😂😳😳<br>😂😳😳 Shame the way you covered,"{'document_tone': {'tones': [{'score': 0.536758, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.946756, 'tone_id': 'confident', 'tone_name': 'Confident'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'Shame Shame Shame 😂😂😳😳<br>Shame Shame Shame 😂😂😳😳<br>To the Central Government -- and Delhi Police misguided.', 'tones': []}, {'sentence_id': 1, 'text': 'By wrongfully guiding Farmers .', 'tones': []}, {'sentence_id': 2, 'text': '<br>Very sad to very wrongfully Conducted News 🗞️🗞️ that doesn&#39;t represent truth.', 'tones': [{'score': 0.950519, 'tone_id': 'confident', 'tone_name': 'Confident'}]}, {'sentence_id': 3, 'text': 'Shame Shame Shame 😂😂😳😳<br>😂😳😳 Shame the way you covered', 'tones': []}]}"
Jatt Bande,At 42 mint jatt ne jwa shi gll kiti,{'document_tone': {'tones': []}}
Rohan Singh,किसान एकता जिंदाबाद 💪💪💪💪💪🙏🙏🙏🙏,"{'document_tone': {'tones': [{'score': 0.66217, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
Rohan Singh,Jay kishan,{'document_tone': {'tones': []}}
Vishal Goel,AB YE KON JHUTH FAILA RHA H KI KISAN GUNDE H? YE TO JOKER H 🃏🃏🃏🃏🃏🃏🃏,{'document_tone': {'tones': []}}
Vinay drm,"<a href=""https://www.youtube.com/watch?v=aC2brl3qDWw&amp;t=10m32s"">10:32</a> anti tank gun","{'document_tone': {'tones': [{'score': 0.506763, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
Babar Ali,Hero Afghan taleban zindabad<br>Ab ghazwa-e-hind hone wala hai<br>Afghan taleban Ka Agla mission Maqbooza Jammu Kashmir ko India Se Azad karwana hai Har Hal Mein Har Surat mein Inshallah<br>Ab Waqt Aa Gaya hai India ke tukde tukde hone ka Inshallah<br>Maqbooza Jammu Kashmir ki azadi tak aur India ki barbadi tak Afghan taleban ki Pakistan ki China ki Turki ki Jung Jari Rahegi India Se Inshallah Ameen,{'document_tone': {'tones': []}}
Kushagra y,Its swatantra diwas not garhtantra diwas😂😂,{'document_tone': {'tones': []}}
Sujan Sikder,Freedom fight at freedom day ... Go framer every indian with you,"{'document_tone': {'tones': [{'score': 0.526793, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.825035, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
Manjinder singh,Kisaan ekta zindabaad,{'document_tone': {'tones': []}}
KAMAL Yadav,Good   jai jawan jai kisan,"{'document_tone': {'tones': [{'score': 0.585988, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
Anmol Sandhu,Godi media,{'document_tone': {'tones': []}}
Ajay m g,They are not indians,{'document_tone': {'tones': []}}
orce tata,e is looking for the biggest drug sales market You have to understand that farmers in India this is looking for drug sales all over India You have to understand that it has plantation all over India only drugs,"{'document_tone': {'tones': [{'score': 0.537979, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.835672, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
orce tata,understand that farmers are doing drug factories and more than one drug plantation all over India You have to understand that we forgot with the satellite and saw a lot of ugly things,"{'document_tone': {'tones': [{'score': 0.65452, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.825947, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.746197, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
GOD JASHAN YT,10,{'document_tone': {'tones': []}}
VINOD KARWASRA,किसानो को मिले हुए रूट कयो बदले गए ??पुलिस के दुबारा??,{'document_tone': {'tones': []}}
SUMIT,Yeh kisaan nahi hai,{'document_tone': {'tones': []}}
gurleen singh,"<a href=""https://www.youtube.com/watch?v=aC2brl3qDWw&amp;t=28m21s"">28:21</a> pe palat gya",{'document_tone': {'tones': []}}
ankit jajoria,"56 min pr aapne khud video ko trash kiya hai, kyuki kissano nai unn logo ko pakda hua hai jo busses na grill tod rhe hai, <br>Or aap vo dikhana nahi chahte<br><br>Lodu mediaa, aap roz subha uth kr bhagwaan ka shukr kra kro ki aapka studio ya ghar Punjab mai nhi hai",{'document_tone': {'tones': []}}
Cj SIngh,Fake NEWS CHANNEL,"{'document_tone': {'tones': [{'score': 0.5767, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}}"
Cj SIngh,They are replaying the old video check out the people clothes they are wearing winter wear.....,"{'document_tone': {'tones': [{'score': 0.687768, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
Dharmesh Marfatiya,वो 4 लाख ट्रेक्टर और मुफ्त् का खाना सिर्फ देश मे तांडव के लिए ही थे <br>बाकी मुसीबत मे तो लोगो की मदद करने<br> अडानी अंबानी ही आ रहे है,{'document_tone': {'tones': []}}
Muhammad Shaan,Khary khary Gatt blaia,{'document_tone': {'tones': []}}
Khan baba,Hi,{'document_tone': {'tones': []}}
Mom My mom,Jai kisan jai jawon😷😷❤️❤️👏👏👍👍👌👌❣️❣️🧡🧡,"{'document_tone': {'tones': [{'score': 0.552022, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
Saifullah khan Bannu Pakistan zindabad,Khalistan jindabad🇵🇰🤝🇮🇳🙏🤲💞💞💞💞💞💞💞💞💞💞💞💞💞💞,"{'document_tone': {'tones': [{'score': 0.727079, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
