id,snippet.topLevelComment.snippet.authorDisplayName,snippet.topLevelComment.snippet.textDisplay,tone
23,nonadmoon,India is a great country - one of the best things about India is only Punjab has farmers and no other state has farmers at all.,"{'document_tone': {'tones': [{'score': 0.809178, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
24,nonadmoon,"Oh the ""Propaganda Check"" and NDTV's hard work to show all things ANTI-BJP.","{'document_tone': {'tones': [{'score': 0.511165, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.775702, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
25,Sabi a k,Wow ndtv gone godi,"{'document_tone': {'tones': [{'score': 0.611216, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
26,S J,Wooooow R-NDTV channel support gunda and terrorist à¹�ÂŸÂ˜Â à¹�ÂŸÂ˜Â à¹�ÂŸÂ˜Â à¹�ÂŸÂ˜Â à¹�ÂŸÂ˜Â à¹�ÂŸÂ˜Â ,{'document_tone': {'tones': []}}
27,Amarpal Singh,why Media Doesn't ask the Question to Mr. Prime Minister Narinder Modi . Why this situation is happen Always ask the question to Farmers(Victims),"{'document_tone': {'tones': [{'score': 0.65562, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.91171, 'tone_id': 'confident', 'tone_name': 'Confident'}, {'score': 0.957077, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': ""why Media Doesn't ask the Question to Mr. Prime Minister Narinder Modi ."", 'tones': [{'score': 0.842108, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 1, 'text': 'Why this situation is happen Always ask the question to Farmers(Victims)', 'tones': [{'score': 0.729574, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.80026, 'tone_id': 'confident', 'tone_name': 'Confident'}, {'score': 0.859009, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}]}"
28,The Anonymous,tmsb madharcho kisan nhi..khalistani ataki ho..red fort pr sabit kr dia tm log ne..bharat me ijjat pach nhi rhi hai.pakistan afganistan hi tumara sahi ilaj kr rha,{'document_tone': {'tones': []}}
29,Muhammad Shoaib,NDTV officially became GODI media,{'document_tone': {'tones': []}}
30,KRK Raju,NDTV MUST BE HAPPY.,"{'document_tone': {'tones': [{'score': 0.957253, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.898327, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
31,Alex Krish,"If it is in Tamil Nadu, the police would have shot at least 100 terrorists dead.","{'document_tone': {'tones': [{'score': 0.562568, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
32,Teddy Garbutt,"The Justice of The Lord is For Sikh Redemption. No Man Can Stop The Lord From Breaking Down Closed Doors For His Servants To Enter Where He Wills Them To Enter. Many Years ago Sikh Enemies massacred Sikhs, and marched down the streets with there Severed Heads raised up in the air stuck on the tip of their spears. Today, The Lord has Liberated and made Sikhs marched down the streets, This time to show that God has Sprouted Sikhs Back Up Again Victoriously and to Show that He is their Liberator . Whoever Stands Against Sikhs , Stands Against God, and will Taste His Wrought on The Day of The Vengeance of The Lord: The Savior, Emperor of India.","{'document_tone': {'tones': []}, 'sentences_tone': [{'sentence_id': 0, 'text': 'The Justice of The Lord is For Sikh Redemption.', 'tones': []}, {'sentence_id': 1, 'text': 'No Man Can Stop The Lord From Breaking Down Closed Doors For His Servants To Enter Where He Wills Them To Enter.', 'tones': [{'score': 0.511047, 'tone_id': 'anger', 'tone_name': 'Anger'}]}, {'sentence_id': 2, 'text': 'Many Years ago Sikh Enemies massacred Sikhs, and marched down the streets with there Severed Heads raised up in the air stuck on the tip of their spears.', 'tones': [{'score': 0.536671, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}, {'sentence_id': 3, 'text': 'Today, The Lord has Liberated and made Sikhs marched down the streets, This time to show that God has Sprouted Sikhs Back Up Again Victoriously and to Show that He is their Liberator .', 'tones': []}, {'sentence_id': 4, 'text': 'Whoever Stands Against Sikhs , Stands Against God, and will Taste His Wrought on The Day of The Vengeance of The Lord: The Savior, Emperor of India.', 'tones': []}]}"
33,Dy Xgd,BJP hatao DESH bachao,{'document_tone': {'tones': []}}
34,Mohammad Sharif,Your representative with miss akhter is making wrong question with the  partipecent he does not have knowledge of comentry the both of them must replaced right away they are asking who are from where you came and what is your plane what you going to do these are the administrative questions NDTV must have trained reporter,"{'document_tone': {'tones': [{'score': 0.543444, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.725731, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
35,sukumar maji,Check this,"{'document_tone': {'tones': [{'score': 0.982476, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
