Name,Comment,tone
Gursimran Singh,"Anytime there is a tyranny , this happens. Indian People did act like puppets during British, Mughal times and defended their he system during those times. Only few stand tall against The system. History will be made again. Everyone can do / say what’s right for Them. We don’t need no godi media. My great grandfather died fighting British. I’m ready to die fighting for my brethren’s rights.","{'document_tone': {'tones': [{'score': 0.593813, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.513363, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.68097, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'Anytime there is a tyranny , this happens.', 'tones': [{'score': 0.91961, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, {'sentence_id': 1, 'text': 'Indian People did act like puppets during British, Mughal times and defended their he system during those times.', 'tones': []}, {'sentence_id': 2, 'text': 'Only few stand tall against The system.', 'tones': [{'score': 0.660937, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 3, 'text': 'History will be made again.', 'tones': [{'score': 0.572283, 'tone_id': 'joy', 'tone_name': 'Joy'}]}, {'sentence_id': 4, 'text': 'Everyone can do / say what’s right for Them.', 'tones': []}, {'sentence_id': 5, 'text': 'We don’t need no godi media.', 'tones': []}, {'sentence_id': 6, 'text': 'My great grandfather died fighting British.', 'tones': []}, {'sentence_id': 7, 'text': 'I’m ready to die fighting for my brethren’s rights.', 'tones': [{'score': 0.715546, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}]}"
Mysterious Gamer Girl,BhendiTV 😂😏😏,{'document_tone': {'tones': []}}
Mian Ziyaa,Think about farmers,"{'document_tone': {'tones': [{'score': 0.575252, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.994057, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
Chaturvedi,Ye kisan nhi h,{'document_tone': {'tones': []}}
Nasim Ahmad,Good,"{'document_tone': {'tones': [{'score': 0.880435, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
Monty singh,Shutup,{'document_tone': {'tones': []}}
Mono Jutt,66666666666666666666666666666666666666666666666666666666666666666666666,{'document_tone': {'tones': []}}
sheraz khan,godi government per lanat ho sikh aur Muslims per zulm band karo,{'document_tone': {'tones': []}}
Mehmood Shahid,Dal do pakistan per ye bi.,{'document_tone': {'tones': []}}
Manish Tharwal,26 jan is always a high alert day of india what was the intelligence security report to the current government and what was the action need some light on it. Is my country in safe hands,"{'document_tone': {'tones': [{'score': 0.686032, 'tone_id': 'confident', 'tone_name': 'Confident'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': '26 jan is always a high alert day of india what was the intelligence security report to the current government and what was the action need some light on it.', 'tones': []}, {'sentence_id': 1, 'text': 'Is my country in safe hands', 'tones': [{'score': 0.842108, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}]}"
