Name,Comment,tone
Ankit 08chouhan,Saale dalaal isme corona nhi dikhta tujhe,{'document_tone': {'tones': []}}
Saddam barbhuiya,chahie please sar kuchh bhi humko bataiye,{'document_tone': {'tones': []}}
Ismail Hotel,NDTV<br>Good news ðŸ‘ðŸ‘ŒðŸ‘ðŸ‘ŒðŸ‘ðŸ‘,"{'document_tone': {'tones': [{'score': 0.784688, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
Ismail Hotel,Jai jai jai kisan ðŸ™‹ðŸ‘ªðŸ¤·ðŸ‘ŒðŸ‘ðŸ™ðŸ™,{'document_tone': {'tones': []}}
Wazir Singh,Ravish Kumar Ji aap ko Sat shri Akaal,{'document_tone': {'tones': []}}
Smart Mom,Thank u NDTV and Ravish Sir.,"{'document_tone': {'tones': [{'score': 0.71058, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
Mohammed Ghouns,Ø¢Ù¾ Ú©Ø§ Ø´Ú©Ø±ÛŒÛ Ø¬Ù†Ø§Ø¨,{'document_tone': {'tones': []}}
Mohammed Ghouns,Ø¸Ù„Ù… Ú¾Û’ Ú©Ø³Ø§Ù† Ù¾Ø± Ú†Ù„Ùˆ Ø¨Ú¾Ø§Ø¦ÛŒ ÛÙ†Ø¯ÙˆØ³ØªØ§Ù† Ú©ÛŒ Ø³ÛŒÙ„Ú©Ø± Ù†Û Ø±Ú¾Ø§ Ú¾Ù… Ø­ÙˆØ§Ù„Û Ø¯ÛŒØªÛ’ ØªÚ¾Û’ Ú©Û Ø³Ø¨ Ø§Ù…Ù† Ø³Û’ Ø±ÛØªÛ’ ÛÛŒÚº,{'document_tone': {'tones': []}}
sajjan kumar,"Suna hai BJP ke IT cell walo ne apne kaam ki speed badha di hai,kyonki 10 paise ki jagah 15 paise per msg milne laga hai FARMERS Protest ko badnaam karne ke liye....ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚",{'document_tone': {'tones': []}}
Jassi Lalpur,Kissen ekta jindabad,{'document_tone': {'tones': []}}
Kamaljit Singh,Kamaljit USA 559 3695289,{'document_tone': {'tones': []}}
Kamaljit Singh,Bhaji i proud of u,"{'document_tone': {'tones': [{'score': 0.979184, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
Kamaljit Singh,Veer ji i proud of u Kamaljit USA 559 3y9 526o,"{'document_tone': {'tones': [{'score': 0.913789, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
Kailasben Patel,à¤•à¤¿à¤¸à¤¾à¤¨à¥‹à¤‚ à¤•à¤¾ à¤†à¤‚à¤¦à¥‹à¤²à¤¨ à¤…à¤¹à¤¿à¤‚à¤¸à¤• à¤¹à¥ˆ à¤¤à¥‹ à¤ªà¥‹à¤²à¤¿à¤¸ à¤¹à¤¿à¤‚à¤¸à¤• à¤•à¤°à¤¨à¥‡ à¤¸à¥‡ à¤®à¤œà¤¬à¥‚à¤° à¤®à¤¤ à¤•à¤°à¥‹à¥¤ <br>à¤œà¤¯ à¤œà¤µà¤¾à¤¨ à¤œà¤¯ à¤•à¤¿à¤¸à¤¾à¤¨ à¥¤à¥¤à¥¤,{'document_tone': {'tones': []}}
Kulwinde singh Kinder,Vadia banda rabish,{'document_tone': {'tones': []}}
Jagtar Jatt,Kisan majdoor ekta jindabaad modi Kisan birody,{'document_tone': {'tones': []}}
Jonny Singh,Real news,"{'document_tone': {'tones': [{'score': 0.97759, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
Jonny Singh,Good chanal,"{'document_tone': {'tones': [{'score': 0.939417, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
Jonny Singh,ðŸ‘,{'document_tone': {'tones': []}}
Asim Pasha,Hii,{'document_tone': {'tones': []}}
Markhibhai Varotariya,Jai jawan jai kishan.,{'document_tone': {'tones': []}}
Pratik Jagdale,Salo EVM band Karne keliye Kya Karreo medio walo,{'document_tone': {'tones': []}}
Afnan Mahmud,Modi Jindabad. Beat all Farmers.,"{'document_tone': {'tones': [{'score': 0.593712, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.995186, 'tone_id': 'confident', 'tone_name': 'Confident'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'Modi Jindabad.', 'tones': []}, {'sentence_id': 1, 'text': 'Beat all Farmers.', 'tones': [{'score': 0.586232, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.989586, 'tone_id': 'confident', 'tone_name': 'Confident'}]}]}"
Debdas Banerjee,Capitalism trying to establish total hagimony over agriculture,"{'document_tone': {'tones': [{'score': 0.920855, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
