Name,Comment,tone
RINKU GHOSH,main thing is that farmers are not ready to hear at all.....so gov also should not introduce any reform for these fools....there is clearly written in bill no land of farmers will be taken....and if farmers do not agree with corporates to sell there produce then do not sell and anyway i think in open market without trade farmer can sell at a better price....and its not that farmers are not getting MSP ...they are getting more msp as compared to 2014.....so i think we must support farm bills...,"{'document_tone': {'tones': [{'score': 0.734846, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.519491, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
Shankar SM,"One or two states were given priority during the times of food shortage in India and these were Punjab and Haryana. The system of commissions this agents and tax collected by the state I&#39;d not correct since this need not be supported by the Central Government and if so then all states have to be given similar status. The fear that private traders would take advantage is too be volunteered by the farmers through collective bargaining and they can have these commission agents in their behalf. Also if farmers are happy with commission agents, these people can themselves become the sole traders.  All said and done while government is coming out of public sector participation slowly evenin defence, telephones, power, aviation etc., It is not reasonable to ask Central Government to be the left purchaser of food grains. Ofcourse Central and State governments would come to help farmers whenever there is a need since farming is the backbone of the country. While every other states&#39; farmers go directly to markets and were happy when levy on rice mills were lifted his can these farmers have a different treatment even after decades? Politicised farmers are taking to bandhs in these difficult times giving based name to all farmers in general.","{'document_tone': {'tones': [{'score': 0.559107, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.637301, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.633907, 'tone_id': 'fear', 'tone_name': 'Fear'}, {'score': 0.685872, 'tone_id': 'confident', 'tone_name': 'Confident'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'One or two states were given priority during the times of food shortage in India and these were Punjab and Haryana.', 'tones': []}, {'sentence_id': 1, 'text': 'The system of commissions this agents and tax collected by the state I&#39;d not correct since this need not be supported by the Central Government and if so then all states have to be given similar status.', 'tones': []}, {'sentence_id': 2, 'text': 'The fear that private traders would take advantage is too be volunteered by the farmers through collective bargaining and they can have these commission agents in their behalf.', 'tones': [{'score': 0.82657, 'tone_id': 'fear', 'tone_name': 'Fear'}]}, {'sentence_id': 3, 'text': 'Also if farmers are happy with commission agents, these people can themselves become the sole traders.', 'tones': [{'score': 0.693498, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.664451, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 4, 'text': 'All said and done while government is coming out of public sector participation slowly evenin defence, telephones, power, aviation etc., It is not reasonable to ask Central Government to be the left purchaser of food grains.', 'tones': [{'score': 0.543925, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}, {'sentence_id': 5, 'text': 'Ofcourse Central and State governments would come to help farmers whenever there is a need since farming is the backbone of the country.', 'tones': [{'score': 0.586984, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}, {'sentence_id': 6, 'text': 'While every other states&#39; farmers go directly to markets and were happy when levy on rice mills were lifted his can these farmers have a different treatment even after decades?', 'tones': [{'score': 0.517677, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}, {'sentence_id': 7, 'text': 'Politicised farmers are taking to bandhs in these difficult times giving based name to all farmers in general.', 'tones': [{'score': 0.673074, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.809841, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.6821, 'tone_id': 'confident', 'tone_name': 'Confident'}]}]}"
jamihassan,Fekuchand chor hai.,{'document_tone': {'tones': []}}
Sarita Choure,"For free Liquors , rapes, drugs, pizza and spreading fake propaganda....","{'document_tone': {'tones': [{'score': 0.632354, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}}"
Sabka Baap,Inn santa or banta ko koi samjhao ye..Law... <br> Anpad gawar.O ko.🤣😂 kon batayega ye KHALI stan walo ki chaal hai..,{'document_tone': {'tones': []}}
Sayooj Kumar,"This stupid protest during the pandemic has turned Delhi into a grave yard of corona victims, why not the organisers including the communists take responsibility of deaths caused by them","{'document_tone': {'tones': [{'score': 0.574113, 'tone_id': 'anger', 'tone_name': 'Anger'}]}}"
Ashley Paul,I support the farmers. 200%.,"{'document_tone': {'tones': [{'score': 0.568498, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'I support the farmers.', 'tones': [{'score': 0.568498, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}, {'sentence_id': 1, 'text': '200%.', 'tones': []}]}"
Jeorge,"When Government elected officials sucks up to the rich and powerful, this is what happens. A cancer in the democratic form of government that empowers the rich to sponsor anyone to run for any elected position in a democratic country. This is what happens when the government becomes of the people, by the people, but NOT for the people. Sad :(","{'document_tone': {'tones': [{'score': 0.882259, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.808202, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'When Government elected officials sucks up to the rich and powerful, this is what happens.', 'tones': [{'score': 0.564092, 'tone_id': 'anger', 'tone_name': 'Anger'}]}, {'sentence_id': 1, 'text': 'A cancer in the democratic form of government that empowers the rich to sponsor anyone to run for any elected position in a democratic country.', 'tones': [{'score': 0.733853, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, {'sentence_id': 2, 'text': 'This is what happens when the government becomes of the people, by the people, but NOT for the people.', 'tones': []}, {'sentence_id': 3, 'text': 'Sad :(', 'tones': [{'score': 0.975476, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}]}"
DRIVELAZA,Farmers are innocent hard workers.... Hope government tries to educate them about the empowerment and benefits of the bill passed. Its only because of state government politics and misguidance which has lead to chaos. Not at all farmer&#39;s fault. Nor the central government&#39;s fault. If farmers are worried then government has to convince them and make sure corporate companies treat farmers equally as a business partner and do not exploit them. Once mandi system is removed only then farmers will be able to think out of the box. Hope we see farmers evolve and be the richest and happiest citizens.,"{'document_tone': {'tones': [{'score': 0.64558, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.637106, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.855686, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.607632, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'Farmers are innocent hard workers.... Hope government tries to educate them about the empowerment and benefits of the bill passed.', 'tones': [{'score': 0.546261, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.822231, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, {'sentence_id': 1, 'text': 'Its only because of state government politics and misguidance which has lead to chaos.', 'tones': [{'score': 0.967408, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 2, 'text': 'Not at all farmer&#39;s fault.', 'tones': [{'score': 0.732317, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.806517, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, {'sentence_id': 3, 'text': 'Nor the central government&#39;s fault.', 'tones': [{'score': 0.560098, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 4, 'text': 'If farmers are worried then government has to convince them and make sure corporate companies treat farmers equally as a business partner and do not exploit them.', 'tones': [{'score': 0.634637, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.731153, 'tone_id': 'confident', 'tone_name': 'Confident'}]}, {'sentence_id': 5, 'text': 'Once mandi system is removed only then farmers will be able to think out of the box.', 'tones': [{'score': 0.541332, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.765977, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 6, 'text': 'Hope we see farmers evolve and be the richest and happiest citizens.', 'tones': [{'score': 0.864808, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.75152, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}]}"
any,Government want to become middleman trader. What a greedy corrupt official.,"{'document_tone': {'tones': []}, 'sentences_tone': [{'sentence_id': 0, 'text': 'Government want to become middleman trader.', 'tones': []}, {'sentence_id': 1, 'text': 'What a greedy corrupt official.', 'tones': []}]}"
