Name,Comment,tone
Jaskaran Deep,Murder of democracy,{'document_tone': {'tones': []}}
Punjabi Class,"Delhi Parliament itself needs reforming and modernisation.  Passing of the 3 farmers bills is testimony of failures in following the rule books of Parliament. A handful of people decided the fate of millions without debates and  consultations. A bill that is passed under controversial circumstances should not become law.<br><br>On 20 September 2020, in Parliament the rule book was ignored by the chairman.<br><br>1. The rule book says that if a voice vote is challenged by any member, the chairman must ask for a division. Under no circumstances must a chairman ignore this demand. The chairman ignored this demand.  <br><br>2. Audio and broadcasting was censored in parliament when division was demanded by opposition so the public could not see it.<br><br>3. BJP did not have enough numbers to pass the bill so it rushed it in an undemocratic way.<br><br>4. Voice vote is only chosen where 70 percent of members support a bill. This bill did not meet that criteria so voice vote does not apply.  However, the chairman decided to go ahead with voice vote and for his ears, it was a yes. Voice vote is not recorded so it&#39;s open to controversy.<br><br>5. When members stood from their seats, the rule book says that Parliament should have been adjourned. The chairman did not adjourn the parliament. He rushed the bill through instead.<br><br>6. Opposition requested the bills to be put forward to a select committee. The chairman denied them that opportunity, again against the rule book.<br><br>7. Not enough time was given for the bill to run in Gujrat as a trial. Gujratis have not openly praised the bills.<br><br>8. BJP refused to have a debate on the bills. They rushed them through.<br><br>9. There are 4 ways of voting: voice vote, counting vote, voting recorder or votes by lobbying. The weakest voting method  is voice vote.  There is no permanent record in voting this way. This bill was rushed through voice votes. This should not have happened. It is the weakness of the chairman and this bill was too important to be treated this way.<br><br>10. Eight MP&#39;s  were suspended from Parliament that day. This left the house empty. 15 bills were passed through parliament in the absence of these suspended MP&#39;s because the opposition was eliminated.<br><br>This is not democracy. It is no where near democracy. The PM has a lot to answer for.","{'document_tone': {'tones': [{'score': 0.547551, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'Delhi Parliament itself needs reforming and modernisation.', 'tones': []}, {'sentence_id': 1, 'text': 'Passing of the 3 farmers bills is testimony of failures in following the rule books of Parliament.', 'tones': [{'score': 0.769705, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}, {'sentence_id': 2, 'text': 'A handful of people decided the fate of millions without debates and\xa0 consultations.', 'tones': [{'score': 0.840228, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.775702, 'tone_id': 'confident', 'tone_name': 'Confident'}]}, {'sentence_id': 3, 'text': 'A bill that is passed under controversial circumstances should not become law.<br><br>On', 'tones': []}, {'sentence_id': 4, 'text': '20 September 2020, in Parliament the rule book was ignored by the chairman.<br><br>1.', 'tones': []}, {'sentence_id': 5, 'text': 'The rule book says that if a voice vote is challenged by any member, the chairman must ask for a division.', 'tones': [{'score': 0.850307, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 6, 'text': 'Under no circumstances must a chairman ignore this demand.', 'tones': [{'score': 0.793846, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 7, 'text': 'The chairman ignored this demand.', 'tones': [{'score': 0.645986, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}, {'sentence_id': 8, 'text': '<br><br>2.', 'tones': []}, {'sentence_id': 9, 'text': 'Audio and broadcasting was censored in parliament when division was demanded by opposition so the public could not see it.<br><br>3.', 'tones': []}, {'sentence_id': 10, 'text': 'BJP did not have enough numbers to pass the bill so it rushed it in an undemocratic way.<br><br>4.', 'tones': []}, {'sentence_id': 11, 'text': 'Voice vote is only chosen where 70 percent of members support a bill.', 'tones': []}, {'sentence_id': 12, 'text': 'This bill did not meet that criteria so voice vote does not apply.', 'tones': []}, {'sentence_id': 13, 'text': 'However, the chairman decided to go ahead with voice vote and for his ears, it was a yes.', 'tones': [{'score': 0.578105, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.85365, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.660207, 'tone_id': 'confident', 'tone_name': 'Confident'}]}, {'sentence_id': 14, 'text': 'Voice vote is not recorded so it&#39;s open to controversy.<br><br>5.', 'tones': []}, {'sentence_id': 15, 'text': 'When members stood from their seats, the rule book says that Parliament should have been adjourned.', 'tones': [{'score': 0.546586, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}, {'sentence_id': 16, 'text': 'The chairman did not adjourn the parliament.', 'tones': []}, {'sentence_id': 17, 'text': 'He rushed the bill through instead.<br><br>6.', 'tones': []}, {'sentence_id': 18, 'text': 'Opposition requested the bills to be put forward to a select committee.', 'tones': [{'score': 0.579436, 'tone_id': 'confident', 'tone_name': 'Confident'}]}, {'sentence_id': 19, 'text': 'The chairman denied them that opportunity, again against the rule book.<br><br>7.', 'tones': []}, {'sentence_id': 20, 'text': 'Not enough time was given for the bill to run in Gujrat as a trial.', 'tones': []}, {'sentence_id': 21, 'text': 'Gujratis have not openly praised the bills.<br><br>8.', 'tones': []}, {'sentence_id': 22, 'text': 'BJP refused to have a debate on the bills.', 'tones': [{'score': 0.534672, 'tone_id': 'anger', 'tone_name': 'Anger'}]}, {'sentence_id': 23, 'text': 'They rushed them through.<br><br>9.', 'tones': []}, {'sentence_id': 24, 'text': 'There are 4 ways of voting: voice vote, counting vote, voting recorder or votes by lobbying.', 'tones': [{'score': 0.615352, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, {'sentence_id': 25, 'text': 'The weakest voting method\xa0 is voice vote.', 'tones': []}, {'sentence_id': 26, 'text': 'There is no permanent record in voting this way.', 'tones': []}, {'sentence_id': 27, 'text': 'This bill was rushed through voice votes.', 'tones': []}, {'sentence_id': 28, 'text': 'This should not have happened.', 'tones': []}, {'sentence_id': 29, 'text': 'It is the weakness of the chairman and this bill was too important to be treated this way.<br><br>10.', 'tones': []}, {'sentence_id': 30, 'text': 'Eight MP&#39;s\xa0 were suspended from Parliament that day.', 'tones': []}, {'sentence_id': 31, 'text': 'This left the house empty.', 'tones': [{'score': 0.71945, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}, {'sentence_id': 32, 'text': '15 bills were passed through parliament in the absence of these suspended MP&#39;s because the opposition was eliminated.<br><br>This is not democracy.', 'tones': []}, {'sentence_id': 33, 'text': 'It is no where near democracy.', 'tones': []}, {'sentence_id': 34, 'text': 'The PM has a lot to answer for.', 'tones': [{'score': 0.920855, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.615352, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}]}"
Punjabi Class,"A few comments have been seen stating that the Indian flag was disrespected on 26 January 2021 at the red fort. It is false that a Khalistani  flag was displayed at the red fort on that day. <br><br>The Indian flag remained untouched on 26 January 2021 at the red fort.<br>An empty pole was used by an individual to display the Nishan Sahib. It is questionable  as to how these individuals  managed to enter the Red Fort, which is traditionally sealed off three days before 26 January parade. <br><br>Nishan Sahib was first used as a symbol by Guru Hargobind Sahib ji in the 17th century. It is a flag that signifies a Sikh Gurdwara and is displayed in around 40,000 Gurdwaras across India.<br><br>A Nishan Sahib  is a sacred flag for the Sikh community, under which Sikhs do selfless service unconditionally without expecting any rewards in return.  <br><br>To recognise a Nishan Sahib: it is Orange in colour with a khanda  in the middle. There is no other writing on it.","{'document_tone': {'tones': []}, 'sentences_tone': [{'sentence_id': 0, 'text': 'A few comments have been seen stating that the Indian flag was disrespected on 26 January 2021 at the red fort.', 'tones': []}, {'sentence_id': 1, 'text': 'It is false that a Khalistani\xa0 flag was displayed at the red fort on that day.', 'tones': []}, {'sentence_id': 2, 'text': '<br><br>The Indian flag remained untouched on 26 January 2021 at the red fort.<br>An', 'tones': []}, {'sentence_id': 3, 'text': 'empty pole was used by an individual to display the Nishan Sahib.', 'tones': []}, {'sentence_id': 4, 'text': 'It is questionable\xa0 as to how these individuals\xa0 managed to enter the Red Fort, which is traditionally sealed off three days before 26 January parade.', 'tones': []}, {'sentence_id': 5, 'text': '<br><br>Nishan Sahib was first used as a symbol by Guru Hargobind Sahib ji in the 17th century.', 'tones': []}, {'sentence_id': 6, 'text': 'It is a flag that signifies a Sikh Gurdwara and is displayed in around 40,000 Gurdwaras across India.<br><br>A', 'tones': []}, {'sentence_id': 7, 'text': 'Nishan Sahib\xa0 is a sacred flag for the Sikh community, under which Sikhs do selfless service unconditionally without expecting any rewards in return.', 'tones': [{'score': 0.57693, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, {'sentence_id': 8, 'text': '<br><br>To recognise a Nishan Sahib: it is Orange in colour with a khanda\xa0 in the middle.', 'tones': []}, {'sentence_id': 9, 'text': 'There is no other writing on it.', 'tones': []}]}"
Sat Singh,deMOCKracy!!! This government is embarrassing India on the world stage!,"{'document_tone': {'tones': []}, 'sentences_tone': [{'sentence_id': 0, 'text': 'deMOCKracy!!!', 'tones': []}, {'sentence_id': 1, 'text': 'This government is embarrassing India on the world stage!', 'tones': []}]}"
Priy V,The similar bill was tried to be passed during Congress rule...and bjp opposed it..why...??  <br>Do they have answers for these..,"{'document_tone': {'tones': [{'score': 0.523822, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
,,{'document_tone': {'tones': []}}
Tarun Singh,Shame on you BJP Government 👎👎👎 &amp; Modi Ji you&#39;re Biggest Scammer .,"{'document_tone': {'tones': [{'score': 0.542145, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}}"
46Harveys,"What a shame. Even one member protests in voice vote, it has to go on vote. Total mockery of democracy.","{'document_tone': {'tones': [{'score': 0.670747, 'tone_id': 'confident', 'tone_name': 'Confident'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'What a shame.', 'tones': [{'score': 0.931034, 'tone_id': 'fear', 'tone_name': 'Fear'}, {'score': 1.0, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}, {'sentence_id': 1, 'text': 'Even one member protests in voice vote, it has to go on vote.', 'tones': []}, {'sentence_id': 2, 'text': 'Total mockery of democracy.', 'tones': [{'score': 0.898327, 'tone_id': 'confident', 'tone_name': 'Confident'}]}]}"
shonuff05,DISGRACE . SHAME ON BJP AND MODI,"{'document_tone': {'tones': []}, 'sentences_tone': [{'sentence_id': 0, 'text': 'DISGRACE .', 'tones': [{'score': 0.931034, 'tone_id': 'anger', 'tone_name': 'Anger'}, {'score': 0.916667, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}, {'sentence_id': 1, 'text': 'SHAME ON BJP AND MODI', 'tones': []}]}"
flyhigh676,I want to say this to the government.. <br><br>Yaar kyu aag se khel rahey ho.. Kisan aapka voter hai <br>Middlemen aapka voter hai<br>Daily wages worker aapka voter hai<br>Kyu majaak kar rahey ho apne countrymen ke saath.,{'document_tone': {'tones': []}}
