Name,Comment,tone
Chandan Tiwari,Jai Hind,{'document_tone': {'tones': []}}
Bhupinder Singh,NDTV voice of our country💪💪💪👍🎙🎙,"{'document_tone': {'tones': [{'score': 0.62267, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
Bhupinder Singh,Ndtv jindabad🎙🎙🎙🎙👍👍💪💪<br>Kishan mazdur ekta jindabad🌾🌾🌾🙏🙏🙏💪💪💪👍👍👍🌏🌏🌏🌏<br>ਸਾਡੀਆ ਫ਼ਸਲਾ ਰੋਦੀਆ  ਧਾਹਾ ਮਾਰ ਕੇ ਕਿਥੇ ਬਗਿਆ ਰਾਖਾ ਖੇਤ ਦਾ ਆਕੇ ਤੂ ਕਰ ਵੇ ਸਾਡੀ ਸਭਾਲ ਭਰਨਾ ਢਿੱਡ ਪੁਰੇ ਦੇਸ਼ ਦਾ ਵੱਡੀਆ ਚੁੰਜਾ ਲਾਕੇ ਆ ਗੲੇ ਇਨਾ ਸਭ ਕੁਝ ਜਾਣਾ ਖਾ ਬੱਚਿਓ ਹੁਣ ਸਿਆਣੇ ਹੋ ਕੇ,"{'document_tone': {'tones': [{'score': 0.737081, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
vivek jain,"<a href=""https://www.youtube.com/watch?v=lPFH5VTj3a0&amp;t=17m36s"">17:36</a> worth watching","{'document_tone': {'tones': [{'score': 0.796022, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
vivek jain,Kuch Dino bad sabji bhaji me bhi gst lagega,"{'document_tone': {'tones': [{'score': 0.585538, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}}"
Om Shrivas,"modi ji desh me yah Khatarnak sthiti kiske karyakal mein covid, Modi ji Desh Mein berojgari kiske karyakal mein ,Modi ji gas cylinder ka dam Kitna Jyada 900 rs kis ke karyakal mein, Modi ji petrol ka dam 95  rupaye kiske karyakal me , Modi ji Itni mahangi Aam Janata ka Jeena dushwaar Ho Gaya kiske karyakal mein, Modi ji aapko sharm Aana chahie ki Kabhi 900 rupay Mein 2 gas cylinder Aaya Karte The Aaj Ek mil raha hai,",{'document_tone': {'tones': []}}
Virendra Singh,Whether there were procedural lapse in passing the controversial bills,"{'document_tone': {'tones': [{'score': 0.522484, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
Kaka Singh,v,{'document_tone': {'tones': []}}
Gi Dh,Kisan akta morcha jindabaad,{'document_tone': {'tones': []}}
Samsunnisha Khan,Kimmel,{'document_tone': {'tones': []}}
Dharmendra Kumar,Bjp EVM chor Hai <br>Ban EVM save democracy,{'document_tone': {'tones': []}}
tarif hussain,🐶,{'document_tone': {'tones': []}}
Lajjo Singh,जय किसान जय जवान,{'document_tone': {'tones': []}}
AnKiT Sharma,Constitution ki to dhajiya uda ji,{'document_tone': {'tones': []}}
AnKiT Sharma,Sarkar is desh ko hi khatam karna chahti hai,{'document_tone': {'tones': []}}
Shyam Singh,Rfc,{'document_tone': {'tones': []}}
Mustaqim Shaikh,Yah ekadam bevkuf banane jaisa Hai Ramesh ji yah hamesha aap paise walon Ka sath denge kyunki unko paise walon Se fayda Hai Ek aam aadami se fayda nahin hai iske liye aam aadami Ka sath kam rupya walon Ka sath pahle denge,{'document_tone': {'tones': []}}
Mustaqim Shaikh,"Yahi meetha jahar Ham truck ke karobar Mein Gaye truck kharida lakh rupya loan liya 60,000 bhartiya 7000 Baki rah Gaya fir usne piche se apne gunday laga Diya aur gadi ko chori chori Mein nuksan pahunchane laga Hun last Mein hamen truck usko hi bechna pada Ham majbur ho gaye aur usne hamen majbur kar diya humko Kai bar aisa Luta aur ham samajh Nahin paate the ki kahan se nuksan ho raha hai last Mein pata Chala Ki jisse humne gadi kharida hai wahi humko loot raha hai aur nuksan de raha hai usmein ajmani Shriram finance bade bade loan Jo dete Hain unke gunday ya nuksan pahunch aate Hain tumhara Paisa bhi yahan aap lete hain aur gadi bhi le Lete Hain",{'document_tone': {'tones': []}}
Mustaqim Shaikh,Ek company ke naam per bahut chori Karte Hain Ham bahut beimani Karte Hain nuksan bahut Tu chahte Hain,{'document_tone': {'tones': []}}
Mustaqim Shaikh,Paise Wale jis ko corporate bolate Hain yah corporate log Har Pal Ek aam aadami ko lootane ki koshish Karte Hain unke Saman ko Bura bol kar unke paise hat Jaate Hain unke karobar ko khatm karke Apna naukar banana chahte Hain unko ki mere barabari ke karobari mat bano tum Mera naukar ban Ke raho yah khel khelte Hain jis ko corporate bolate Hain ek number ke corporate Chor hote hain sau Mein Se 95 percent log chori aur beimani Ke paise per luxury aur maar 40 Se ghumte Hain,{'document_tone': {'tones': []}}
Saleem Khan,Ravish Bhai aap padhe Aaya Karo Chahe 5 minute ke liye Aisa Lagta Hai Koi Jism Ka Ek paath kam ho gaya aap Nahin aate ho tum,{'document_tone': {'tones': []}}
,,{'document_tone': {'tones': []}}
kaspadia C P,Sleep well,{'document_tone': {'tones': []}}
Anis Genius,JOIBAYCAKT<br>ADNAI ABANAI,{'document_tone': {'tones': []}}
Akbar Khan,.,{'document_tone': {'tones': []}}
khaja moinuddin,Wah Ravish Bhai 👌 NDTV 👍💪,"{'document_tone': {'tones': [{'score': 0.829892, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
Abdul Raziq,E. V. M.  जेवी. SARKAR. H,"{'document_tone': {'tones': []}, 'sentences_tone': [{'sentence_id': 0, 'text': 'E. V. M.  जेवी.', 'tones': []}, {'sentence_id': 1, 'text': 'SARKAR.', 'tones': []}, {'sentence_id': 2, 'text': 'H', 'tones': [{'score': 0.8152, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}]}"
Abdul Raziq,ABSALO AOR..B..J..P..KO..VOT. DO..,"{'document_tone': {'tones': []}, 'sentences_tone': [{'sentence_id': 0, 'text': 'ABSALO AOR..B..J..P..KO..VOT.', 'tones': []}, {'sentence_id': 1, 'text': 'DO..', 'tones': []}]}"
Kritika Loura,Wow,{'document_tone': {'tones': []}}
Samadhan Dhangar,"मोदिजि,आपको,लोगोने,माथेपे,बिठाया,औरआपने,माथेपर,तट्टि,करदि,",{'document_tone': {'tones': []}}
HEERA LAL NONIA,"Mandiya khatma nahi hongi, Punjay congress M.P. bhi exposed","{'document_tone': {'tones': [{'score': 0.503711, 'tone_id': 'anger', 'tone_name': 'Anger'}]}}"
Dr As,31,{'document_tone': {'tones': []}}
roy sydney,this is the right time we the genuine democratic citizens should break and resist the handful of ruling gundas who need to bring dictatorship permanently stay in power using their evil actions which are undemocratic or else we would become slaves and innocents will be eliminated from this planet. Hence we should support this Jana movement with tooth and nail. few ruling gonads are permitted by the force to suppress the innocent farmers who peacefully holding the dharna are attacked in uniforms.<br><br><br><br><br><br>CANCELSAVE,"{'document_tone': {'tones': []}, 'sentences_tone': [{'sentence_id': 0, 'text': 'this is the right time we the genuine democratic citizens should break and resist the handful of ruling gundas who need to bring dictatorship permanently stay in power using their evil actions which are undemocratic or else we would become slaves and innocents will be eliminated from this planet.', 'tones': []}, {'sentence_id': 1, 'text': 'Hence we should support this Jana movement with tooth and nail.', 'tones': [{'score': 0.862286, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 2, 'text': 'few ruling gonads are permitted by the force to suppress the innocent farmers who peacefully holding the dharna are attacked in uniforms.<br><br><br><br><br><br>CANCELSAVE', 'tones': []}]}"
Dispxrited,Your speech is very sweet,"{'document_tone': {'tones': [{'score': 0.895116, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.961633, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
S Q,H,"{'document_tone': {'tones': [{'score': 0.8152, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
Singh Mastan,Real hero ravish,"{'document_tone': {'tones': [{'score': 0.671079, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.942582, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
Sukhraj Singh,RAHUL JB GRH JUD LG GIAA TB UTHU GEY KISANO K SATH LGO JDI AB NAHIN TO KBI NAHIN ANDOLN JINDABAD,{'document_tone': {'tones': []}}
Antonia Seixas,"He who walks with integrity walks securely, But he who perverts his ways will become known.<br>Proverbs 10:9 <br><br>Pray that we walk with integrity. Consequences of every lie, half-truths that we speak affect us. May God help us to be honest and make our ways straight. Amen!","{'document_tone': {'tones': [{'score': 0.583105, 'tone_id': 'confident', 'tone_name': 'Confident'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'He who walks with integrity walks securely, But he who perverts his ways will become known.', 'tones': [{'score': 0.506763, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 1, 'text': '<br>Proverbs 10:9 <br><br>Pray that we walk with integrity.', 'tones': [{'score': 0.543112, 'tone_id': 'confident', 'tone_name': 'Confident'}]}, {'sentence_id': 2, 'text': 'Consequences of every lie, half-truths that we speak affect us.', 'tones': [{'score': 0.849827, 'tone_id': 'confident', 'tone_name': 'Confident'}, {'score': 0.882284, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 3, 'text': 'May God help us to be honest and make our ways straight.', 'tones': [{'score': 0.565651, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.75152, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, {'sentence_id': 4, 'text': 'Amen!', 'tones': [{'score': 0.880435, 'tone_id': 'joy', 'tone_name': 'Joy'}]}]}"
5JSG,"NDTV with Ravish, Very brave to share real news with the world. Hats off to Ravish.","{'document_tone': {'tones': [{'score': 0.583337, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.976766, 'tone_id': 'confident', 'tone_name': 'Confident'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'NDTV with Ravish, Very brave to share real news with the world.', 'tones': [{'score': 0.696763, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.898327, 'tone_id': 'confident', 'tone_name': 'Confident'}]}, {'sentence_id': 1, 'text': 'Hats off to Ravish.', 'tones': [{'score': 0.801334, 'tone_id': 'anger', 'tone_name': 'Anger'}]}]}"
manoj nag,shame on you...,"{'document_tone': {'tones': [{'score': 1.0, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.931034, 'tone_id': 'fear', 'tone_name': 'Fear'}]}}"
Ashok kumar,M0di marr gya🙄🙄🙄,{'document_tone': {'tones': []}}
Ashok kumar,Delhi me internet kyu bnd kara hua h is sarkar me 🙄🙄🙄,{'document_tone': {'tones': []}}
Pam Budwal,Jai kisan jai jawan <br>Shameless government,{'document_tone': {'tones': []}}
Matawar Rav,बीजेपीचोरझुट्ठोकीपारटीहैऔर सुसीलमोदी<br>मोदीहोनके नाते ेमोदीसेकम झूठकैसेबोले,{'document_tone': {'tones': []}}
Preeti Singh,जय किसान 🙏 जय किसान 🙏 जय किसान 🙏 जय किसान 🙏 जय किसान 🙏 जय किसान 🙏 जय किसान 🙏,"{'document_tone': {'tones': [{'score': 0.547454, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
Mudassar Bhinder,Bhi AP bohet Ach kam khar reh ho kath Roh,{'document_tone': {'tones': []}}
Tayyab Rana,BULE VI BULE <br>SARDAR KISAAN DI ALLAH PAAK LUMBI ZINDGI DE VEE .<br>SARDAR KISAAN NU ALLAH PAAK IC NU KAMYAMBI  DE VEE AAMEEN.<br>ALLAH PAAK SARDAR KISAAN DI MEHNUT IVEZ KHALISTAN DI AZADI DE VEE.<br>AAMEEN SUMA AAMEEN.,"{'document_tone': {'tones': [{'score': 0.685351, 'tone_id': 'joy', 'tone_name': 'Joy'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'BULE VI BULE <br>SARDAR KISAAN DI ALLAH PAAK LUMBI ZINDGI DE VEE .<br>SARDAR', 'tones': [{'score': 0.557172, 'tone_id': 'joy', 'tone_name': 'Joy'}]}, {'sentence_id': 1, 'text': 'KISAAN NU ALLAH PAAK IC NU KAMYAMBI  DE VEE AAMEEN.<br>ALLAH', 'tones': [{'score': 0.602778, 'tone_id': 'joy', 'tone_name': 'Joy'}]}, {'sentence_id': 2, 'text': 'PAAK SARDAR KISAAN DI MEHNUT IVEZ KHALISTAN DI AZADI DE VEE.<br>AAMEEN SUMA AAMEEN.', 'tones': [{'score': 0.645234, 'tone_id': 'joy', 'tone_name': 'Joy'}]}]}"
Jameel mughal Jameel mughal,X9trr,{'document_tone': {'tones': []}}
Amarjit Shergill,Waheguru ji ka khalsa Waheguru ji ki fateh to all of you 🙏♥❤ Waheguru ji bless to all of you live long happy healthy life many years to come Modi Dirty blind deaf and his government leaders they are blind deaf people&#39;s they don&#39;t care its just unbelievable Dirty Modi and his government they can&#39;t see the whole India is one side The blind deaf people&#39;s government leaders one side they are touching the whole country suffering from the Dirty Modi government leaders Supreme Court they are all blind deaf people&#39;s government cover each others Waheguru ji ka khalsa Waheguru ji ki fateh 👌 to all of you 🙏♥❤ and the whole world 🌎,"{'document_tone': {'tones': [{'score': 0.862126, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
Sharuk Ahmed,Ravish sir b j p ka nam to British?janta party Hona cahiey hina sir ?,{'document_tone': {'tones': []}}
Vijay Josh,"जब जवाब आनाही संभव नही, प्रश्र्न पूॅंछते रहनेसे क्या फायदा, रवीशजी? क्या यह भी मै मारा जैसा करता हूॅं, आप रोया जैसा करना,   का उदाहरण नही? जवाब दो!","{'document_tone': {'tones': []}, 'sentences_tone': [{'sentence_id': 0, 'text': 'जब जवाब आनाही संभव नही, प्रश्र्न पूॅंछते रहनेसे क्या फायदा, रवीशजी?', 'tones': []}, {'sentence_id': 1, 'text': 'क्या यह भी मै मारा जैसा करता हूॅं, आप रोया जैसा करना,   का उदाहरण नही? जवाब दो!', 'tones': []}]}"
john timothy,🇩🇯,{'document_tone': {'tones': []}}
ravishanker meenapally,Another assistance professor,{'document_tone': {'tones': []}}
Baljit Sandhu,Thanks. Ravish ji,"{'document_tone': {'tones': []}, 'sentences_tone': [{'sentence_id': 0, 'text': 'Thanks.', 'tones': [{'score': 0.880435, 'tone_id': 'joy', 'tone_name': 'Joy'}]}, {'sentence_id': 1, 'text': 'Ravish ji', 'tones': []}]}"
Willson George,Aik kahani yaad kare aik baap ne apne sabhi beto ko bulakar unhe samjha kar bataya mere kheto mae sona hae mehenat MIL jaega sabhi bete MIL kar kheto khodne lage aur Varsha hone ke baad unhe sona dilaye Satye mev jayate jai Mohan das karam chand Gandhi jai kisan andolan,{'document_tone': {'tones': []}}
