level,id,parent_id,object_id,object_type,object_key,query_status,query_time,query_type,message,created_time,like_count,comment_count,error.message
0,1,None,23230437118_1257046258053717,seed,,,None,None,,,,,
1,2,1,23230437118_1257046258053717,data,data.*,fetched (200),17:44.0,Facebook:/<post-id>/comments,"Outstanding performance by neeraj yesterday, he has gained marvelous respect and love from India and the world , respect??????",2021-08-08T03:05:02+0000,32,9,
1,3,1,23230437118_1257046258053717,data,data.*,fetched (200),17:44.0,Facebook:/<post-id>/comments,He's a human dynamo and his story should be inspiring for sedentary pre-teens everywhere and I'm sure he would not disagree,2021-08-08T00:27:19+0000,15,0,
1,4,1,23230437118_1257046258053717,data,data.*,fetched (200),17:44.0,Facebook:/<post-id>/comments,To celebrate  winning a single gold for a country of 1.3 billion people  is a matter of shame .,2021-08-08T03:40:18+0000,3,10,
1,5,1,23230437118_1257046258053717,data,data.*,fetched (200),17:44.0,Facebook:/<post-id>/comments,Yeah! He's very lucky KENYAN'S Julius yego is injured! He couldn't a've gotten that medal!,2021-08-07T21:34:35+0000,0,2,
1,6,1,23230437118_1257046258053717,data,data.*,fetched (200),17:44.0,Facebook:/<post-id>/comments,"Outstanding, tenacity, drive, passion and dedication. Wishing Neeraj all the greatness in his sport. Jai Hind! ????????",2021-08-08T00:18:59+0000,9,0,
1,7,1,23230437118_1257046258053717,data,data.*,fetched (200),17:44.0,Facebook:/<post-id>/comments,"GREAT HERO OF INDIA TODAY-WINNING ""GOLD-MEDAL ""IN TOKYO OLYMPIC. A.VERY CONGRATULATION TO NIRAJ CHOPRA & FAMILIES",2021-08-08T02:45:24+0000,2,1,
1,8,1,23230437118_1257046258053717,data,data.*,fetched (200),17:44.0,Facebook:/<post-id>/comments,Iam kurdish man and l love india and l want travled to ????,2021-08-07T23:27:06+0000,10,4,
1,9,1,23230437118_1257046258053717,data,data.*,fetched (200),17:44.0,Facebook:/<post-id>/comments,"Proud moment for india it's been winning something., INDIA CAME ON ITS TRACK.",2021-08-08T02:40:48+0000,1,0,
1,10,1,23230437118_1257046258053717,data,data.*,fetched (200),17:44.0,Facebook:/<post-id>/comments,#Accolades in oodles for garnering world of proud to the nation and being a #Symbol of pride to his family.,2021-08-08T01:16:05+0000,0,0,
1,11,1,23230437118_1257046258053717,data,data.*,fetched (200),17:44.0,Facebook:/<post-id>/comments,U gave an encouragement and motivation for every sport with ur dedication and commitment and set an example that nothing is impossible ????????,2021-08-10T01:41:41+0000,0,0,
1,12,1,23230437118_1257046258053717,data,data.*,fetched (200),17:44.0,Facebook:/<post-id>/comments,Had Milkha Singh been alive he would be very proud of Neeraj Chopra Olympic gold for India.,2021-08-08T03:34:12+0000,0,0,
1,13,1,23230437118_1257046258053717,data,data.*,fetched (200),17:44.0,Facebook:/<post-id>/comments,Neeraj have been winning Gold everywhere ... yet many of us never heard his name untill yesterday....  Virat kholi scores 10 runs & he is at front page next day.... really sad.....,2021-08-08T03:57:58+0000,1,0,
1,14,1,23230437118_1257046258053717,data,data.*,fetched (200),17:44.0,Facebook:/<post-id>/comments,"If our children have gone to win, they will get it .. Congratulations to the hero who won the war ..",2021-08-08T01:37:44+0000,0,0,
1,15,1,23230437118_1257046258053717,data,data.*,fetched (200),17:44.0,Facebook:/<post-id>/comments,Ultimate confidence ..he didn't even look back where it fell ...salute,2021-08-11T09:42:21+0000,0,0,
1,16,1,23230437118_1257046258053717,data,data.*,fetched (200),17:44.0,Facebook:/<post-id>/comments,A film will be released very soon ,2021-08-08T03:46:30+0000,0,0,
1,17,1,23230437118_1257046258053717,data,data.*,fetched (200),17:44.0,Facebook:/<post-id>/comments,He knew once the throw was completed and even he did not see where javelin landed . Confidence ????,2021-08-08T08:04:29+0000,0,1,
1,18,1,23230437118_1257046258053717,data,data.*,fetched (200),17:44.0,Facebook:/<post-id>/comments,Congratulations to Neeraj Chopra and thank you so much for winning Gold Medal. Whole Nation proud of you.,2021-08-08T00:37:14+0000,3,0,
1,19,1,23230437118_1257046258053717,data,data.*,fetched (200),17:44.0,Facebook:/<post-id>/comments, 1 gold medal from 1.2.Billion people.,2021-08-08T01:17:30+0000,0,1,
