level,id,parent_id,object_id,object_type,object_key,query_status,query_time,query_type,message,created_time,like_count,comment_count,error.message
0,1,None,218735715310_349964373263464,seed,,,None,None,,,,,
1,2,1,218735715310_349964373263464,data,data.*,fetched (200),05:21.3,Facebook:/<post-id>/comments,No doubt Narendra Modi one of the best Prime Minister ever. ??,2021-08-07T15:36:55+0000,23,5,
1,3,1,218735715310_349964373263464,data,data.*,fetched (200),05:21.3,Facebook:/<post-id>/comments,Who the hell he is.. why you people are showing so much attention towards him. Real hero is #NeerajChopra  not #Modi. He is purely #PR PM #showoffpm,2021-08-07T17:06:07+0000,46,24,
1,4,1,218735715310_349964373263464,data,data.*,fetched (200),05:21.3,Facebook:/<post-id>/comments,"Great, congratulation. Appreciate Modi as he interacts with all sportsperson. A true leader.",2021-08-07T16:20:37+0000,22,9,
1,5,1,218735715310_349964373263464,data,data.*,fetched (200),05:21.3,Facebook:/<post-id>/comments,Without a doubt he is the best prime minister the world has ever had and ever seen.. Even he works on weekends to congratulate our sportsmen ..,2021-08-07T16:12:44+0000,12,13,
1,6,1,218735715310_349964373263464,data,data.*,fetched (200),05:21.3,Facebook:/<post-id>/comments,Best Prime Minister ever..??????,2021-08-07T15:47:28+0000,29,29,
1,7,1,218735715310_349964373263464,data,data.*,fetched (200),05:21.3,Facebook:/<post-id>/comments,"Dear Modi sir how great of you sir , you won the hearts of all Indians we are always with you  Regards Lt Col Nizamuddin K",2021-08-07T17:37:49+0000,19,5,
1,8,1,218735715310_349964373263464,data,data.*,fetched (200),05:21.3,Facebook:/<post-id>/comments,Without camera also he can congratulate him... God knows modi ka mansa kya hai?,2021-08-07T15:33:16+0000,20,3,
1,9,1,218735715310_349964373263464,data,data.*,fetched (200),05:21.3,Facebook:/<post-id>/comments,"What Govt of India has done for promotion of sports on other hand they reduced budget of sports, Sorry to say PM is doing only drama nothing elss.",2021-08-07T16:44:47+0000,20,10,
1,10,1,218735715310_349964373263464,data,data.*,fetched (200),05:21.3,Facebook:/<post-id>/comments,Saabash   Kamal Khil Gaya  Neeraj or Niraj (Devanagari: ???? n?raj) is an Hindu masculine given name. The Sanskrit word n?raja is a compound of n?ra 'water' and -ja 'born' and has the primary meaning of 'lotus'.  The money we are wasting to run our ineffective sessions of our Parliament should be diverted to Sports.,2021-08-07T15:27:54+0000,14,5,
