message,created_time,positive,negative,neutral,compound
"Just a day after his is Removed from khel ratna , India won the Gold Medal ???? History ??????????",2021-08-07T16:08:32+0000,0.341,0.0,0.659,0.8299
Congratulations Neeraj Congratulations India,2021-08-07T16:10:08+0000,0.796,0.0,0.204,0.8316
Thank you for making us Proud??,2021-08-07T16:11:02+0000,0.598,0.0,0.402,0.7149
U are a great guy,2021-08-07T16:11:37+0000,0.672,0.0,0.328,0.6249
??,2021-08-07T16:12:17+0000,0.0,0.0,1.0,0.0
Congratulations,2021-08-07T16:12:47+0000,1.0,0.0,0.0,0.5994
Congratulations,2021-08-07T16:13:14+0000,1.0,0.0,0.0,0.5994
Jaihind,2021-08-07T16:13:53+0000,0.0,0.0,1.0,0.0
"Neeraj bro, Modi saar called hockey players ok..You will also get a call, when you get the call let us know ok bro..????",2021-08-07T16:17:34+0000,0.131,0.0,0.869,0.4871
What is the specialgift to the  goldmedalist from NDTV. We are ready to bear our share.,2021-08-07T16:18:13+0000,0.251,0.0,0.749,0.5719
Congratulations Niraj Chopra,2021-08-07T16:18:28+0000,0.661,0.0,0.339,0.5994
Congratulations,2021-08-07T16:18:58+0000,1.0,0.0,0.0,0.5994
That�s because you�re genius in what you do ??,2021-08-07T16:19:56+0000,0.0,0.0,1.0,0.0
Rename Narendra Modi stadium after Neeraj.His achievement is bigger than Dhyan Chand.Hope Feku is listening.,2021-08-07T16:21:10+0000,0.0,0.0,1.0,0.0
Hero,2021-08-07T16:23:08+0000,1.0,0.0,0.0,0.5574
May God this NDTV is showing This News. Save us from this channel.,2021-08-07T16:23:14+0000,0.325,0.0,0.675,0.6486
Sad day for rNDTV and Pappu family and 3rd class front,2021-08-07T16:23:19+0000,0.0,0.237,0.763,-0.4767
"Ab ye call karega ready rehna bhai agle video ke liye, feku video call??????",2021-08-07T16:23:29+0000,0.21,0.0,0.79,0.5362
????????????,2021-08-07T16:23:41+0000,0.0,0.0,1.0,0.0
VERY VERY CONGRATULATIONS DEAR BROTHER,2021-08-07T16:24:12+0000,0.717,0.0,0.283,0.8231
you made all indian proud.we are proud of you????,2021-08-07T16:25:40+0000,0.337,0.0,0.663,0.6199
best wishes,2021-08-07T16:27:58+0000,1.0,0.0,0.0,0.7003
Congratulations ????,2021-08-07T16:31:35+0000,0.829,0.0,0.171,0.7059
"Hope this achievement of boys and girls in this Olympic, motivates more children to make Olympic sport,part of their portfolio........... Jai hind!",2021-08-07T16:34:52+0000,0.132,0.0,0.868,0.4926
What a proud moment????!!! Congratulations Neeraj Chopra??,2021-08-07T16:35:27+0000,0.688,0.0,0.312,0.8701
???? ??? ?? ????? ??? ?? ??? ?? ?????? ??????? ??? ??? ?? ??? ???? ??? ???? ???? ?? ?????? ?? ??? ?? ?? ??? ??? ????? ??????? ?? ??? ?? ?? ?????? ?? ??? ?? ???? ????? ?????????? ?? ????????? ???? ??? ?????? ??? ?? ?? ???? ??. ???? ??????? ?? ????? ????? ???? ???.????????? ?? ??? ?? ?? ????? ???? ?? ????? ?? ??????? ???? ??? ?? ?????. ??? ????? ??? ?? ?? ?????? ?? ?? ?? ??????? ????? ?????? ??. ????????? ???. ???? ?? ????? ?? ?????? ?? ???? ?????? ???? ???????? ?? ??? ??????? ?? ??? ??? ?? ???? ???? ????? ???? ????                   ??????????????????????????????????2012 ?? ????????? ?? ???? ????? ???? ?? ???? ????? ?? ????????? ?? ???? ?????? ?????? ?? ??????? ??. ????? ??? ??? ???? ?????.??,2021-08-07T16:35:31+0000,0.0,0.0,1.0,0.0
So proud of You ??,2021-08-07T16:42:55+0000,0.484,0.0,0.516,0.5794
Neeraj Chopra !  You really save the image of India for getting first ever gold medal in the current Oympic game. Hearty  Congratulations to you.,2021-08-07T16:46:28+0000,0.339,0.0,0.661,0.8953
Congratulations Neeraj ?????????????????? proud moment for our nation,2021-08-07T16:49:44+0000,0.57,0.0,0.43,0.8385
Historical victory.. Congratulations... ????????,2021-08-07T16:51:22+0000,0.0,0.0,1.0,0.0
Congratulations,2021-08-07T16:54:44+0000,1.0,0.0,0.0,0.5994
India is proud of a son of Indian army.,2021-08-07T16:55:05+0000,0.307,0.0,0.693,0.4767
Congratulations thank you Zeus,2021-08-07T16:55:08+0000,0.762,0.0,0.238,0.7506
Congratulations brother,2021-08-07T17:00:37+0000,0.796,0.0,0.204,0.5994
Congratulations bro,2021-08-07T17:10:19+0000,0.796,0.0,0.204,0.5994
Had BJP not in power since 2014 winning of gold medal was impossible.,2021-08-07T17:12:39+0000,0.371,0.0,0.629,0.7579
Neeraj Chopra has opened the Avenue for young Indians to think beyond cricket . I am sure we have the talent hidden somewhere for every sporting event . If only we have the infrastructure and coaching staff to identify and pick such talents . Thank you champ for this win and giving us all indians such a high . Wishing you the best for all future championships and may you even break the World Record. ??????,2021-08-07T17:18:48+0000,0.335,0.0,0.665,0.982
Country is the supreme emotion. Nothing is bigger than that. Jai Hind.,2021-08-07T17:19:56+0000,0.247,0.0,0.753,0.5574
Congrats India and Thanks Sub Neeraj..you made the Olympic to play India ka danka (Jan Gan Man).. You become legend....Hurray,2021-08-07T17:22:26+0000,0.339,0.0,0.661,0.8271
Very nice ?? ,2021-08-07T17:29:23+0000,0.633,0.0,0.367,0.5351
"??????????????????, Jai Jagannath ??",2021-08-07T17:29:35+0000,0.0,0.0,1.0,0.0
???? ????? ?? ????? ????? ?? ????,2021-08-07T17:33:57+0000,0.0,0.0,1.0,0.0
"Is it me or everyone, listening to this video with a big smile and satisfaction, jaisey humney khud gold jita ho....????",2021-08-07T17:34:37+0000,0.261,0.0,0.739,0.7476
Congratulations  Mr Neeraj. Burnol moments for anti modi.,2021-08-07T17:38:16+0000,0.32,0.189,0.492,0.3818
Late night post,2021-08-07T17:40:13+0000,0.0,0.0,1.0,0.0
He India�s one in a billion gold medalist ?? Chak De India ???? ,2021-08-07T17:48:48+0000,0.0,0.0,1.0,0.0
Proud of you brother  Jai Hind,2021-08-07T17:50:35+0000,0.383,0.0,0.617,0.4767
Chah gae guru.. congratulations.. ????,2021-08-07T17:56:52+0000,0.0,0.0,1.0,0.0
Heartiest congratulations to Neeraj Chopra&his family for bagging first gold medal in     javelin throw Olympics at Tokyo.,2021-08-07T17:59:35+0000,0.318,0.0,0.682,0.7906
Congratulations,2021-08-07T18:00:59+0000,1.0,0.0,0.0,0.5994
This is what the archery team should learn from him   He said he was nder no pressure as he was thinking that he had faced his competitor's earlier and was a similar game.  Our archery team perform well in world tournament but fail in Olympics always ..  This will definitely give lots of hope and confidence to the other team members to bring 20 medals next Olympic,2021-08-07T18:05:11+0000,0.167,0.099,0.734,0.7543
congratulations,2021-08-07T18:27:23+0000,1.0,0.0,0.0,0.5994
All the pathetic wokes and psuedo liberals cancelling Neeraj shows how rotten these pigs have become,2021-08-07T18:42:37+0000,0.0,0.404,0.596,-0.8316
????????????????????????????????????????,2021-08-07T18:55:41+0000,0.0,0.0,1.0,0.0
but modi will take credit of ur gold medal mind he is a vulture,2021-08-07T18:58:52+0000,0.35,0.186,0.464,0.5499
Kholi ka add aya toh toh ye video hi dekhn chor diya..,2021-08-07T19:12:14+0000,0.0,0.0,1.0,0.0
Congratulations,2021-08-07T19:14:19+0000,1.0,0.0,0.0,0.5994
Bhai Neeraj.. Its ur hard work.. Please dont credit Modi-Shah for your success.  They will BEG votes on your success..,2021-08-07T19:59:38+0000,0.235,0.14,0.625,0.5293
Vinay Chandnani accent ,2021-08-07T20:47:15+0000,0.0,0.0,1.0,0.0
Last Night.  Textile industrial knitting zone form Bangladesh Dhaka south Asia. ,2021-08-07T21:42:08+0000,0.0,0.0,1.0,0.0
Congratulations ,2021-08-07T21:55:07+0000,1.0,0.0,0.0,0.5994
Congrats Jai hind,2021-08-07T22:32:30+0000,0.63,0.0,0.37,0.5267
#shameonhimanta #fakeescort ,2021-08-08T00:25:00+0000,0.0,0.0,1.0,0.0
Got inspired from him too https://t.co/EIxLazAkDm,2021-08-08T02:11:44+0000,0.39,0.0,0.61,0.4939
Congrats sahib ji,2021-08-08T03:00:26+0000,0.63,0.0,0.37,0.5267
"A matter of celebration or shame ? Indians are celebrating winning just 1 gold medal in the Tokyo Olympics. India has a population of about 1350 million people. Australia, with a population of 25.8 million has won 17 gold medals. New Zealand with 4.9 million has won 7 South Korea, with 51 million people, has won 6. Kenya with 55 million has won 6. Cuba with 11.3 million has won 6. Jamaica with 2.9 million has won 4. Croatia with 4 million has won 3. Slovenia with 2 million has won 3. Serbia with 6.9 million has won 2 Uganda with 44 million has won 2 Equador with 17 million has won 2 Israel with 8.8 million has won 2 Uzbegistan with 33.6 million has won 2. Qatar with 2.8 million has won 2 Kosovo with 1.9 million has won 3 So is it a matter to celebrate or be ashamed about ?",2021-08-08T03:07:14+0000,0.374,0.032,0.593,0.9966
