Comment,Time,positive,negative,neutral,compound
Coungradulation,2021-08-07T12:09:36Z,0.0,0.0,1.0,0.0
🥇,2021-08-07T12:10:38Z,0.0,0.0,0.0,0.0
gold 🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳,2021-08-07T12:11:45Z,0.0,0.0,1.0,0.0
भारत माता की जय <br>Superb bro !,2021-08-07T12:12:23Z,0.0,0.0,1.0,0.0
Gold <br>Jai hind,2021-08-07T12:13:07Z,0.0,0.0,1.0,0.0
Congrats a goldd.....👍👍👍,2021-08-07T12:14:49Z,0.773,0.0,0.227,0.5267
Congratulations bro,2021-08-07T12:15:00Z,0.796,0.0,0.204,0.5994
Yes done it..❣️❣️❣️❣️,2021-08-07T12:15:08Z,0.574,0.0,0.426,0.4019
Another chick 😂😂😂,2021-08-07T12:15:36Z,0.0,0.0,1.0,0.0
Congrats Neeraj.....win for India..,2021-08-07T12:16:08Z,0.531,0.0,0.469,0.5267
that&#39;s what the power in biceps of indians is.,2021-08-07T12:16:30Z,0.0,0.0,1.0,0.0
Congratulations 👏👏👏👏🎊🎊🎊👍👍💪,2021-08-07T12:16:32Z,0.796,0.0,0.204,0.5994
Congratulations!<br>Proud of you Neeraj Chopra!<br>Ja hind.,2021-08-07T12:17:46Z,0.0,0.0,1.0,0.0
Congrats Neeraj has won the gold.,2021-08-07T12:18:15Z,0.64,0.0,0.36,0.7964
Finally ....gold😍,2021-08-07T12:18:27Z,0.0,0.0,1.0,0.0
@ India Today : are you happy Neeraj won Gold???,2021-08-07T12:19:51Z,0.57,0.0,0.43,0.8377
Proud moment long live india,2021-08-07T12:20:01Z,0.437,0.0,0.563,0.4767
CONGRATULATIONS! MR. NEERAJ CHOPRA. YOU HAVE DONE IBDIA &amp; INDIANS PROUD. THIS IS HISTORY FOR INDIA. WILL ALL THE M.P. OF LOK LABHA DONATE THEIR 1 MONTH&#39;S  SALARY? HOPE ALL THE MAJOR INDUSTRIALISTS  GIVE HIM SOME PRIZE EITHER CASH OR KIND.,2021-08-07T12:21:13Z,0.37,0.0,0.63,0.9704
Yeah India 👏👏👏,2021-08-07T12:21:32Z,0.524,0.0,0.476,0.296
Why the hell are you creating india pakistan fight.....this is why I hate India Today . reporters,2021-08-07T12:21:42Z,0.098,0.369,0.533,-0.7964
superstar neeraj chopra.young gun of india.,2021-08-07T12:22:18Z,0.0,0.324,0.676,-0.34
It&#39;s Gold from a golden boy ❤️,2021-08-07T12:22:53Z,0.0,0.0,1.0,0.0
India.. India🇮🇳🙌❤🔥,2021-08-07T12:24:15Z,0.0,0.0,1.0,0.0
At last indian won one gold<br>Congrats neeraj Chopra<br>Jaihind,2021-08-07T12:24:49Z,0.346,0.0,0.654,0.5719
💎❤️,2021-08-07T12:27:06Z,0.0,0.0,1.0,0.0
❤️,2021-08-07T12:27:14Z,0.0,0.0,1.0,0.0
Congratulations 🎉,2021-08-07T12:27:28Z,1.0,0.0,0.0,0.5994
Bhai ke upar film pakki he......... hindustan ke kai baccho ke naam ab  neeraj honge....congrats golden boy,2021-08-07T12:28:23Z,0.0,0.0,1.0,0.0
