Name,Comment,Time,Likes,Reply Count,Reply Author,Reply,Published,Updated
MUKHERJEE ADITYA,"🇮🇳🇮🇳🇮🇳mere desh ki dharti sona ugle. Ugle heere moti, o mere desh ki dharti....🇮🇳🇮🇳",2021-08-07T20:47:29Z,1,0,,,,
Pankti Rani,Proud of u Neeraj sir.,2021-08-07T15:50:38Z,0,0,,,,
Suraj Sir,Congratulations Neeraj.,2021-08-07T15:30:52Z,0,0,,,,
Jun Hamada,Congratulations from Japan 🎉,2021-08-07T14:33:08Z,0,0,,,,
कुमार तपन,This guy is very interesting to pak player,2021-08-07T14:29:16Z,0,0,,,,
Ashwani Kumar,"Remembering  Milkha Singh - Flying SikhIndia Wins Her First Ever Olympic Gold in Track and Field segment.Long time back when in a TV interview Milkha  Singh was greatest desire in life. &#39; I want to see in my life time India win an Olympic Medal in athletics.&#39;, was the Flying Sikh&#39;s patriotic reply.We pay our tributes to Milka Singh .",2021-08-07T14:04:02Z,2,0,,,,
Ashwani Kumar,We are absolutely thrilled. Congrats Fellow Indians,2021-08-07T14:03:35Z,0,0,,,,
Divya Rajendra,We are proud of you..,2021-08-07T13:56:39Z,0,0,,,,
amit karekar,Niraj chopra makes us proud thank you niraj,2021-08-07T13:54:40Z,0,0,,,,
Saniya Ruhulla,First medal in athletics... INDIA PROUD OF YOU🇮🇳,2021-08-07T13:52:19Z,1,0,,,,
Tnpsc madurai,Congratulations Neeraj chopra 👏👏👏,2021-08-07T13:35:52Z,1,0,,,,
Subin Wilson,History maker,2021-08-07T13:28:29Z,0,0,,,,
Laxmi M,"Neeraj Chopra has done it! He wins Gold for India in the most dominating fashion. What a moment, history created🇮🇳🇮🇳🇮🇳Neeraj Chopra is the name, one that will go down in history books. CHAMPION!😎😎😎😎🏅🏅🏅🏅🏅",2021-08-07T13:24:02Z,1,0,,,,
Wilhelm W,Congratulations to Olympic champion Neeraj Chopra Sahib from London.,2021-08-07T13:19:54Z,2,0,,,,
Ninja Explore - 4K Japan Walk,Very proud moment for India. Gold 🏅in Tokyo Olympics. Congrats to Neeraj Chopra. Love from Indians in Japan. 🗼Keep Exploring and Supporting🗼,2021-08-07T13:12:43Z,4,0,,,,
Küghalu Mülatonu,Thank you Neeraj Chopra. Tjank you PT Usha for making India proud .God bless you.🙏🙏🙏🙏🙏,2021-08-07T13:11:40Z,0,0,,,,
Suppiah Murugesan,The incredible hulk bags a gold for Bharat!. First Gold medal for Bharat in 2020 Olympics. Jai Hind!!!!,2021-08-07T13:09:36Z,2,0,,,,
Amit Jadye,Why is she concerned about pakistani athletes??,2021-08-07T13:08:29Z,0,0,,,,
Subramanian .J,JAI HIND,2021-08-07T13:02:53Z,1,0,,,,
on tube,The star is born,2021-08-07T12:59:40Z,1,0,,,,
H.N. Shashi,Great job. Thanks. You have made India proud. <br>Shashidhar Savitha Shrividya,2021-08-07T12:56:24Z,1,1,,,,
,,,,,Ravi Chauhan,🤗,2021-08-07T12:59:53Z,2021-08-07T12:59:53Z
Rajkishore Behera,Mirabai won gold because I&#39;m sure the Chinese girl had taken drugs,2021-08-07T12:55:39Z,1,0,,,,
Shalini Spoken English Course,✌️✌️,2021-08-07T12:54:43Z,1,0,,,,
Random Star,Thats it the moment we all Indians are waiting for thankyou Neeraj Chopra you gave us a big smile after a long time....love from manipur.,2021-08-07T12:51:55Z,0,0,,,,
Srikanth meda,I love❤ india🇮🇳,2021-08-07T12:51:51Z,0,0,,,,
alina arora,"After 13 years of winning gold, thanks to Neeraj for the happiness he has given to all Indians..... For this  neeraj doesn&#39;t not deserve 🏆gold.... Gold deserve neeraj 😇",2021-08-07T12:51:14Z,0,0,,,,
Ng Meena,"Congratulations🎉🥳👏 Neeraj Chopra, love you❤😘🤟 Jaihind 🙏",2021-08-07T12:51:03Z,1,0,,,,
Disha Mondal,🥳,2021-08-07T12:48:39Z,1,0,,,,
Aravind Venkat,Someone : What will you gives Goosebumps ?<br>Me : Indian National Anthem 🇮🇳💯,2021-08-07T12:47:40Z,10,0,,,,
Shrikant Nair,Neeraj chopra muslim hai kya 😆😆😆😉,2021-08-07T12:45:36Z,1,0,,,,
乂S o ᴜ ʀ ᴀ ʙ ʜ࿐,Why she is asking about pakistani player specifically. Our media is so curious to know pakistan activities.,2021-08-07T12:44:54Z,0,0,,,,
Jerry Singh,Congratulatiions,2021-08-07T12:42:53Z,1,1,,,,
,,,,,Jerry Singh,"All the hype in one month no one will  hear  anything  are sports,with the exception  of  cricket.",2021-08-07T12:46:42Z,2021-08-07T12:46:42Z
Karma Corp,When he lands in Delhi airport!! he won&#39;t be able to walk an inch :),2021-08-07T12:42:12Z,16,0,,,,
Krishna TRS,Congratulations Neeraj...<br>Gold for India,2021-08-07T12:40:48Z,1,0,,,,
Lucky Rana The Haryanvi,Haryana kabhi Bharat ko jhukne nahi dega <br>Bajrang punia<br>Ravi Dahiya<br>Neeraj Chopra<br>In Haryanvi Bhartiyo ne ye saabit kia hai,2021-08-07T12:40:47Z,2,0,,,,
Anil Kumar Manikoth,What the hell we have to do with pakistan 🙄 presssstitutes,2021-08-07T12:39:42Z,1,0,,,,
Sahil panjwani,2016 world junior champion with world junior record 🇮🇳🥇<br>2018 Commonwealth Games Champion 🇮🇳🥇<br>2018 Asian Games Champion 🇮🇳🥇<br><b>And Now</b> <br>2020 Olympic Champion 🇮🇳🥇<br><br>At 23 years Old Neeraj Chopra is an Indian Legend and One of the most  decorated Javelin thrower of the World,2021-08-07T12:39:27Z,7,1,,,,
,,,,,Dawn Dusk,🔥🔥🔥,2021-08-07T13:36:04Z,2021-08-07T13:36:04Z
NAVEEN,Proud moment for India,2021-08-07T12:38:30Z,1,0,,,,
Vibha Venkatesh,Congratulations Neeraj...ur India&#39;s Pride... 👍👍<br>2 huge throws of 87 + sealed off Gold Medal... what an amazing win... 👍👍,2021-08-07T12:38:07Z,1,0,,,,
