Name,Comment,Time,Likes,Reply Count,Reply Author,Reply,Published,Updated
Jigyasa,Neeraj meri jaan😘😘😘🥰🥰🥰♥️♥️,2021-09-24T07:36:54Z,1,0,,,,
Jigyasa,"<b>Wow what a personality of Neeraj sir !! Neeraj Chopra sir is the Real Hero of our country. Super talented, dashing, energetic, humble, cute, strong, great sense of humour, charming, passionate, stylish, innocent, Super- confident, handsome, sincere, genuine and the most important he is from Indian Army 💪💪.. I am a girl and so much respect and love for Neeraj sir in my heart. I am die-hard fan of Neeraj sir, my inspiration, my idol and my love. ♥️♥️😊😊😊😊♥️♥️✌️✌️💪💪🔥🔥🔥🔥</b>",2021-09-24T07:36:42Z,1,0,,,,
वि रे श,"Let the sanghis be happy with this medal, never gonna appreciate this &#39;Gold medal&#39;",2021-08-10T13:12:43Z,0,0,,,,
MemeForLife Debo,NDTV aapke athelete Nadeem  ne bhi bohot accha kiya,2021-08-08T03:26:59Z,1,0,,,,
PRINCE GAMING,Assam ..Lailapur is attacking the Mizo vehicle while allowing to pass throught the states after along 16 days blocked ....Assam will get what it deserved ....,2021-08-07T19:03:59Z,0,0,,,,
Nun Mawia,Congratulation from Mizoram,2021-08-07T18:11:40Z,0,0,,,,
pramila Kumai,Congratulations sir 🎉🎊,2021-08-07T17:33:35Z,0,0,,,,
simon l.,👏👏👏💪Congratulations proud to have you in our country,2021-08-07T16:41:01Z,0,0,,,,
Ranganathan Gopalan,Great and proud movement 👏,2021-08-07T16:38:06Z,0,0,,,,
samshad khan,Congrats neeraj chopara ji,2021-08-07T16:04:08Z,0,0,,,,
samshad khan,Nice channel,2021-08-07T16:03:48Z,0,0,,,,
TWICE TEEN,"Ewww Indians here in the comment section talking about athelete&#39;s caste and playing politics instead of crediting the player itself. That&#39;s why India and Indians will always remain backward in sport sector, always casteism and politics eww.",2021-08-07T16:00:01Z,1,0,,,,
Salman Pathan,Proud movements for nation as whole.,2021-08-07T15:52:46Z,0,0,,,,
KARAN,Wrong Info- He is not the only 2nd individual medalist...please rectify.,2021-08-07T15:51:11Z,0,0,,,,
AFAQUE AHMED,"Panipat has been known to change courses in Indian History , here&#39;s another one .",2021-08-07T15:50:32Z,1,0,,,,
