,Reply,Published,sentiment
274,"['kerala', 'maharashtra', 'chattisgarhpunjabdelhi', 'bengal', 'evm', 'use']",2021-07-05T18:25:09Z,0.0
276,"['lynch', 'sadhu', 'sir']",2021-07-05T18:37:57Z,0.0
266,"['shame', 'u', 'activist', 'jail', 'corrupt', 'let', 'lose']",2021-07-05T18:44:38Z,-0.7003
277,"['stan', 'lynch', 'government']",2021-07-05T18:54:36Z,0.0
267,"['cant', 'people', 'work', 'poor', 'provide', 'tribals', 'religion', 'tribals', 'religion', 'year', 'give', 'take', 'kind', 'help', 'service', 'cant', 'selfless', 'return', 'service', 'may', 'wish', 'check', 'dr', 'prakash', 'amte', 'family', 'work', 'without', 'change', 'religion']",2021-07-05T21:58:23Z,0.8848
249,"['clever', 'try', 'kuwait', 'provide', 'fund']",2021-07-06T01:23:25Z,0.4588
268,"['never', 'work', 'silently', 'exploit', 'support', 'pillage', 'fund', 'government', 'day']",2021-07-06T01:24:35Z,0.4581
222,"['people', 'without', 'conscience', 'sleep', 'peacefully', 'arm', 'demonic']",2021-07-06T01:32:51Z,-0.4168
238,"['shame', 'discriminate', 'society']",2021-07-06T03:54:50Z,-0.4767
251,"['surprise', 'incompetent', 'govt', 'rule', 'country']",2021-07-06T03:56:32Z,-0.25
167,"['low', 'knowledge', 'fr', 'stan', 'swamy', 'read']",2021-07-06T03:57:44Z,-0.2732
235,"['v', 'true']",2021-07-06T03:57:53Z,0.4215
236,"['v', 'true']",2021-07-06T03:58:00Z,0.4215
195,"['half', 'knowledge', 'dangerous']",2021-07-06T04:00:07Z,-0.4767
223,"['cow', 'precious', 'human', 'country', 'right']",2021-07-06T04:03:32Z,0.5719
168,"['edna', 'jam', 'absolutely', 'disagree']",2021-07-06T04:08:00Z,-0.4391
196,"['edna', 'jam', 'true']",2021-07-06T04:18:19Z,0.4215
182,"['die', 'cardiac', 'arrest', 'anyone', 'could', 'cardiac', 'arrest']",2021-07-06T04:31:43Z,-0.8271
172,"['good', 'chamchagodi', 'key', 'board', 'warriorhe', 'jail', 'evidiencewhile', 'pragiya', 'thakur', 'convict', 'evidence', 'member', 'parliament']",2021-07-06T04:47:42Z,0.4404
252,"['sad', 'day', 'fir', 'christian', 'missionary']",2021-07-06T05:07:12Z,-0.4767
143,"['ya', 'right', 'everyone', 'apart', 'bhakts', 'bjp', 'member', 'urban', 'naxal', 'maoist', 'anti', 'national', 'today', 'india']",2021-07-06T05:33:49Z,-0.3182
278,"['talk', 'accuse', 'people', 'possess', 'neutrality', 'lynch', 'saddhu', 'indeed', 'heartwrenching', 'say', 'reaction', 'every', 'channel', 'newspaper', 'report', 'condemn', 'perpetrator', 'godi', 'medium', 'go', 'overboard', 'first', 'blame', 'muslim', 'say', 'muslim', 'name', 'hear', 'audio', 'turn', 'false', 'blame', 'commie', 'missionary', 'even', 'sonia', 'gandhi', 'vatican', 'without', 'iota', 'proof', 'nobody', 'even', 'raise', 'finger', 'gujarat', 'police', 'turn', 'back', 'border', 'late', 'night', 'rate', 'lynchers', 'arrest', 'almost', 'certain', 'mistake', 'kidnapper', 'blame', 'minority', 'even', 'crime', 'commit', 'people', 'temerity', 'talk', 'neutrality', 'doubt', 'diploma', 'whataboutery', 'arnab', 'universityfrstan', 'murder', 'arrest', 'instead', 'celebrate']",2021-07-06T05:41:21Z,-0.9709
250,"['swapan', 'chakravarthy', 'bring', 'kuwait']",2021-07-06T05:45:50Z,0.0
224,"['dinagaran', 'ur', 'mentality', 'show', 'fundamentalist', 'injustice', 'need', 'bring', 'cow']",2021-07-06T05:57:55Z,-0.5719
225,"['unless', 'usa', 'impose', 'sanction', 'india', 'nothing', 'change']",2021-07-06T05:58:04Z,-0.296
164,"['hinduism', 'exist', 'year', 'think', 'old', 'man', 'go', 'convert', 'hindu', 'christian', 'wake', 'man']",2021-07-06T06:17:41Z,0.0
173,"['power', 'especially', 'judicial', 'power', 'kill', 'innocent', 'priest', 'liable', 'pay', 'heavy', 'price']",2021-07-06T06:22:37Z,-0.6077
207,['ifs'],2021-07-06T06:23:04Z,0.0
136,"['father', 'face', 'karma']",2021-07-06T06:23:43Z,0.0
177,"['anti', 'indian']",2021-07-06T06:24:24Z,-0.3182
275,"['hahaha', 'think', 'like', 'looser']",2021-07-06T06:26:55Z,0.7269
