,Comment,Time,sentiment
355,"['sadhu', 'lunch', 'live', 'tv', 'care', 'old', 'man', 'dy', 'doubt', 'sad', 'old', 'age', 'health', 'problem', 'world', 'fall', 'mean', 'atleast', 'pretend', 'neutral']",2021-07-05T17:50:04Z,-0.6705
354,"['congratulation', 'godi', 'medium', 'one', 'naxal', 'die', 'urban', 'naxal', 'deshdroh', 'foreign', 'fund', 'deshbhakt', 'modi', 'ji', 'bhakt', 'medium']",2021-07-05T17:51:04Z,0.0
353,"['modi', 'unconstitutional', 'pm', 'evm', 'set', 'evm', 'set', 'aur', 'r', 'ne', 'kiya']",2021-07-05T18:08:30Z,0.0
352,"['well', 'plan', 'murder']",2021-07-05T18:08:43Z,-0.5574
351,"['sham', 'man', 'kerala', 'work', 'year', 'adivasis', 'jharkhand', 'nothing', 'shame', 'young', 'blood', 'bela', 'bhatia', 'sudha', 'bharadwaj', 'jean', 'dreaze', 'stan', 'swary', 'real', 'hero', 'work', 'silently', 'political', 'leader', 'bark']",2021-07-05T18:12:07Z,0.7314
350,"['shame', 'justice', 'system', 'country', 'movingshameless', 'inhumane', 'rip', 'sir', 'stan', 'swamy']",2021-07-05T18:56:29Z,0.0772
349,"['sad', 'day', 'indian', 'democracysocial', 'activsts', 'jail', 'leave', 'die', 'corrupt', 'let', 'lose']",2021-07-05T18:57:32Z,-0.872
348,"['thank', 'indian', 'government', 'indian', 'judiciary', 'nobelest', 'act', 'succeed', 'punish', 'greatest', 'conspirator', 'india', 'shame', 'u', 'citizen', 'country']",2021-07-05T19:25:29Z,0.5267
347,"['indian', 'government', 'judiciary', 'trail', 'international', 'court', 'justice', 'outside', 'india', 'shame', 'indian', 'government', 'judiciary', 'shame', 'cold', 'blood', 'amp', 'deliberate', 'murder']",2021-07-05T19:28:14Z,-0.8176
346,"['murder', 'nothing', 'custodial', 'murder', 'shame', 'governmentour', 'policeour', 'judiciary', 'shame', 'u']",2021-07-05T19:38:42Z,-0.7424
345,"['r', 'government', 'nia', 'hindustan', 'ka', 'sarvanash', 'karke', 'hi', 'maregha']",2021-07-05T19:41:43Z,0.0
344,"['jo', 'begunah', 'logo', 'ko', 'jailo', 'tusa', 'gaya', 'hai', 'unka', 'badduwa', 'hindustan', 'ko', 'zaroor', 'lagega', 'vinaash', 'kaal', 'vipareet', 'bhuddhi']",2021-07-05T19:52:53Z,0.0
343,"['god', 'die', 'save', 'u', 'frm', 'sin', 'n', 'arise', 'da', 'day', 'n', 'comeback', 'take', 'u', 'bodily', 'heaven', 'u', 'believec', 'redemption', 'google']",2021-07-05T20:00:55Z,0.0258
342,"['paralyze', 'political', 'judiciary', 'india']",2021-07-05T20:05:17Z,0.0
341,"['failure', 'every', 'fuck', 'system', 'country', 'system', 'medium']",2021-07-05T20:16:45Z,-0.7783
340,"['court', 'reply', 'delay', 'justice', 'let', 'accuse', 'guilty', 'unless', 'declare', 'guilty', 'compromise', 'dignity', 'death', 'well', 'people', 'furious', 'court', 'respond', 'jus', 'wash', 'hand']",2021-07-05T20:28:54Z,-0.7096
339,"['r', 'fascist', 'modi', 'government', 'cold', 'blood', 'kill', 'year', 'old', 'social', 'activist', 'whole', 'world', 'raise', 'condolence']",2021-07-05T20:31:22Z,-0.8519
338,"['definitely', 'murder', 'shame', 'indian', 'government']",2021-07-05T20:34:01Z,-0.7269
337,"['fantastic', 'judiciary', 'bright', 'police', 'colleague', 'worry', 'every', 'dog', 'dayu', 'see', 'guy', 'roll', 'bed']",2021-07-05T21:30:24Z,0.5574
336,"['pray', 'country']",2021-07-05T21:45:19Z,0.3182
335,"['sri', 'ranjan', 'gogai']",2021-07-05T22:57:28Z,0.0
334,"['may', 'soul', 'rest', 'eternal', 'peace', 'fr', 'stan', 'may', 'god', 'grant', 'u', 'grace', 'forgive', 'persecute', 'u', 'continue', 'live', 'life', 'faith', 'hope', 'importantly', 'love']",2021-07-06T00:16:49Z,0.9643
333,"['god', 'die', 'save', 'u', 'frm', 'sin', 'n', 'arise', 'da', 'day', 'n', 'comeback', 'take', 'u', 'bodily', 'heaven', 'u', 'believec', 'redemption', 'google']",2021-07-06T00:51:10Z,0.0258
332,"['live', 'long', 'past', 'retirement', 'year', 'travail', 'one', 'usually', 'get', 'affect', 'ailment', 'gain', 'say', 'however', 'law', 'enforce', 'koregaon', 'issue', 'border', 'defeat', 'religious', 'supremacist', 'deny', 'supremacist', 'latter', 'support', 'british', 'win', 'occasion', 'celebration', 'stan', 'swamy', 'support', 'political', 'gain', 'deprive', 'remain', 'taxpayer', 'money', 'pillage', 'government', 'day', 'aspect', 'miss', 'bus', 'stan', 'think', 'irrationality', 'become', 'fodder', 'pronouncement', 'hatred', 'fill', 'environment', 'social', 'disorder', 'need', 'several', 'political', 'group', 'grieve', 'human', 'life', 'could', 'paint', 'world', 'wisdom', 'condemn', 'heinous', 'man', 'whose', 'wisdom', 'lay', 'spread', 'hatred']",2021-07-06T01:22:48Z,-0.5106
331,"['inhumane', 'act', 'ashamed', 'indian']",2021-07-06T02:03:07Z,-0.4767
330,"['rajdick', 'dalaldesai', 'ak', 'dalal', 'haiaur', 'india', 'today', 'fake', 'news', 'today']",2021-07-06T02:14:01Z,-0.4767
329,"['rip', 'stan', 'swamy', 'yet', 'goodfor', 'nothing', 'criminal', 'politician', 'walk', 'free', 'disgraceful', 'bjp']",2021-07-06T02:21:21Z,0.7249
328,"['rip', 'frswamy']",2021-07-06T02:23:00Z,0.0
327,"['stan', 'swamy', 'wage', 'war', 'india']",2021-07-06T02:24:10Z,-0.5994
326,"['deadhe', 'life', 'long', 'adivasi', 'converter', 'live', 'convert', 'people', 'rice', 'bagshe', 'life', 'long', 'antinational', 'activity', 'try', 'destroy', 'nationhe', 'life', 'long', 'leftist', 'create', 'caste', 'divide', 'divide', 'hindu']",2021-07-06T02:26:29Z,-0.34
325,"['rajdeep', 'show', 'doesnot', 'allow', 'panelist', 'speak', 'netanagri', 'lallantop', 'want', 'speak', 'doesnot', 'listen', 'anchor']",2021-07-06T02:34:03Z,0.296
324,"['politician', 'police', 'esp', 'nia', 'court', 'kill', 'period']",2021-07-06T03:01:40Z,-0.6908
323,"['stategodi', 'medium', 'judiciary', 'glove', 'deny', 'justice', 'take', 'citizen', 'life']",2021-07-06T03:07:46Z,0.25
322,"['india', 'die', 'yesterday']",2021-07-06T03:14:26Z,-0.5994
321,"['holy', 'jesus', 'thank', 'forgive', 'evil', 'heart']",2021-07-06T03:15:21Z,-0.2023
320,"['today', 'frstanwho', 'kill', 'tomorrow']",2021-07-06T03:26:40Z,-0.6908
319,"['naxal', 'supporter']",2021-07-06T03:27:07Z,0.2732
318,"['create', 'social', 'unrest']",2021-07-06T03:31:27Z,0.2732
317,['murder'],2021-07-06T03:35:00Z,-0.6908
316,"['blood', 'innocent', 'soal', 'hand', 'perfume', 'arabia', 'sweeten']",2021-07-06T03:37:14Z,0.6808
315,"['proper', 'plan', 'murder', 'innocent', 'man', 'total', 'failure', 'govt', 'judicial', 'police', 'country', 'move', 'towards', 'lawlessness']",2021-07-06T03:38:31Z,-0.765
314,"['rajdeep', 'sardesai', 'never', 'fluent', 'always', 'grope', 'word', 'people', 'wonder', 'call', 'tv', 'news', 'anchor', 'ask', 'question', 'make', 'sense', 'bias']",2021-07-06T03:40:54Z,-0.1027
313,"['long', 'live', 'fr', 'stan', 'sincere', 'dedication', 'cause', 'poor', 'inspire', 'million', 'sensible', 'indian', 'stand', 'unite', 'stop', 'senseless', 'treatment', 'give', 'saintly', 'man', 'god', 'frstan']",2021-07-06T03:45:44Z,0.4939
312,"['corrupt', 'journalist', 'mercy', 'conversion', 'mafia', 'hold', 'key', 'european', 'usa', 'visa', 'also', 'pump', 'lot', 'money', 'news', 'organisation', 'return', 'journalist', 'ignore', 'conversion', 'mafia', 'illegal', 'activity', 'find', 'raise', 'hell', 'medium', 'action', 'take', 'conversion', 'mafia']",2021-07-06T03:46:24Z,-0.8481
311,"['continue', 'india', 'deserve', 'international', 'sanction']",2021-07-06T03:49:01Z,0.0
310,"['murder', 'central', 'government', 'judge']",2021-07-06T03:52:02Z,-0.6908
309,"['really', 'democratic', 'country', 'v', 'sad', 'india', 'goinggone', 'back', 'stone', 'age', 'civilization']",2021-07-06T04:00:47Z,-0.5209
308,"['really', 'democratic', 'country', 'v', 'sad', 'india', 'goinggone', 'back', 'stone', 'age', 'civilization']",2021-07-06T04:00:48Z,-0.5209
307,"['use', 'show', 'fr', 'stan', 'swamy', 'dead']",2021-07-06T04:05:45Z,-0.6486
306,"['talk', 'kill', 'bengal', 'since', 'talk', 'obvious', 'issue', 'credibility', 'zero', 'may', 'men', 'dispose', 'pin', 'blame', 'right', 'rule', 'party', 'may', 'truth', 'come', 'slap', 'culprit', 'right', 'face']",2021-07-06T04:14:39Z,-0.3612
305,"['need', 'pity', 'maoist']",2021-07-06T04:16:17Z,-0.296
304,"['ache', 'din', 'yeh', 'hai']",2021-07-06T04:29:35Z,-0.3818
303,"['news', 'go', 'day', 'n', 'forget', 'medium', 'give', 'help', 'alive', 'n', 'sipper', 'give', 'cruelty', 'bcos', 'priest', 'nia', 'would', 'modi', 'need', 'straw']",2021-07-06T04:35:44Z,-0.128
302,"['crime', 'larger', 'life', 'ignominous', 'act', 'long', 'checker', 'stay', 'tribal', 'area', 'clearly', 'debase', 'shed', 'crocodile', 'tear', 'agerelated', 'natural', 'demise', 'likely', 'expose', 'agenda', 'publicity', 'starve', 'news', 'agency', 'public', 'domain', 'would', 'interest', 'soil', 'expose', 'renegade']",2021-07-06T04:36:34Z,-0.1027
301,"['nda', 'govt']",2021-07-06T04:39:50Z,0.0
300,"['common', 'delay', 'court', 'hear', 'n', 'make', 'innocent', 'people', 'suffer', 'ever', 'refuse', 'give', 'sipper', 'punish', 'judiciary', 'suck', 'medium', 'get', 'nia', 'air', 'talk']",2021-07-06T04:40:14Z,-0.8979
299,"['yeah', 'good', 'jail', 'senior', 'citizen', 'provide', 'basic', 'need', 'criminal', 'politician', 'police', 'powerful', 'people', 'roam', 'free', 'eben', 'get', 'bail', 'get', 'marry', 'farce', 'judiciary', 'system', 'run', 'god', 'know']",2021-07-06T04:50:04Z,0.7351
298,"['god', 'punish', 'dirty', 'judgescan', 'judge', 'dare', 'mother']",2021-07-06T04:55:42Z,-0.6369
297,"['nia', 'celebrate', 'get', 'promotion']",2021-07-06T04:59:50Z,0.5719
296,"['miss', 'use', 'power', 'indian', 'govt']",2021-07-06T05:05:11Z,-0.1531
295,"['cry', 'rajdeep', 'cry', 'maoist', 'christian', 'father', 'pass', 'away']",2021-07-06T05:06:06Z,-0.7351
294,"['sad', 'day', 'fir', 'christian', 'missionary', 'an', 'maoist']",2021-07-06T05:07:53Z,-0.4767
293,"['crpf', 'official', 'die', 'fight', 'maoist', 'mercy', 'people', 'conspire', 'country']",2021-07-06T05:10:45Z,-0.6124
292,"['finally', 'fr', 'stan', 'swamy', 'get', 'kill', 'new', 'pliant', 'judiciary', 'medium', 'agency', 'many', 'die', 'fire', 'injustice', 'suffer', 'reach', 'every', 'door', 'burn', 'house']",2021-07-06T05:11:56Z,-0.959
291,"['responsible', 'central', 'government', 'judge', 'jail', 'authoritieswill', 'face', 'karma']",2021-07-06T05:18:00Z,0.3182
290,"['bledyfools', 'time', 'talk', 'nonsense', 'person', 'death', 'take', 'place']",2021-07-06T05:22:43Z,-0.765
289,"['india', 'secretly', 'apply', 'devide', 'rule', 'policy', 'mizoram', 'christian', 'state', 'assam', 'bjp', 'take', 'majority', 'try', 'take', 'part', 'mizoram', 'land', 'toocatholic', 'christian', 'suffer', 'many', 'way', 'second', 'xi', 'jingping']",2021-07-06T05:24:27Z,-0.5423
288,"['put', 'jail', 'want', 'look', 'themself', 'infront', 'mirror', 'want', 'ask', 'human', 'right', 'activist', 'really', 'really', 'blame', 'bjp', 'party', 'take', 'majority', 'long', 'india', 'bad', 'situation']",2021-07-06T05:28:49Z,-0.4419
287,"['may', 'soul', 'rest', 'peace']",2021-07-06T05:30:04Z,0.5423
286,"['god', 'give', 'bail', 'stans', 'lourthu', 'samy', 'bear', 'tiruchi', 'tamilnadu', 'work', 'tribe', 'jarkhandrip']",2021-07-06T05:40:29Z,0.2732
285,"['injustice', 'do', 'fr', 'stan', 'swamy', 'justice', 'do', 'stan', 'swamy', 'give', 'justice']",2021-07-06T05:46:54Z,0.4767
284,"['rip', 'rev', 'father', 'stan', 'swamy']",2021-07-06T05:48:20Z,0.0
283,"['sadned', 'miss', 'rev', 'father']",2021-07-06T05:49:13Z,-0.1531
282,"['true', 'servant', 'lord']",2021-07-06T05:49:34Z,0.4215
281,"['uapa', 'act', 'look', 'politician', 'best', 'interest', 'democracy', 'wise', 'india', 'die', 'soon', 'great', 'sacrifice', 'forefather', 'go', 'vain']",2021-07-06T05:52:50Z,0.8271
