Comment,Time,positive,negative,neutral,compound
2 sadhus lunched on live TV who cares? an old man dies ( no doubt very sad) of old age and health problems world is falling I mean atleast pretend to be neutral,2021-07-05T17:50:04Z,0.08,0.278,0.642,-0.6597
"Congratulations to Godi Media one Naxal died ,Urban Naxal Deshdroh, Foreign funding <br>DESHBHAKT or MODI JI Bhakt Media",2021-07-05T17:51:04Z,0.166,0.153,0.681,0.0772
☝🏻🙏🏻🙏😢😭,2021-07-05T18:01:19Z,0.0,0.0,1.0,0.0
Modi is unconstitutional PM by EVM settings from 2014<br>मोदी एक असंविधनिक प्रधान मंत्री हैं जो EVM settings से सत्ता चोरी किया उसका इमेज का प्रचार दलाल मीडिया aur RSS ne kiya 2014 से,2021-07-05T18:08:30Z,0.0,0.0,1.0,0.0
well planned murder.,2021-07-05T18:08:43Z,0.269,0.603,0.128,-0.5574
"now i&#39;m shamed of myself, a man from kerala worked for 50 years for our adivasis and  jharkhand, what i&#39;m doing , just nothing. shame on my young blood. bela bhatia, sudha bharadwaj, jean dreaze, stan swary are real heroes who worked silently not those political leader only barking.",2021-07-05T18:12:07Z,0.11,0.067,0.823,0.308
Shame on our justice system. <br>Where our country is moving?<br>Shameless. Inhumane.  <br><br>RIP Sir Stan Swamy.,2021-07-05T18:56:29Z,0.174,0.159,0.667,0.0772
A sad day for Indian democracy.<br>Social activsts are jailed and left to die and the corrupt are let lose.,2021-07-05T18:57:32Z,0.0,0.48,0.52,-0.9169
Thank you Indian Government and Indian Judiciary for this NOBELEST act of yours.  After all you succeeded in punishing the greatest conspirator of India.  Shame on us as we are citizens of this country.,2021-07-05T19:25:29Z,0.21,0.148,0.642,0.4215
Why can&#39;t Indian Government and Judiciary be trailed in International court of justice outside India. Shame on Indian  Government and Judiciary. Shame on you. It&#39;s a cold blooded &amp; deliberate murder  .,2021-07-05T19:28:14Z,0.084,0.27,0.645,-0.8176
"Murder. This is nothing but custodial murder. Shame on our government.our police,our judiciary. Shame on us.",2021-07-05T19:38:42Z,0.181,0.395,0.425,-0.7221
RSS government and NIA Hindustan ka sarvanash karke hi maregha.,2021-07-05T19:41:43Z,0.0,0.0,1.0,0.0
"Jo begunah logo ko jailo me tusa gaya hai, <br>Unka badduwa Hindustan ko zaroor lagega. <br>Vinaash kaal vipareet bhuddhi.",2021-07-05T19:52:53Z,0.0,0.0,1.0,0.0
God died to save u frm all sins n arose on da 3rd day n will comeback to take u bodily to heaven if u just believe.c redemption in google....,2021-07-05T20:00:55Z,0.244,0.187,0.568,0.25
Paralyzed political judiciary of India,2021-07-05T20:05:17Z,0.0,0.0,1.0,0.0
It is the failure of every fucking system in the country all 3 systems and the media and me and  you.....,2021-07-05T20:16:45Z,0.0,0.148,0.852,-0.5106
What will court now reply on delay of justice. Let him be accused but he is not guilty unless declared guilty this is compromise to dignity in death as well. While people will. Be furious but what will our courts respond or they will jus wash off their hands..,2021-07-05T20:28:54Z,0.212,0.201,0.588,-0.0654
This is RSS and Fascist Modi governments cold blood killing of 84 years old social activist. Whole world should be raise their condolence.,2021-07-05T20:31:22Z,0.0,0.276,0.724,-0.8402
"Definitely murder, shame on the Indian government!",2021-07-05T20:34:01Z,0.183,0.547,0.27,-0.75
"We have a fantastic Judiciary and bright police and their colleagues, don&#39;t worry every dog has his day,u will see some off these guys rolling i  bed",2021-07-05T21:30:24Z,0.207,0.092,0.701,0.5574
Pray for our country from above,2021-07-05T21:45:19Z,0.315,0.0,0.685,0.3182
Sri. Ranjan Gogai.!!!!!!!!!,2021-07-05T22:57:28Z,0.0,0.0,1.0,0.0
"May your soul rest in eternal peace, Fr. Stan. ❣ May God grant us the grace to forgive those who persecute us, and continue to live our lives in faith, hope and most importantly, love.",2021-07-06T00:16:49Z,0.487,0.059,0.454,0.9669
"God died to save u frm all sins n arose on da 3rd day n will comeback to take u bodily to heaven if u just believe.c redemption in google...,.",2021-07-06T00:51:10Z,0.244,0.187,0.568,0.25
"Living long past retirement years is a travail by itself and one usually gets affected by ailments. There&#39;s no gain saying it. However, there&#39;s a law which has to be enforced. The Koregaon issue borders on defeat of religious supremacists against denied supremacists. The latter was supported by the  British and their win an occasion of celebration. Stan Swamy supported it for political gains of the deprived who remained so over 70-years when taxpayer money was pillaged by governments of the day. This aspect missed the bus in Stan Swamy&#39;s thoughts and irrationality became a fodder for his pronouncements. In this hatred filled environment where social disorder is needed by several political groups. I grieve for a human life who could have painted his world in wisdom. I condemn the heinous man whose wisdom lay in spreading hatred.",2021-07-06T01:22:48Z,0.122,0.231,0.647,-0.9485
Inhumane act.  Ashamed as an Indian.,2021-07-06T02:03:07Z,0.0,0.383,0.617,-0.4767
RajDICK DALALDESAI ak dalal hai<br>Aur india today is fake news today,2021-07-06T02:14:01Z,0.0,0.237,0.763,-0.4767
RIP - Stan Swamy. Yet  other good-for- nothing criminal politicians are walking free ... Disgraceful BJP!!,2021-07-06T02:21:21Z,0.339,0.0,0.661,0.7691
"RIP fr,swamy😭",2021-07-06T02:23:00Z,0.0,0.0,1.0,0.0
Why did Stan Swamy wage war against India?,2021-07-06T02:24:10Z,0.0,0.358,0.642,-0.5994
He is not dead...He lives as long as Adivasi Converters live who convert people for Rice Bags.<br>He lives as long as Anti-national Activities try to destroy the nation.<br>He lives as long as Leftists create Caste Divide and Divide Hindus.,2021-07-06T02:26:29Z,0.049,0.082,0.869,-0.34
Rajdeep in own show doesnot allow panelist to speak and in NETANAGRI (Lallantop) he wants to speak and doesnot listen to anchor.,2021-07-06T02:34:03Z,0.083,0.0,0.917,0.2263
"The Politicians, police esp NIA and the courts killed him. PERIOD.",2021-07-06T03:01:40Z,0.0,0.31,0.69,-0.6705
"State,godi media and judiciary all are hand&#39;s in glove in denying justice and taking a citizen life.",2021-07-06T03:07:46Z,0.172,0.121,0.707,0.25
India died yesterday.,2021-07-06T03:14:26Z,0.0,0.643,0.357,-0.5574
"Holy Jesus ,thank you for  forgiving the evil hearts..",2021-07-06T03:15:21Z,0.342,0.278,0.38,0.0
Today Fr.stan.Who will they kill tomorrow?,2021-07-06T03:26:40Z,0.0,0.485,0.515,-0.6908
He was Naxal supporter,2021-07-06T03:27:07Z,0.412,0.0,0.588,0.2732
He created social unrest,2021-07-06T03:31:27Z,0.4,0.0,0.6,0.25
