,Reply,sentiment
0,"['educate', 'rich', 'indian', 'want', 'settle', 'america', 'canada', 'australia', 'european', 'country']",0.5994
1,"['surely', 'train', 'tribals', 'take', 'arm', 'sure', 'please', 'tell', 'u', 'connect', 'elghar', 'parishad', 'plot', 'kill', 'pm']",0.2023
2,"['christianwe', 'become', 'christ', 'like']",0.3612
3,"['mathias', 'dear', 'mathias', 'carbon', 'copy', 'u', 'believe', 'god', 'create', 'christ', 'need', 'create', 'mathias', 'thats', 'fine', 'nature', 'cheer', 'fellow']",0.9001
4,"['truth', 'seeker', 'important', 'point', 'everything', 'god', 'need', 'cheer', 'live', 'water', 'give', 'christ']",0.8176
5,"['accord', 'bring', 'case', 'trial', 'achieve', 'keep', 'jail', 'neither', 'bail', 'trial', 'except', 'bad', 'publicity', 'international', 'press']",-0.5423
6,"['think', 'leave', 'india']",-0.0516
7,"['frstan', 'real', 'hero', 'adivasi', 'always', 'remember', 'among', 'adivasi']",0.5574
8,"['live', 'saint', 'also', 'dead', 'rice', 'bag', 'confuse']",-0.7351
9,"['convertionconvertionis', 'main', 'aim', 'police', 'officer', 'good', 'record', 'indian', 'bear', 'community', 'tolerate', 'loose', 'talk', 'crook', 'anchor', 'unless', 'indian', 'bear', 'community', 'wake', 'criminal', 'pretend', 'innocent', 'saradesai', 'mischief', 'republic', 'day', 'show', 'anti', 'national', 'color']",-0.6808
10,"['u', 'guy', 'two', 'innocent', 'saint', 'lynch', 'phalgarconversions', 'anti', 'national', 'activity', 'state', 'tolerate']",0.0258
11,"['remember', 'dispensation', 'control', 'vatican', 'journalist', 'like', 'guy', 'merit', 'congress', 'agent', 'bark', 'modiji', 'whenever', 'get', 'chance', 'make', 'difference']",0.743
12,"['gobar', 'bhakt', 'allegation', 'prove', 'fight', 'right', 'exploit', 'vulnerable', 'section', 'society', 'never', 'bow', 'greedy', 'corporates', 'govt', 'hero']",0.1685
13,"['foolwe', 'support', 'truehes', 'chowkidar']",0.4019
14,"['right', 'think', 'people', 'know', 'recognise', 'truth', 'mr', 'pant', 'comment', 'hold', 'value']",0.5719
15,"['india', 'today', 'leave', 'lobby', 'call', 'human', 'right', 'activist', 'sadhu', 'lynch', 'palghar', 'human', 'be']",-0.0258
16,"['feel', 'get', 'lose']",-0.4019
17,"['death', 'murder']",-0.8625
18,"['manmath', 'singhdeo']",0.0
19,['humanity'],0.0
20,"['manmath', 'singhdeo', 'say', 'slave']",0.0
21,"['death', 'murder']",-0.8625
