,Comment,sentiment
0,"['merciless', 'government']",0.0
1,"['whine', 'lolwhite', 'supremacy', 'fascist', 'meltdown', 'achha', 'laga']",-0.7096
2,"['whole', 'bunch', 'anti', 'national', 'ndtv', 'fund', 'chinese', 'boycott', 'ndtv']",-0.5574
3,"['yep', 'murder', 'nia']",-0.5423
4,"['satan', 'chavani']",0.0
5,"['proud', 'sr', 'ravish', 'kumar', 'god', 'bless']",0.7906
6,"['quot', 'quot']",0.0
7,"['even', 'highcourt', 'say', 'fr', 'louduswamy', 'great', 'man']",0.6249
8,"['rest', 'peace', 'father']",0.5423
9,"['uppar', 'wala', 'sab', 'dekh', 'raha', 'haisab', 'ka', 'hisab', 'hoga', 'believe', 'christ']",0.0
10,"['nia', 'dalla', 'hai', 'government', 'ka']",0.0
11,"['stan', 'swami']",0.0
12,"['shame', 'father', 'stan']",-0.4767
13,"['lodu', 'swamy', 'nexelite', 'hehehe']",0.0
14,"['naxal', 'die']",-0.5994
15,"['comunist', 'secular', 'aur', 'kya', 'kehtey', 'h', 'vo', 'haye', 'allah', 'naxal', 'sadana', 'ki', 'maut', 'pr', 'hasney', 'wala', 'bchodi', 'kar', 'ra', 'h', 'aaj']",0.0
16,"['nia', 'hold', 'responsible', 'year', 'innocent', 'people', 'hold', 'jail', 'newspaper', 'publish', 'news', 'innocence', 'like', 'publish', 'people', 'arrest', 'indian', 'jail', 'provide', 'many', 'service', 'bomb', 'blast', 'accuse', 'provide', 'mere', 'sipper', 'activist', 'whose', 'crime', 'even', 'prove']",-0.2732
17,"['country', 'need', 'people', 'like', 'fr', 'stan', 'god', 'almighty', 'heaven', 'know']",0.7845
18,"['murder', 'please', 'take', 'action', 'modi', 'especially', 'bjp']",-0.5267
19,"['dukhad', 'khabar', 'hai']",0.0
20,"['wow', 'maoist', 'charge', 'throw', 'democracy', 'even', 'hc', 'refuse', 'bail', 'marytr', 'people', 'india', 'army', 'chief', 'call', 'quotsadak', 'ka', 'gundaquot', 'maoist', 'portray', 'quotactivistquot']",0.3818
