,Reply,sentiment
0,"['year', 'old', 'manand', 'accuse', 'overthrow', 'democracy', 'government', 'army', 'control', 'afraid', 'old', 'man', 'itni', 'darthi', 'hain', 'hamari', 'inch', 'ka', 'government', 'ek', 'year', 'ki', 'aadmi', 'se', 'hipocrisy', 'ki', 'bhi', 'seema', 'hoti', 'hain']",-0.13333333333333333
1,"['andhabhakts', 'digest', 'truth', 'plz', 'forgive']",0.0
2,"['amen', 'bd']",0.0
3,['amen'],0.0
4,"['free', 'go', 'help', 'poor', 'voice', 'justice', 'friend']",0.0
5,"['free', 'go', 'help', 'poor', 'voice', 'justice']",0.0
6,"['fr', 'stan', 'need', 'justice', 'poor', 'voice']",-0.4
7,['yes'],0.0
8,"['u', 'wan', 'na', 'help', 'help', 'dont', 'try', 'fking', 'convert', 'people', 'u', 'want', 'convert', 'try', 'stop', 'u', 'achieve', 'fate', 'like', 'godhra', 'muslim', 'peace']",-0.2
9,"['walk', 'corpse', 'ur', 'usage', 'abusive', 'language', 'show', 'ur', 'culture', 'seem', 'respectful', 'othersso', 'learn', 'respectful', 'others', 'behave', 'like', 'social', 'human', 'start', 'comment', 'different', 'platform']",0.2066666666666667
10,"['walk', 'corpse', 'even', 'though', 'case', 'forceful', 'conversionsstill', 'u', 'accuse', 'sameso', 'one', 'shud', 'need', 'religion', 'preach', 'everyonehindus', 'muslim', 'christian', 'etc']",0.0
11,['r'],0.0
12,"['megalomaniac', 'run', 'country', 'please', 'expect', 'anything', 'better']",0.5
13,"['carry', 'work', 'celebrate', 'life', 'mould', 'love', 'god', 'humanity', 'victimhood', 'part', 'equation', 'sainthood', 'ultimate', 'quest', 'say', 'quotthe', 'one', 'save', 'life', 'shall', 'lose', 'one', 'lose', 'life', 'sake', 'shall', 'find', 'itquot', 'thank', 'concern', 'would', 'country', 'people']",0.25
14,"['check', 'talk', 'jrkhand', 'cm']",0.0
15,['right'],0.2857142857142857
16,['humanity'],0.0
17,"['murder', 'state']",0.0
18,"['tami', 'nadu', 'fight', 'right', 'adivasisplease', 'read', 'authentic', 'news', 'godi']",0.39285714285714285
19,"['come', 'back', 'power', 'murderer', 'damn', 'bottom', 'pit', 'hell', 'scorch', 'hot', 'oil', 'eternity']",0.125
20,"['rakesh', 'tikait', 'next', 'pm']",0.0
21,"['rest', 'eternal', 'peace', 'alleluiaamen']",0.0
22,"['roseline', 'mathias', 'amen']",0.0
23,"['u', 'vote', 'congress']",0.0
24,"['shashank', 'srivastava', 'gentlewoman', 'well', 'know', 'vote', 'even', 'know', 'worth', 'single', 'vote', 'u', 'r', 'suppose', 'direct', 'pathetic']",-0.16785714285714287
25,"['love', 'india', 'u', 'r', 'fake']",0.0
26,"['shashank', 'srivastava', 'need', 'showcase', 'identity', 'prove', 'u', 'r', 'free', 'think', 'read', 'article', 'constt']",0.4
27,"['love', 'india', 'know', 'court', 'quotgovt', 'handquotby', 'logic', 'court', 'give', 'verdict', 'govt', 'favour', 'one', 'also', 'say', 'court', 'hand', 'congress']",0.5
28,"['court', 'give', 'verdict', 'favour', 'court', 'sell', 'neutral', 'lol']",0.8
29,"['think', 'state', 'jurisdiction', 'prisoner', 'book', 'central', 'agency', 'despite', 'disease', 'fr', 'stan', 'wait', 'straw', 'sipper', 'day', 'jail']",-0.05
30,"['need', 'hang', 'police', 'nia', 'frame', 'false', 'charge', 'without', 'prove', 'able', 'prove', 'court', 'officer', 'involve', 'shall', 'hang', 'destroy', 'life', 'innocent', 'people']",0.09999999999999998
