,Reply,Published,sentiment
1056,"['gullible', 'indian', 'elect', 'govt']",2021-07-05T17:46:23Z,-0.3612
1097,['haha'],2021-07-05T17:52:55Z,0.4588
1096,['true'],2021-07-05T17:58:53Z,0.4215
1071,"['mohan', 'bhagwat', 'try', 'lure', 'muslim']",2021-07-05T18:00:45Z,0.0
1086,"['yes', 'time', 'unite', 'fight', 'authoritarian', 'regime']",2021-07-05T18:00:49Z,0.0258
1079,"['mean', 'biryani', 'lie', 'jailer', 'say']",2021-07-05T18:01:27Z,0.0
1084,"['someone', 'government', 'reason', 'silence']",2021-07-05T18:02:40Z,0.0
1044,"['hai', 'koi', 'unn', 'par', 'flim', 'bana', 'sake']",2021-07-05T18:04:50Z,0.0
1072,"['wo', 'scientist', 'hai', 'kya', 'waise', 'dna', 'ki', 'baat', 'honi', 'chahiyeeurasian', 'aryan', 'invader', 'ka', 'dna', 'pata', 'chalna', 'chahiye']",2021-07-05T18:20:42Z,0.0
1073,"['mohan', 'bhagwat', 'ne', 'kaha', 'lynch', 'karne', 'wala', 'hindu', 'nehi', 'ho', 'sakta', 'stan', 'swami', 'se', 'ye', 'suluk', 'karne', 'wala', 'kaun', 'ho', 'sakta', 'hai', 'kuch', 'keh', 'sakte', 'hai']",2021-07-05T18:31:32Z,0.0
1055,"['well', 'write']",2021-07-05T18:42:50Z,0.2732
1087,"['yes', 'right']",2021-07-05T18:55:14Z,0.4019
1074,"['lomdi', 'kab', 'sai', 'sidhi', 'ho', 'gai', 'jab', 'uski', 'jaan', 'atki', 'tab', 'na', 'u', 'p', 'mai', 'election', 'hai', 'na', 'abi', 'hum', 'sab', 'bhai', 'bhai', 'hai', 'baad', 'mai', 'hindu', 'khatrai', 'mai', 'hai', 'hihiii']",2021-07-05T19:01:54Z,0.0
1054,"['aur', 'karo', 'modi', 'modi']",2021-07-05T19:04:07Z,0.0
964,"['lol', 'puncturewalas', 'love', 'isi']",2021-07-05T19:07:25Z,0.7906
993,"['chup', 'chamche']",2021-07-05T19:07:50Z,0.0
535,"['ub', 'singh', 'tum', 'nahi', 'samjhoge', 'commie']",2021-07-05T19:13:17Z,0.0
644,"['man', 'run', 'country', 'reason', 'sleep', 'well']",2021-07-05T19:13:18Z,0.2732
536,"['mid', 'age', 'crisis', 'crisis', 'mid', 'age', 'crisis']",2021-07-05T19:18:05Z,-0.9231
1080,"['help', 'bjp', 'come', 'power', 'help', 'make', 'polarization']",2021-07-05T19:21:02Z,0.6597
1075,"['bjp', 'shed', 'blood', 'compare', 'dna', 'stupid', 'able', 'tell']",2021-07-05T19:23:36Z,-0.5267
537,"['ub', 'singh']",2021-07-05T19:30:34Z,0.0
501,"['understand', 'geopolitics', 'one', 'western', 'country', 'u', 'interest', 'complication', 'drag', 'india', 'court', 'want', 'keep', 'india', 'happy', 'use', 'china']",2021-07-05T19:31:09Z,0.7269
505,"['even', 'america', 'democracy', 'lol', 'read', 'american', 'deep', 'state']",2021-07-05T19:32:37Z,0.4215
506,['thank'],2021-07-05T19:33:49Z,0.3612
