,Comment,Time,sentiment
1477,"['big', 'fan', 'ravish', 'kumar', 'sir']",2021-07-05T17:32:25Z,0.3182
1476,"['subscriber', 'lag', 'dhire', 'dhire', 'samjh', 'rahy', 'hai', 'asli', 'news', 'kaha', 'milta', 'hai']",2021-07-05T17:33:07Z,-0.34
1475,"['hamare', 'desh', 'ko', 'aapke', 'jaise', 'logon', 'ki', 'jarurat', 'hai']",2021-07-05T17:33:35Z,0.0
1474,"['father', 'stan', 'swamy']",2021-07-05T17:34:11Z,0.0
1473,"['rip', 'father', 'satin', 'swami']",2021-07-05T17:36:54Z,0.0
1472,"['high', 'time', 'fight', 'authoritarian', 'regime']",2021-07-05T17:36:59Z,-0.3818
1471,"['sir', 'let', 'light', 'india', 'wish', 'hour']",2021-07-05T17:38:09Z,0.4019
1470,"['remember', 'statement', 'journalist', 'bhuran', 'wani', 'poor', 'math', 'teacher', 'son']",2021-07-05T17:39:10Z,-0.4767
1469,"['even', 'kasab', 'give', 'want', 'prison', 'give', 'royal', 'treatment']",2021-07-05T17:40:45Z,-0.4588
1468,"['mohan', 'bhagwat', 'say', 'hindu', 'amp', 'muslim', 'dnacan', 'guess', 'se', 'speak', 'wordsbeware', 'election']",2021-07-05T17:42:01Z,0.0
1467,"['ravish', 'sir', 'ji', 'desh', 'mein', 'rashtra', 'pita', 'mahatma', 'gandhi', 'ji', 'ko', 'hathiya', 'karne', 'wale', 'ko', 'puja', 'karte', 'hain', 'desh', 'mein', 'system', 'aur', 'nyaypalika', 'karekal', 'pura', 'ho', 'jaane', 'per', 'rajya', 'sabha', 'member', 'ban', 'jaati', 'hai', 'aur', 'jitne', 'bhi', 'crime', 'karne', 'se', 'parliament', 'sansad', 'ban', 'jaate', 'hain', 'desh', 'main', 'aasani', 'se', 'nyaay', 'mil', 'jaani', 'mushkil', 'hai']",2021-07-05T17:43:03Z,-0.9337
1466,"['salute', 'stan', 'swamy', 'salute', 'govt', 'inhumanity']",2021-07-05T17:43:46Z,0.0
1465,"['thank', 'sir']",2021-07-05T17:44:43Z,0.3612
1464,"['extremely', 'sadwhat', 'end', 'jesuit', 'priest', 'year', 'old', 'father', 'extremely', 'sad', 'painful', 'end', 'rip', 'better', 'place', 'evil', 'men', 'life', 'good', 'often', 'inter', 'bone', 'dust', 'thou', 'art', 'dust', 'thou', 'internestwe', 'hold', 'court', 'awe', 'forget', 'everybody', 'raaja', 'rank', 'aur', 'fakir', 'face', 'court', 'god', 'almighty', 'stan', 'case', 'decide', 'sure', 'court', 'stan', 'swamy', 'allow', 'sipper']",2021-07-05T17:44:44Z,-0.4159
1463,"['sir', 'plz', 'petrol', 'price', 'wapas', 'congress', 'time', 'wala', 'karwa', 'per', 'litre', 'hamko', 'aur', 'kuch', 'nahi', 'chaiye', 'jeena', 'mushkil', 'ho', 'gaya', 'hai', 'save', 'finish', 'ho', 'chuka', 'hai', 'job', 'karna', 'nearly', 'imppssible', 'hogaya', 'hai', 'wage', 'badh', 'nahi', 'rahe', 'job', 'nahi', 'hai', 'janta', 'ki', 'halat', 'samjo', 'hamko', 'neta', 'suspend', 'hua', 'corruption', 'charge', 'politics', 'hindu', 'muslim', 'se', 'kuch', 'nahi', 'lena', 'dena', 'hamko', 'raat', 'ki', 'roti', 'affordable', 'karke', 'woh', 'bhi', 'abhi', 'naa', 'sitaraman', 'ki', 'loan', 'chaiye', 'na', 'scheme', 'report', 'janta', 'se', 'judi', 'banao']",2021-07-05T17:50:44Z,0.296
1462,"['zaalim', 'hukumat']",2021-07-05T17:52:00Z,0.0
1461,"['salam', 'hai', 'sir', 'aapko']",2021-07-05T17:53:41Z,0.0
1460,"['begunah', 'bekasur', 'logo', 'ki', 'siskiya', 'bekar', 'nahi', 'jati', 'heallah', 'ki', 'lathi', 'der', 'per', 'andher', 'nahi']",2021-07-05T17:53:54Z,0.0
1459,"['sad', 'cout', 'humanity', 'quick', 'relief', 'system', 'nd', 'judiciary', 'ought', 'revoke']",2021-07-05T17:53:58Z,0.0
1458,"['imdad', 'khan']",2021-07-05T17:54:48Z,0.0
1457,"['let', 'u', 'hang', 'head', 'shame']",2021-07-05T17:54:52Z,-0.4767
1456,"['shame', 'u']",2021-07-05T17:55:14Z,-0.4767
1455,"['yaha', 'saal', 'tak', 'jail', 'mai', 'rehna', 'padabinaa', 'kisi', 'saboot', 'k']",2021-07-05T17:56:33Z,0.0
1454,"['modi', 'ko', 'keedey', 'padengey']",2021-07-05T17:56:40Z,0.0
1453,"['sabhi', 'sanssthaye', 'gulaam', 'haiinsaniyat', 'mar', 'gayidushtraaj', 'hai']",2021-07-05T17:57:59Z,0.0
1452,"['good', 'sir']",2021-07-05T17:58:46Z,0.4404
1451,"['respect', 'u', 'sir']",2021-07-05T17:59:35Z,0.4767
1450,"['justice', 'delay', 'justice', 'deny', 'rip', 'fr', 'stan', 'good', 'child', 'god', 'humanitarian', 'good', 'servant', 'ambassador', 'christ', 'fascist', 'regime', 'coward', 'abuse', 'power', 'position', 'ensure', 'good', 'humanitarian', 'year', 'old', 'priest', 'care', 'fight', 'social', 'justice', 'empower', 'tribals', 'deprive', 'deny', 'dignity', 'right', 'jail', 'kill', 'fr', 'stan', 'swamy', 'fight', 'uphold', 'human', 'right', 'fight', 'sipper', 'many', 'innocent', 'languish', 'jail', 'deny', 'justice', 'god', 'arise', 'save', 'india']",2021-07-05T18:00:01Z,0.5719
