Comment,Time,positive,negative,neutral,compound
Big fan ravish Kumar sir,2021-07-05T17:32:25Z,0.365,0.0,0.635,0.3182
12 M subscriber ... <br>Lag dhire dhire samjh rahy hai .. asli news kaha or milta hai 💞👍,2021-07-05T17:33:07Z,0.0,0.0,1.0,0.0
Hamare Desh ko aapke jaise logon ki jarurat hai,2021-07-05T17:33:35Z,0.0,0.0,1.0,0.0
Father Stan Swamy 😓,2021-07-05T17:34:11Z,0.0,0.0,1.0,0.0
RIP Father Satin Swami 💐,2021-07-05T17:36:54Z,0.0,0.0,1.0,0.0
It&#39;s high time we fight against this authoritarian regime,2021-07-05T17:36:59Z,0.0,0.245,0.755,-0.3818
संस्थाएं अब बची कहां है?? वह तो सरकार की गुलाम हो गई है ! क्योंकि एक सल्तनत के राजा ने अपने पिठ्ठुओं को बैठा रखा है।,2021-07-05T17:37:51Z,0.0,0.0,1.0,0.0
"Sir,  let there be light in India is the only wish at this hour...",2021-07-05T17:38:09Z,0.172,0.0,0.828,0.4019
🌹💐,2021-07-05T17:38:23Z,0.0,0.0,1.0,0.0
Why am I remembering the statement by a journalist Bhuran wani was a poor math teacher s son 🤔,2021-07-05T17:39:10Z,0.0,0.193,0.807,-0.4767
Even kasab was given what he wanted in prison and was given Royal treatment,2021-07-05T17:40:45Z,0.0,0.202,0.798,-0.5106
"Mohan Bhagwat said, Hindu &amp; Muslim have the same DNA<br>Can you guess why se spoke such words??<br>Beware in 2022 elections",2021-07-05T17:42:01Z,0.0,0.0,1.0,0.0
Ravish sir jis Desh mein rashtra pita Mahatma Gandhi Ji ko hathiya karne Wale ko Puja karte Hain is Desh mein system aur nyaypalika Karekal pura Ho jaane per rajya sabha member ban jaati hai aur jitne bhi crime karne se parliament sansad ban jaate Hain is Desh main aasani se nyaay mil jaani mushkil hai 🤐🤐🙏🙏,2021-07-05T17:43:03Z,0.0,0.21,0.79,-0.9337
Salute to Stan Swamy ! And salute to govt for their inhumanity 🤨,2021-07-05T17:43:46Z,0.0,0.0,1.0,0.0
Thank you Sir,2021-07-05T17:44:43Z,0.556,0.0,0.444,0.3612
"Extremely sad.What an end to a Jesuit Priest who was 84 years old. Father had an extremely sad and painful end. RIP, you are in a better place now. The evil that men do, lives after them, the good is often interred with their bones. To dust thou art, to dust thou, internest.We hold our Courts in awe. What we forget is, everybody, Raaja, Rank aur Fakir have to face the court of the God Almighty. That is where Stan Swamy&#39;s case will be decided now. I am sure that in the almighty&#39;s court, Stan Swamy will be allowed a Sipper",2021-07-05T17:44:44Z,0.091,0.115,0.794,-0.5657
Sir plz petrol price wapas congress time wala  70-75 karwa  do per litre hamko aur kuch nahi chaiye jeena mushkil ho gaya hai savings finish ho chuka hai job karna nearly imppssible hogaya hai  wages badh nahi rahe jobs nahi hai janta ki halat samjo hamko neta suspend hua corruption charges politics hindu and muslims se kuch nahi lena dena hamko raat ki roti affordable karke do woh bhi abhi naa sitaraman ki loan chaiye na schemes  reporting janta se judi banao,2021-07-05T17:50:44Z,0.015,0.052,0.933,-0.4767
😥,2021-07-05T17:51:45Z,0.0,0.0,0.0,0.0
Zaalim hukumat,2021-07-05T17:52:00Z,0.0,0.0,1.0,0.0
Salam hai sir aapko,2021-07-05T17:53:41Z,0.0,0.0,1.0,0.0
Begunah or bekasur logo ki siskiya bekar nahi jati he.allah ki lathi me der he per andher nahi he.,2021-07-05T17:53:54Z,0.0,0.0,1.0,0.0
so sad when cout has no humanity and quick relief such system nd judiciary ought to revoked,2021-07-05T17:53:58Z,0.137,0.246,0.617,-0.3597
Imdad  khan,2021-07-05T17:54:48Z,0.0,0.0,1.0,0.0
Let us hang our heads in shame!,2021-07-05T17:54:52Z,0.0,0.361,0.639,-0.5255
Shame us,2021-07-05T17:55:14Z,0.0,0.756,0.244,-0.4767
Yaha 11 saal Tak jail Mai rehna pada<br>Binaa kisi saboot k,2021-07-05T17:56:33Z,0.0,0.0,1.0,0.0
Modi ko keedey padengey,2021-07-05T17:56:40Z,0.0,0.0,1.0,0.0
Sabhi sanssthaye gulaam hai....insaniyat mar gayi...dushtraaj hai,2021-07-05T17:57:59Z,0.0,0.0,1.0,0.0
Good sir 🙏🙏🙏,2021-07-05T17:58:46Z,0.592,0.0,0.408,0.4404
Respect u sir.,2021-07-05T17:59:35Z,0.756,0.0,0.244,0.4767
Justice Delayed is Justice Denied <br>RIP Fr Stan A Good Child of God A Humanitarian A Good Servant And Ambassador of Christ ....🙏🙏🙌🙌😭😭🙏<br>The Fascist Regime Cowards Abused their Power of Position and ensured a Good Humanitarian 84 Year old Priest who cared to fight for Social justice <br>Empowered the tribals who were deprived and Denied Dignity and Rights <br>WAS JAILED AND KILLED <br>Fr Stan Swamy who fought to uphold Human Rights had to fight for a Sipper 😭😭😭😭<br>There are many Innocent languishing in  Jail .......Denied Justice ....<br>GOD ARISE AND SAVE INDIA,2021-07-05T18:00:01Z,0.271,0.257,0.472,0.2185
ओम शांति💐💐,2021-07-05T18:00:58Z,0.0,0.0,1.0,0.0
11.07 wow Mashallah....,2021-07-05T18:01:15Z,0.655,0.0,0.345,0.5859
Dr Anand Teltumbe&#39;s crime is that he is married to Babasaheb Ambedkar&#39;s granddaughter.,2021-07-05T18:01:27Z,0.0,0.226,0.774,-0.5423
Judiciary ne bhi apna naam roshan kar liya hai ....ek 85 saal ke budhe se itna darr gaya...mahaan Bharat.,2021-07-05T18:02:03Z,0.0,0.0,1.0,0.0
People Booked on a a Law Sec 66  that Has been Scrapped ....<br>It happens only in India <br>Thank God the SC Woke up,2021-07-05T18:02:23Z,0.095,0.0,0.905,0.2732
RIP stan swami,2021-07-05T18:03:12Z,0.0,0.0,1.0,0.0
RIP🙏🙏🙏🙏🙏❤️  We should same on us.,2021-07-05T18:03:56Z,0.0,0.0,1.0,0.0
Sir aap ko no milega m aap ky satth kaam karna chahta hu  sir  mere hindi bahut achi h  aap mera mobail no le sakte ho mujjako paisha nhi chahiye,2021-07-05T18:03:57Z,0.0,0.145,0.855,-0.5267
my prayer with Father. India lost son of India and voice of poor.,2021-07-05T18:04:12Z,0.0,0.329,0.671,-0.6597
HIS HOLY SOUL MAY REST IN PEACE 🙏,2021-07-05T18:04:45Z,0.368,0.0,0.632,0.5423
Moral bankruptcy..,2021-07-05T18:06:23Z,0.0,0.0,1.0,0.0
Modi is unconstitutional PM by EVM settings from 2014<br>मोदी एक असंविधनिक प्रधान मंत्री हैं जो EVM settings से सत्ता चोरी किया उसका इमेज का प्रचार दलाल मीडिया aur RSS ne kiya 2014 से,2021-07-05T18:09:49Z,0.0,0.0,1.0,0.0
"For the people , by the people",2021-07-05T18:09:53Z,0.0,0.0,1.0,0.0
With all this media talking after his dead nobody could do anything while he was alive so sad to hear all this news this our govt to be blame bcos he could have help him bcos he was doing good for the poor without looking at the communities this is what the priest gets in return god be mercy full to him the court refuse to give him a straw this is inhuman god will never forgive this animals will the judge do this to his parents if they Parkinson would refuse a straw ?,2021-07-05T18:10:27Z,0.131,0.176,0.694,-0.7274
Modi and amit shaha both are responsible for his death. Now God will show his mighty power against you. Wait and see soon,2021-07-05T18:10:32Z,0.155,0.138,0.707,-0.128
SHAME SHAMELESS,2021-07-05T18:10:34Z,0.0,1.0,0.0,-0.6705
Hamare nayay palika etana kamjor <br>Ho chuki hai ki gunda Sarkar Chala Rahe hai aur Jo samjik log hai unhe <br>Jel bhej Diya ja Raha hai dhire dhire<br>Logo ko nayay palika se biswas uth<br>Raha hai,2021-07-05T18:12:19Z,0.0,0.0,1.0,0.0
😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭,2021-07-05T18:13:38Z,0.0,0.0,1.0,0.0
☝️IT&#39;S COLD BLOODED MURDER BY MODI AND GANG 😡<br>RIP Fr. Stan Swamy 🙏,2021-07-05T18:14:36Z,0.0,0.331,0.669,-0.7531
उनका तो निधन हो गया ...लेकिन जो दाग हम लोंगो पर लगा है वो 130 करोड़ के आंसुओं से भी नहीं धोया जा सकता...😢😢😢,2021-07-05T18:15:04Z,0.0,0.0,1.0,0.0
How shameful..... but.....kuchh nahin hone wala.....,2021-07-05T18:15:44Z,0.0,0.0,1.0,0.0
84yers old sten swami.... dukhd... rip sawami.,2021-07-05T18:16:53Z,0.0,0.0,1.0,0.0
धन्य है मेरा देश....😢😢😢,2021-07-05T18:18:17Z,0.0,0.0,1.0,0.0
Salam hai sir aapko,2021-07-05T18:18:25Z,0.0,0.0,1.0,0.0
I can understand your feelings Ravish ji....,2021-07-05T18:18:48Z,0.0,0.0,1.0,0.0
Yahi atyachaar nirdosh logo ko gunhagaar banata hai....aatanki paida nahi hote is tarh ka anyaay  hi sachhe seedhe logo ko aatank ki rah par le jata hai😔,2021-07-05T18:19:16Z,0.0,0.0,1.0,0.0
Sar is sarkar ke din pure Ho Gaye,2021-07-05T18:20:04Z,0.0,0.0,1.0,0.0
Ye dislike krne wale konsi जीव hai koi batayega 😂,2021-07-05T18:20:30Z,0.0,0.245,0.755,-0.3818
💔💔💔 feeling so weak..,2021-07-05T18:20:49Z,0.333,0.0,0.667,0.128
😭😭😭,2021-07-05T18:22:07Z,0.0,0.0,1.0,0.0
Good report 👍,2021-07-05T18:22:37Z,0.744,0.0,0.256,0.4404
U will be remembered father ❤️,2021-07-05T18:23:07Z,0.0,0.0,1.0,0.0
One day &#39;mouth ki vyapari log&#39; should stand in front of ultimate justice.,2021-07-05T18:23:12Z,0.221,0.0,0.779,0.5267
It&#39;s a judicial murder.,2021-07-05T18:23:24Z,0.0,0.701,0.299,-0.6908
INDIA IS MOST CRUEL COUNTRY IN THE WORLD.    WORST THAN NAZIS  .  JUDICIARY   IS ALSO CORRUPT  !!,2021-07-05T18:24:10Z,0.0,0.439,0.561,-0.9182
Ye hamara Desh hai.<br>Aur ye hamare Courts ka system hai..!,2021-07-05T18:25:19Z,0.0,0.0,1.0,0.0
&quot;Do you get my point&quot;👍👍👍,2021-07-05T18:25:22Z,0.0,0.0,1.0,0.0
What better can we expect from a fascist RSS-BJP Hindutva regime where the judiciary is complicit,2021-07-05T18:26:00Z,0.149,0.185,0.667,-0.1779
FEKUUUUUU BESHARAM HATAO DESH BACHAO,2021-07-05T18:26:16Z,0.0,0.0,1.0,0.0
विश्वगुरु?<br>या<br>विश्व कायर?<br>आतंकवादी मसूद अजहर को भाजपा की सरकार जैल से छोड़ देती है...क्या स्टेन स्वामी मसूद अजहर से भी बुरे थे?,2021-07-05T18:26:20Z,0.0,0.0,1.0,0.0
GODSEWADI LOGOAN ka RAZZ HAI..AB HeR GHANDIWADI LOGOAN ka KHOON ho raha hai aur hoga SHAME SHAME FEKUUUUUU BESHARAM.,2021-07-05T18:26:22Z,0.0,0.311,0.689,-0.8256
🐿️🐿️🌼🐿️🐿️ True,2021-07-05T18:26:29Z,0.737,0.0,0.263,0.4215
फादर स्टेन स्वामी की पुण्य स्मृति को नमन !,2021-07-05T18:27:27Z,0.0,0.0,1.0,0.0
Biggest democracy miscarriage 😡 caged parrots are flying high 😡,2021-07-05T18:28:46Z,0.0,0.0,1.0,0.0
Uss bache se jakar puchna ravish kumar jisne apne pita ko maoist ke hatho khoya hai junglo mein .,2021-07-05T18:31:10Z,0.0,0.167,0.833,-0.5267
One and only Ravish ji ..🙏🙏🙏🇮🇹,2021-07-05T18:31:33Z,0.0,0.0,1.0,0.0
"Shame on u Modi govt, You hav to pay it, definitely...",2021-07-05T18:31:54Z,0.0,0.36,0.64,-0.5423
Oho,2021-07-05T18:32:15Z,0.0,0.0,1.0,0.0
Father Stan Swami should called &quot;The Father of Aadivasi&quot;,2021-07-05T18:32:55Z,0.0,0.0,1.0,0.0
Literally crying listening to this news,2021-07-05T18:32:59Z,0.0,0.383,0.617,-0.4767
Justice is no more our country,2021-07-05T18:33:26Z,0.354,0.229,0.417,0.296
Rip 😭😭😭😭,2021-07-05T18:34:24Z,0.0,0.0,1.0,0.0
"रविश सर एक धूँआदार एपीसोड राफैल चोर पर भी कीजिए , अब तो फ्राँस में भी जाँच चल रही है",2021-07-05T18:34:29Z,0.0,0.0,1.0,0.0
Ravishji congratulations ndtv has 12 million viewers,2021-07-05T18:35:11Z,0.394,0.0,0.606,0.5994
भारत की न्याय ववस्थ पूरी तरह गोवेन्ट के अधीन है उनके अनुसार चलती है,2021-07-05T18:37:17Z,0.0,0.0,1.0,0.0
How can these murderers sleep at night.,2021-07-05T18:38:00Z,0.0,0.417,0.583,-0.6486
What about violence of WB why don&#39;t you discuss totally lawlessness horrible situation in bengal shameful kitna udar patrakar,2021-07-05T18:38:07Z,0.0,0.409,0.591,-0.9017
"This is being done by our respected PM and HM and BJP, and real culprit, we r, who have made them what they r. We r sorry swamy... Will do all possible to repent.",2021-07-05T18:38:10Z,0.088,0.037,0.876,0.4215
NRI wale frnd ko batayega ...... ❤️,2021-07-05T18:38:39Z,0.0,0.0,1.0,0.0
