Name,Comment,tone
king of cross,Rip fr stan swamy,"{'document_tone': {'tones': [{'score': 0.689855, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}}"
To Arise,India is great n its shining<br>Heartless dirty fellows n system killed an innocent man. May u RIP oh Fr. Stan Swamy.,"{'document_tone': {'tones': [{'score': 0.874805, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'India is great n its shining<br>Heartless dirty fellows n system killed an innocent man.', 'tones': [{'score': 0.544117, 'tone_id': 'joy', 'tone_name': 'Joy'}]}, {'sentence_id': 1, 'text': 'May u RIP oh Fr.', 'tones': [{'score': 0.633914, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.968123, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, {'sentence_id': 2, 'text': 'Stan Swamy.', 'tones': []}]}"
Well Wisher,"<a href=""https://www.youtube.com/watch?v=cReuBv2a-Lo&amp;t=1m21s"">1:21</a>...he requested for the need of a straw to drink water, and Court took 4 weeks to grant......and there are jail inmates who manage to get mobiles &amp; pistols to plot and execute murders while.sitting in jail.......woow, what a judiciary &amp; jail system !!",{'document_tone': {'tones': []}}
vishal avnoori,Rip 💔,"{'document_tone': {'tones': [{'score': 0.964831, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}}"
Pushpa,We need justice for Fr.stan&#39;s death.where is humanity.almost he is vey old and how these police people tortured him unethical?,"{'document_tone': {'tones': [{'score': 0.596687, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.85591, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'We need justice for Fr.stan&#39;s death.where is humanity.almost', 'tones': [{'score': 0.770233, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.716301, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, {'sentence_id': 1, 'text': 'he is vey old and how these police people tortured him unethical?', 'tones': []}]}"
adalantonyleo,I hate the hell bjp,"{'document_tone': {'tones': [{'score': 0.807288, 'tone_id': 'anger', 'tone_name': 'Anger'}]}}"
Sharon Nathalia dass,This news is bullshit <br>Father was burtally torched in the jail,"{'document_tone': {'tones': [{'score': 0.762187, 'tone_id': 'anger', 'tone_name': 'Anger'}]}}"
Bryant Ramos,🙏🙏🙏,"{'document_tone': {'tones': [{'score': 0.579715, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
ujwal's life,Ab khali bolke kya hoga tab koi nahi aaya unki madat ke liye Desai ne suddha kadhi ha prashna uchhala hota ka ata boltoy,{'document_tone': {'tones': []}}
Satya Satya,"This is not about Fr Stan Swamy or his death, this about lands acquired by rich corporations, Ambanis, taking over the country, the tribals had nothing no education , no food, they only depend on MOTHER NATURE, very sad. Lashwadeep is being destroyed by BJP government.","{'document_tone': {'tones': [{'score': 0.746865, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.879483, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'This is not about Fr Stan Swamy or his death, this about lands acquired by rich corporations, Ambanis, taking over the country, the tribals had nothing no education , no food, they only depend on MOTHER NATURE, very sad.', 'tones': [{'score': 0.79642, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.525007, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, {'sentence_id': 1, 'text': 'Lashwadeep is being destroyed by BJP government.', 'tones': [{'score': 0.564452, 'tone_id': 'anger', 'tone_name': 'Anger'}]}]}"
Artin shar,"More worried for the indigenous people and there children,who are looted and thrown away in cities ,to work as toilet cleaners in corporates ,Or do sewage work.<br>How can they cope up with this wicked educated world 😭😭😭","{'document_tone': {'tones': [{'score': 0.809556, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.724637, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'More worried for the indigenous people and there children,who are looted and thrown away in cities ,to work as toilet cleaners in corporates ,Or do sewage work.<br>How', 'tones': []}, {'sentence_id': 1, 'text': 'can they cope up with this wicked educated world 😭😭😭', 'tones': [{'score': 0.862136, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}]}"
Nalini Pinto,Those who are weak only can do such a thing. No capacity to say good for good,"{'document_tone': {'tones': [{'score': 0.648281, 'tone_id': 'joy', 'tone_name': 'Joy'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'Those who are weak only can do such a thing.', 'tones': [{'score': 0.565467, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}, {'sentence_id': 1, 'text': 'No capacity to say good for good', 'tones': [{'score': 0.839009, 'tone_id': 'joy', 'tone_name': 'Joy'}]}]}"
Nalini Pinto,Every good work repaid as evil will be given back in full. Every one has to give an account on earth as well as eternally.....,"{'document_tone': {'tones': [{'score': 0.553099, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.72969, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.986725, 'tone_id': 'confident', 'tone_name': 'Confident'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'Every good work repaid as evil will be given back in full.', 'tones': [{'score': 0.50757, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.80026, 'tone_id': 'confident', 'tone_name': 'Confident'}]}, {'sentence_id': 1, 'text': 'Every one has to give an account on earth as well as eternally.....', 'tones': [{'score': 0.8152, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.948292, 'tone_id': 'confident', 'tone_name': 'Confident'}]}]}"
Abraham JAMES,"Those who stand by people will be treated like this in our countryy, He requested one sipper bottle and the court took more than 30 days to give him, what a beautyfull system yarr",{'document_tone': {'tones': []}}
Sen sure fgc,Deeply pained .. the way this old man being killed / treated at his last days ..,"{'document_tone': {'tones': [{'score': 0.694331, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}}"
Martin Hansda,Bjp chutia hii,{'document_tone': {'tones': []}}
Atul Tripathi,vaise pehle vetican se pooch ker peta kero ki kya ek vyakti ek saath swaami aur father rehsekta hai kya......agar veh mana kerere to case ko bend ker do vestige to time and money of indian citizen.....religious fraudulent...nothing else...,{'document_tone': {'tones': []}}
Madhura Patil,All crocodile tears. If you cared so much why were you quiet during Palghar Sadhu. Only conversion money speaks.,"{'document_tone': {'tones': [{'score': 0.528965, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.937689, 'tone_id': 'confident', 'tone_name': 'Confident'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'All crocodile tears.', 'tones': [{'score': 0.749076, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.989586, 'tone_id': 'confident', 'tone_name': 'Confident'}]}, {'sentence_id': 1, 'text': 'If you cared so much why were you quiet during Palghar Sadhu.', 'tones': []}, {'sentence_id': 2, 'text': 'Only conversion money speaks.', 'tones': [{'score': 0.762356, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}]}"
