Name,Comment,tone
Susanta Mardi,Merciless government,{'document_tone': {'tones': []}}
Sachin,"Whine some more lol...white supremacy, fascist and what not... 😂😂😂 Meltdown achha laga 😭😭😭","{'document_tone': {'tones': [{'score': 0.77212, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.716301, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}}"
MD SEHAN,"৳.<br><br>?<br><br><br>.<br>,<br><br><br>..",{'document_tone': {'tones': []}}
MD SEHAN,৳৳৳,{'document_tone': {'tones': []}}
தர்மதாசன் Indian,Whole bunch of anti nationals are in NDTV funded by Chinese. Boycott NDTV.,"{'document_tone': {'tones': []}, 'sentences_tone': [{'sentence_id': 0, 'text': 'Whole bunch of anti nationals are in NDTV funded by Chinese.', 'tones': []}, {'sentence_id': 1, 'text': 'Boycott NDTV.', 'tones': []}]}"
Dr Ratan Kumar,एक अंधे कानून और अंध भक्तों की भेट चढ गयें बेकसूर स्वामी,{'document_tone': {'tones': []}}
sandeep roy,Yep murdered by nia,{'document_tone': {'tones': []}}
Lalchand Jhorar,Who was this Satan chavani?,{'document_tone': {'tones': []}}
Robert Sahotra,Proud of sr. Ravish kumar .... God bless you,"{'document_tone': {'tones': [{'score': 0.955569, 'tone_id': 'joy', 'tone_name': 'Joy'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'Proud of sr.', 'tones': [{'score': 0.933851, 'tone_id': 'joy', 'tone_name': 'Joy'}]}, {'sentence_id': 1, 'text': 'Ravish kumar .... God bless you', 'tones': [{'score': 0.890486, 'tone_id': 'joy', 'tone_name': 'Joy'}]}]}"
I love my India,हमारे समाज को ईसाई बनाने का काम करने वाले लोग क्या वास्तव में गांव के लोगो का विकास चाहते थे? केवल आदिवासी समाज के लोग को ही ईसाई बनाते है। दुसरे समाज को क्युं नहीं बनाते? सेकुलरिज्म के नाम पर सनातन वैदिक धर्म समाज को तोड़ने की कोशिश की गई है। जो &quot;जैसा कर्म करे वैसा फल पाये&quot; यही नीति का नियम है।<br>-फादर स्टेन की आत्मा को ईसा शांति दे 🌹,"{'document_tone': {'tones': []}, 'sentences_tone': [{'sentence_id': 0, 'text': 'हमारे समाज को ईसाई बनाने का काम करने वाले लोग क्या वास्तव में गांव के लोगो का विकास चाहते थे? केवल आदिवासी समाज के लोग को ही ईसाई बनाते है। दुसरे समाज को क्युं नहीं बनाते?', 'tones': []}, {'sentence_id': 1, 'text': 'सेकुलरिज्म के नाम पर सनातन वैदिक धर्म समाज को तोड़ने की कोशिश की गई है। जो &quot;जैसा कर्म करे वैसा फल पाये&quot; यही नीति का नियम है।<br>-फादर स्टेन की आत्मा को ईसा शांति दे 🌹', 'tones': []}]}"
