level,id,parent_id,object_id,object_type,object_key,query_status,query_time,query_type,message,created_time,like_count,comment_count,error.message
0,1,None,23230437118_629089798004200,seed,,,None,None,,,,,
1,2,1,23230437118_629089798004200,data,data.*,fetched (200),08:44.7,Facebook:/<post-id>/comments,"The country's love for SSR will never let  her get away with it, the way she deprived a father of his son, sisters of their doting brother, fans of their iconic idol. Hope justice prevails for our innocent inspiring icon.",2020-07-31T17:59:38+0000,89,0,
1,3,1,23230437118_629089798004200,data,data.*,fetched (200),08:44.7,Facebook:/<post-id>/comments,"Horrible actor. Drama queen and a gold digger. The truth shall definitely prevail. Just wait and watch, your karma is about to bite you back. I’ll surely be watching it while eating popcorn ??",2020-07-31T18:03:41+0000,32,0,
1,4,1,23230437118_629089798004200,data,data.*,fetched (200),08:44.7,Facebook:/<post-id>/comments,This clip might be nominating for best acting award!!!,2020-07-31T18:02:37+0000,23,0,
1,5,1,23230437118_629089798004200,data,data.*,fetched (200),08:44.7,Facebook:/<post-id>/comments,"So many things have been said about her from day one since Sushant's death ,that time why didn't she speak on her behalf now she says she wants to but she has been asked by her lawyer not to..?!..so it's quite contradicting..orelse she has nothing to say on her behalf and just buying time and waiting for her lawyer to give her s narrative script...",2020-07-31T19:51:09+0000,23,0,
1,6,1,23230437118_629089798004200,data,data.*,fetched (200),08:44.7,Facebook:/<post-id>/comments,"There might have been an affair, but it doesn't mean she is guilty. There might have been more than official relation , but it doesn't mean she is an influential. I believe justice will prevail. So, don't worry. One more thing, there are some crazy fans who don't consider logic and reality, therefore  you were victim of them. It's really unfortunate. Hope it will not happen again.",2020-07-31T18:08:27+0000,21,3,
1,7,1,23230437118_629089798004200,data,data.*,fetched (200),08:44.7,Facebook:/<post-id>/comments,Sushant servants were afraid of Rhea her brother and her accomplice were controlling sushant he put a happy face on the outside but inside he was hurting could not talk to no one knows lord knows what really happened is he suffered his ordeal gone too soon heaven has gained an angel,2020-08-01T14:07:03+0000,20,2,
1,8,1,23230437118_629089798004200,data,data.*,fetched (200),08:44.7,Facebook:/<post-id>/comments,Without fire there is no smoke!!! The truth will be prevailed for sure Ms. Drama!!,2020-07-31T18:44:34+0000,21,1,
1,9,1,23230437118_629089798004200,data,data.*,fetched (200),08:44.7,Facebook:/<post-id>/comments,"I must say she does wonderful acting. From where are you getting the money to pay your lawyer 10 lakhs/day madam!? Also the CA is not Sushant’s, his entire staff was changed by Rhea. Thirdly Sushant’s body guard has revealed the kind of medicine you used to give him. Why are you so scared that Bihar police has also got involved that your dying to transfer it to Mumbai police.. or is it your sugar daddy Bhatt’s ideas..  So tell your lawyer to give you some better advice rather than telling you to sob and take out a video to gain sympathy.",2020-07-31T17:49:31+0000,20,0,
1,10,1,23230437118_629089798004200,data,data.*,fetched (200),08:44.7,Facebook:/<post-id>/comments,Truth will be prevailed forsure and u will be behind the bars very soon..karma leaves none,2020-07-31T17:52:48+0000,16,0,
1,11,1,23230437118_629089798004200,data,data.*,fetched (200),08:44.7,Facebook:/<post-id>/comments,"Rhea, Why did you do this? Finish off such a young talented , self made man?? In connivance with your family, you planned his end for months!! Wait and watch ..the Nation won't rest until Sushant gets justice!!",2020-08-01T08:20:34+0000,17,5,
1,12,1,23230437118_629089798004200,data,data.*,fetched (200),08:44.7,Facebook:/<post-id>/comments,"??????If you have faith in God, just wait & watch.... Justice will be served ?????? to the one who deserves!!! I wish even Jia & Disha S & all anonymous people, who have been humiliated by shameless monsters like Rhea, get justice along with SSR!!!",2020-08-01T06:25:32+0000,16,4,
1,13,1,23230437118_629089798004200,data,data.*,fetched (200),08:44.7,Facebook:/<post-id>/comments,Pandemic is revealing some very horrible incidents to all of us so be vigilant & save lives.Blessings will surely follow through.??,2020-07-31T17:50:39+0000,9,2,
1,14,1,23230437118_629089798004200,data,data.*,fetched (200),08:44.7,Facebook:/<post-id>/comments,"Fantabulous performance Rhea.....keep it up. Where are all your make up gone, the Zara outfit and huk.....your hair looks very unhealthy.....not good Rhea ...comon you have all SSR' money ...... please have a makeover. Rhea there is a vast difference between someone who is really innocent and someone who pretends to be. Your a matured criminal you will very well understand what this nation as well world thinks ( infact the truth ) about you. All your tantrums will not work out anymore. Satyamev Vijaytey??",2020-08-02T02:40:24+0000,9,0,
1,15,1,23230437118_629089798004200,data,data.*,fetched (200),08:44.7,Facebook:/<post-id>/comments,Rhea you look so cheap I don't know what sushant sees in you one handsome talented young actor with a brilliant career you should have adored him but instead you took his life justice for sushant death please let his soul rest in peace,2020-08-01T16:55:11+0000,16,2,
1,16,1,23230437118_629089798004200,data,data.*,fetched (200),08:44.7,Facebook:/<post-id>/comments,U r finished! Ur career is finished! And justice finished !!! Nothing left return SSR s 15 cr to his father pack ur bags and go home to ur parents who deserve a daughter like U,2020-08-01T07:50:57+0000,7,0,
1,17,1,23230437118_629089798004200,data,data.*,fetched (200),08:44.7,Facebook:/<post-id>/comments,Rhea has filed a petition to move the case to Mumbai Police and not Bihar Police. Something is fishy !!,2020-07-31T17:43:41+0000,7,0,
1,18,1,23230437118_629089798004200,data,data.*,fetched (200),08:44.7,Facebook:/<post-id>/comments,Don't pour out those crocodile tears. You will be soon in ur deserving place. Each and every individual is against her. SUSHANT will get justice now??,2020-08-01T09:20:47+0000,6,0,
1,19,1,23230437118_629089798004200,data,data.*,fetched (200),08:44.7,Facebook:/<post-id>/comments,Such a poor girl...had to buy this shabby piece of cloth to mk this vdo??,2020-07-31T17:50:16+0000,8,0,
1,20,1,23230437118_629089798004200,data,data.*,fetched (200),08:44.7,Facebook:/<post-id>/comments,She will be a good trainer in the jail teaching her colleges how to cry..... But this was a bad very bad act.... ??????????????,2020-08-01T04:32:47+0000,4,0,
1,21,1,23230437118_629089798004200,data,data.*,fetched (200),08:44.7,Facebook:/<post-id>/comments,The truth is she looted that guy. Gold digger she is. No one knows how he died but she looted him for sure as per bank statements. Everything sushant started in buisness registered in rehea’s fathers name or brothers name. He killed himself because she poisoned his mind.,2020-07-31T18:36:45+0000,5,0,
1,22,1,23230437118_629089798004200,data,data.*,fetched (200),08:44.7,Facebook:/<post-id>/comments,"Get lost.As Ankitha said if she loved him and she know that he was under depression they why should she left him all alone and gone .She has the responsibility to inform his parents,his situation.whatever it may,she is the only source which led him to either murder or suicide.",2020-08-01T02:10:58+0000,4,0,
1,23,1,23230437118_629089798004200,data,data.*,fetched (200),08:44.7,Facebook:/<post-id>/comments,Don't act innocent when you killed someone. No need to justify. Also don't waste sushant's money hiring criminal lawyers.....only criminals does that. Shame on you n your brothers. You are a goondi.,2020-07-31T20:00:30+0000,5,0,
1,24,1,23230437118_629089798004200,data,data.*,fetched (200),08:44.7,Facebook:/<post-id>/comments,You are reading the script written by your lawyer or some other one else. But if you are not a culprit then speakout who were involved in his murder otherwise you all will be back the grill and the whole bolywood will suffer after this incident. ,2020-08-01T11:11:17+0000,4,1,
