,message,created_time,sentiment
0,['rip'],2020-06-14T09:16:25+0000,0.0
1,['rip'],2020-06-14T09:16:36+0000,0.0
2,"['rip', 'sir']",2020-06-14T09:16:37+0000,0.0
3,"['sukhdev', 'brar']",2020-06-14T09:16:40+0000,0.0
4,['wtf'],2020-06-14T09:17:19+0000,-0.5
5,['rip'],2020-06-14T09:17:38+0000,0.0
6,['mannnnnn'],2020-06-14T09:17:42+0000,0.0
7,"['omg', 'rip']",2020-06-14T09:17:50+0000,0.0
8,['shock'],2020-06-14T09:17:50+0000,0.0
9,"['rip', 'reason', 'jab', 'actor', 'suicide', 'karni', 'lagi', 'gay', 'aam', 'loog', 'ka', 'kari', 'ga']",2020-06-14T09:17:53+0000,0.4166666666666667
10,"['sad', 'news']",2020-06-14T09:18:03+0000,-0.5
12,['true'],2020-06-14T09:18:11+0000,0.35
11,"['way', 'tell', 'fake']",2020-06-14T09:18:11+0000,-0.5
13,"['rip', 'good', 'actor']",2020-06-14T09:18:12+0000,0.7
14,"['unbelievable', 'rip']",2020-06-14T09:18:13+0000,-0.25
15,"['oh', 'really', 'shock']",2020-06-14T09:18:17+0000,0.2
16,['reason'],2020-06-14T09:18:25+0000,0.0
17,"['rip', 'great', 'loss', 'world', 'entertainment', 'industry', 'fine', 'actor']",2020-06-14T09:18:39+0000,0.6083333333333334
18,['curse'],2020-06-14T09:18:44+0000,0.0
19,"['sad', 'news']",2020-06-14T09:18:54+0000,-0.5
20,"['cant', 'believe', 'cant', 'believeso', 'shock', 'may', 'soul', 'rest', 'peace']",2020-06-14T09:18:56+0000,0.0
21,"['oh', 'shock']",2020-06-14T09:18:56+0000,0.0
22,['shock'],2020-06-14T09:19:01+0000,0.0
23,"['one', 'best', 'actor']",2020-06-14T09:19:05+0000,1.0
24,['rip'],2020-06-14T09:19:12+0000,0.0
25,"['oh', 'god', 'tell', 'fake', 'news']",2020-06-14T09:19:13+0000,-0.5
26,['fake'],2020-06-14T09:19:16+0000,-0.5
27,"['money', 'cant', 'reason', 'sometime', 'back', 'buy', 'car', 'worth', 'rupee', 'cr', 'young', 'good', 'look', 'guy', 'rip', 'bro']",2020-06-14T09:19:19+0000,0.275
28,"['one', 'favourite', 'actor', 'something', 'expect', 'brave', 'actor', 'rip']",2020-06-14T09:19:36+0000,0.8
29,"['holy', 'im', 'shock']",2020-06-14T09:19:42+0000,0.0
30,['dump'],2020-06-14T09:19:44+0000,0.0
31,['true'],2020-06-14T09:19:46+0000,0.35
32,['rip'],2020-06-14T09:19:46+0000,0.0
33,['rip'],2020-06-14T09:19:50+0000,0.0
34,"['actor', 'also', 'commit', 'suicide', 'india', 'due', 'poverty']",2020-06-14T09:19:56+0000,-0.125
35,"['shock', 'n', 'sadrip']",2020-06-14T09:19:59+0000,0.0
36,['rip'],2020-06-14T09:20:00+0000,0.0
37,['rip'],2020-06-14T09:20:02+0000,0.0
38,"['shock', 'rip']",2020-06-14T09:20:05+0000,0.0
39,"['shivani', 'ragni']",2020-06-14T09:20:06+0000,0.0
40,"['sad', 'news', 'may', 'soul', 'rest', 'peace']",2020-06-14T09:20:09+0000,-0.5
41,"['unbelievable', 'cruel']",2020-06-14T09:20:10+0000,-0.625
42,"['uday', 'singh', 'rajput', 'who']",2020-06-14T09:20:13+0000,0.0
43,['unbelievable'],2020-06-14T09:20:15+0000,-0.25
44,['rip'],2020-06-14T09:20:20+0000,0.0
45,['u'],2020-06-14T09:20:25+0000,0.0
46,"['wtf', 'yyy']",2020-06-14T09:20:26+0000,-0.5
47,['real'],2020-06-14T09:20:29+0000,0.2
48,"['uday', 'singh', 'rajput', 'iv', 'ur', 'bro']",2020-06-14T09:20:29+0000,0.0
49,['rip'],2020-06-14T09:20:32+0000,0.0
50,"['shockedwein', 'part', 'worldalways', 'take', 'mental', 'health', 'forgranted', 'everyone', 'u', 'suicidal', 'think', 'stagebut', 'suicide', 'optiontalk', 'people', 'around', 'yousolution', 'come', 'sure']",2020-06-14T09:20:33+0000,0.2
51,"['way', 'end', 'lifeby', 'brave', 'man', 'like', 'himrip']",2020-06-14T09:20:33+0000,0.8
52,"['sad', 'news']",2020-06-14T09:20:38+0000,-0.5
53,"['really', 'devastate', 'year']",2020-06-14T09:20:49+0000,0.2
54,"['omg', 'shock']",2020-06-14T09:20:54+0000,0.0
55,['shock'],2020-06-14T09:20:55+0000,0.0
56,"['sad', 'lovly', 'actor']",2020-06-14T09:20:59+0000,-0.5
57,"['suicide', 'solution', 'get', 'dress', 'n', 'face', 'till', 'end']",2020-06-14T09:20:59+0000,0.0
58,"['sarfaraz', 'dhoka', 'dy', 'gaya', 'apne', 'fan', 'ko', 'would', 'beautiful', 'soul', 'commit', 'suicide', 'look', 'like', 'murder', 'case', 'condolence', 'pakistan']",2020-06-14T09:21:03+0000,0.85
59,"['shock', 'news', 'cant', 'believerip']",2020-06-14T09:21:09+0000,0.0
60,"['heartbreaking', 'news']",2020-06-14T09:21:11+0000,0.0
61,['rip'],2020-06-14T09:21:16+0000,0.0
62,"['shock', 'sadden']",2020-06-14T09:21:17+0000,0.0
63,"['way', 'wasso', 'sweetest', 'boy', 'true']",2020-06-14T09:21:20+0000,0.35
64,['rip'],2020-06-14T09:21:20+0000,0.0
65,"['really', 'feel', 'sad']",2020-06-14T09:21:22+0000,-0.15
66,"['monaa', 'jaswani']",2020-06-14T09:21:26+0000,0.0
67,['seriously'],2020-06-14T09:21:30+0000,-0.3333333333333333
68,"['unfortunate', 'nice', 'talent', 'rest', 'peace', 'legend']",2020-06-14T09:21:30+0000,0.04999999999999999
69,['terrible'],2020-06-14T09:21:30+0000,-1.0
70,"['manager', 'also', 'commit', 'suicide', 'day', 'bck', 'untold', 'love', 'story', 'guess']",2020-06-14T09:21:31+0000,0.5
71,"['sad', 'may', 'murder', 'need', 'investigation']",2020-06-14T09:21:33+0000,-0.5
72,"['sad', 'respect', 'pakistan']",2020-06-14T09:21:55+0000,-0.5
73,"['unbelievablevery', 'sad', 'somethings', 'seriously', 'wrong', 'first', 'ex', 'manager', 'rip']",2020-06-14T09:21:57+0000,-0.25
74,"['much', 'sad', 'shock', 'eye', 'r', 'tear']",2020-06-14T09:21:59+0000,-0.5
