,message,created_time,sentiment
0,"['sushant', 'singh', 'rajput', 'exmanager', 'disha', 'salian', 'commit', 'suicide', 'mumbai', 'day', 'ago', 'today', 'sushant', 'singh', 'rajput', 'commit', 'suicide', 'offcourse', 'suicide', 'relation']",2020-06-14T09:13:29+0000,0.0
1,['rip'],2020-06-14T09:13:48+0000,0.0
2,"['movie', 'chichore']",2020-06-14T09:14:32+0000,0.0
3,['rip'],2020-06-14T09:14:45+0000,0.0
4,"['rest', 'peace', 'depression', 'real', 'film', 'industry', 'dark']",2020-06-14T09:14:50+0000,0.02500000000000001
5,['unbelievable'],2020-06-14T09:15:09+0000,-0.25
6,"['omg', 'shock', 'news', 'early', 'leave']",2020-06-14T09:15:21+0000,0.1
7,"['strange', 'day', 'exmanagers', 'suicide', 'may', 'soul', 'rest', 'peace']",2020-06-14T09:15:29+0000,-0.05
8,['sad'],2020-06-14T09:15:29+0000,-0.5
9,"['keerthana', 'thiyagharajan']",2020-06-14T09:15:36+0000,0.0
10,"['wtf', 'happen', 'income']",2020-06-14T09:15:42+0000,-0.5
11,['rip'],2020-06-14T09:15:46+0000,0.0
12,"['sushant', 'singh', 'rajput', 'exmanager', 'disha', 'salian', 'commit', 'suicide', 'mumbai', 'day', 'ago', 'today', 'sushant', 'singh', 'rajput', 'commit', 'suicide']",2020-06-14T09:16:02+0000,0.0
13,['omg'],2020-06-14T09:16:04+0000,0.0
14,"['ohnowhy', 'great', 'actor']",2020-06-14T09:16:08+0000,0.8
15,['rip'],2020-06-14T09:16:16+0000,0.0
16,"['rip', 'hard', 'believe', 'suicide']",2020-06-14T09:16:16+0000,-0.2916666666666667
17,['sad'],2020-06-14T09:16:23+0000,-0.5
18,"['skip', 'please']",2020-06-14T09:16:27+0000,0.0
19,"['really', 'shockingrip']",2020-06-14T09:16:32+0000,0.2
20,['shock'],2020-06-14T09:16:33+0000,0.0
21,['shock'],2020-06-14T09:16:44+0000,0.0
22,"['cnt', 'coincidence', 'commit', 'sucide', 'someone', 'behind', 'fine', 'actor', 'sad']",2020-06-14T09:16:51+0000,-0.16111111111111112
23,"['completely', 'shock', 'suicide', 'solution', 'ur', 'problem', 'rip']",2020-06-14T09:16:55+0000,0.1
24,"['ah', 'sad', 'make', 'take', 'step']",2020-06-14T09:16:58+0000,-0.5
25,"['adverse', 'time', 'show', 'vulnerable', 'people', 'bollywood', 'full', 'vulnerable', 'people']",2020-06-14T09:16:59+0000,-0.21666666666666667
26,['unbelievable'],2020-06-14T09:17:00+0000,-0.25
27,['omg'],2020-06-14T09:17:09+0000,0.0
28,"['really', 'shock']",2020-06-14T09:17:19+0000,0.2
29,"['om', 'shanti']",2020-06-14T09:17:28+0000,0.0
30,['unbelievable'],2020-06-14T09:17:37+0000,-0.25
31,"['god', 'cant', 'believe', 'sad', 'demise']",2020-06-14T09:17:37+0000,-0.5
32,"['noooooo', 'whyy']",2020-06-14T09:17:47+0000,0.0
33,"['sosuicide', 'solution']",2020-06-14T09:17:47+0000,0.0
