,id,message,tone
0,211,Sushant Singh Rajput's ex-manager Disha Salian commits suicide in Mumbai 6 days ago ... Today Sushant Singh Rajput committed suicide.... Offcourse both suicide has no relation with each other,"{'document_tone': {'tones': [{'score': 0.86973, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}}"
1,212,RIP,{'document_tone': {'tones': []}}
2,213,Why movie Chichore then?,"{'document_tone': {'tones': [{'score': 0.762356, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
3,214,RIP🤲🤲🤲🤲,{'document_tone': {'tones': []}}
4,215,Rest in peace  Depression is real  Film industry is very dark ,"{'document_tone': {'tones': [{'score': 0.927689, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.913755, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
5,216,Unbelievable 😭,"{'document_tone': {'tones': [{'score': 0.924735, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}}"
6,217,OMG.... Shocking news 😒 so early to leave ,{'document_tone': {'tones': []}}
7,218,"Strange, a few days after his ex-manager's suicide, may his soul rest in peace.","{'document_tone': {'tones': [{'score': 0.866039, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.681699, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}}"
8,219,Sad.. :(,"{'document_tone': {'tones': [{'score': 0.975476, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}}"
9,220,Keerthana Thiyagharajan ,{'document_tone': {'tones': []}}
10,221,Wtf is happening is this because of no income ,"{'document_tone': {'tones': [{'score': 0.747641, 'tone_id': 'anger', 'tone_name': 'Anger'}]}}"
11,222,RIP,{'document_tone': {'tones': []}}
12,223,Sushant Singh Rajput's ex-manager Disha Salian commits suicide in Mumbai 6 days ago ... Today Sushant Singh Rajput committed suicide....,"{'document_tone': {'tones': [{'score': 0.858619, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.638987, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
13,224,OMG,{'document_tone': {'tones': []}}
14,225,Oh.no..why?? Such a great actor..,"{'document_tone': {'tones': [{'score': 0.764191, 'tone_id': 'joy', 'tone_name': 'Joy'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'Oh.no..why??', 'tones': []}, {'sentence_id': 1, 'text': 'Such a great actor..', 'tones': [{'score': 0.826024, 'tone_id': 'joy', 'tone_name': 'Joy'}]}]}"
15,226,Rip,{'document_tone': {'tones': []}}
