,snippet.textOriginal,sentiment
0,"['nitesh', 'h', 'die', 'nepotism']",0.0
1,"['siddhun', 'karthik', 'even', 'mean']",-0.3125
2,['yes'],0.0
3,"['siddhun', 'karthik', 'deadatleast', 'respecthe', 'inspirational', 'man', 'many', 'dreamshe', 'actor', 'great', 'science', 'enthusiast', 'say', 'dead', 'truly', 'person', 'live', 'longer']",0.3472727272727273
4,"['u', 'wan', 'na', 'say']",-0.2
5,"['lolonce', 'disha', 'salian', 'suicide', 'bring', 'light', 'guy', 'naughty', 'work', 'also', 'come']",0.125
6,"['punda', 'nadikatha', 'sootha', 'mooditu', 'olonga', 'oo', 'valiya', 'paru', 'pundamovana']",0.0
7,"['actor', 'discus', 'hardship', 'get', 'mental', 'relief', 'srk', 'salman', 'amir', 'lead', 'front', 'keep', 'artist', 'check', 'always', 'else', 'lose', 'good', 'artist', 'true', 'human', 'rip', 'sushant']",0.2375
8,"['yes', 'video', 'u', 'cn', 'see', 'deepesh', 'drive', 'ambulance', 'murderer']",0.0
9,"['subham', 'agarwal', 'true']",0.35
10,"['shivam', 'kumar', 'dont', 'build', 'narrative', 'bro', 'without', 'proofyou', 'know', 'people', 'different', 'glitz', 'bollywoodmany', 'inner', 'demon', 'dont', 'get', 'solve', 'easily']",0.14444444444444446
11,"['adhil', 'zain', 'decision', 'life', 'shake', 'younot', 'many', 'get']",0.5
12,"['everyone', 'blame', 'yearyou', 'need', 'get', 'fact', 'loneliness', 'strongsorry', 'blunt', 'guy', 'stupid']",-0.7999999999999999
13,"['cant', 'believe', 'suicide', 'check', 'insta', 'post', 'caption', 'month', 'meditation', 'well', 'nd', 'do', 'good', 'daily', 'routine', 'feel', 'much', 'stress', 'nd', 'come', 'suicide']",0.3
14,"['suicide', 'murder', 'cause', 'exmanager', 'also', 'commit', 'suicide']",0.0
15,['rip'],0.0
16,"['really', 'truthful', 'point']",0.5
17,"['also', 'think']",0.0
18,['horrible'],-1.0
19,"['mate', 'rockk', 'tu', 'chup']",0.0
20,['kashmir'],0.0
21,"['iconoclast', 'god', 'almighty', 'know', 'happen', 'atleast', 'pray', 'rest', 'peace']",0.0
22,"['iconoclast', 'still', 'sad', 'loser']",-0.5
23,"['rest', 'soul', 'present', 'soul', 'already', 'transmigrate', 'live', 'organism', 'call', 'samsara']",0.06818181818181818
