,snippet.topLevelComment.snippet.textDisplay,snippet.topLevelComment.snippet.publishedAt,sentiment
18,"['stop', 'drama']",2020-07-31T13:50:25Z,0.0
15,"['wow', 'kya', 'mast', 'act', 'hai', 'hope', 'u', 'ur', 'film']",2020-07-31T13:51:13Z,0.1
51,"['plz', 'take', 'action', 'rhea', 'chakravarty', 'nepotism', 'wont', 'kill', 'try', 'understand', 'almost', 'every', 'one', 'may', 'support', 'rhea', 'chakravarty', 'truth', 'shld', 'come', 'depression', 'come', 'relation', 'nepotism', 'nepotism', 'sure', 'share', 'closest', 'person', 'weather', 'parent', 'someone', 'else', 'totally', 'relation', 'guy', 'one', 'share', 'relationship', 'problem', 'go', 'extreme', 'ever', 'weather', 'men', 'woman', 'need', 'get', 'punish', 'ever', 'involve', 'delete', 'every', 'pic', 'insta', 'death', 'something', 'wrong', 'relation', 'depression', 'guy', 'plz', 'dont', 'tell', 'nepotism', 'reason', 'nepotism', 'reason', 'behind', 'death', 'dont', 'leave', 'rhea', 'tell', 'dead', 'bcze', 'nepotism']",2020-07-31T13:51:23Z,-0.08928571428571429
93,"['dont', 'drama', 'dead', 'u', 'die', 'one', 'day', 'everyone', 'die', 'ppl', 'forget', 'ethic', 'human', 'hurt', 'relationship', 'problem', 'dont', 'know', 'like', 'u', 'ppl', 'wont', 'understand', 'atleast', 'u', 'ppl', 'come', 'know', 'death', 'permanent', 'one', 'day']",2020-07-31T13:53:15Z,-0.1
68,"['crocodile', 'tear']",2020-07-31T13:53:16Z,0.0
10,"['many', 'take', 'video', 'clearly', 'read', 'script']",2020-07-31T13:53:26Z,0.3
11,"['arent', 'wear', 'zara', 'outfit']",2020-07-31T13:53:44Z,0.0
2,"['yes', 'get', 'justice', 'soon', 'go', 'prison', 'rot', 'believe', 'black', 'magic', 'god']",2020-07-31T13:55:53Z,0.16666666666666669
39,"['one', 'thing', 'sir', 'really', 'depress', 'regard', 'nepotism', 'prblm', 'sure', 'ability', 'share', 'others', 'depress', 'relationship', 'sure', 'cant', 'tell', 'anything', 'jst', 'show', 'u', 'hang', 'relation', 'sure', 'hurt', 'human', 'guy', 'cute', 'life', 'wat', 'live', 'today', 'plz', 'plz', 'permanent', 'follow', 'human', 'ethic', 'everywere', 'plz', 'dont', 'try', 'hurt', 'person', 'try', 'convince', 'adjust', 'u', 'love', 'dont', 'ever', 'hurt', 'others', 'plzz']",2020-07-31T13:57:20Z,0.2503030303030303
50,"['cr', 'swiss', 'bank', 'indian']",2020-07-31T13:59:58Z,0.0
25,"['always', 'india', 'today', 'republic']",2020-07-31T14:01:25Z,0.0
69,['strange'],2020-07-31T14:01:44Z,-0.05
14,"['see', 'leak', 'video', 'actress', 'another', 'news', 'channel', 'talk', 'like', 'maya', 'dolas', 'shootout', 'lokhandwala']",2020-07-31T14:04:20Z,0.0
8,"['borrow', 'maid', 'clothe', 'family', 'member', 'huge', 'accusation', 'r', 'defend', 'brother']",2020-07-31T14:04:51Z,0.4000000000000001
38,"['actor', 'industry', 'director']",2020-07-31T14:05:08Z,0.0
12,"['drama', 'queen', 'finally', 'speak', 'depress', 'karma']",2020-07-31T14:08:42Z,-0.03333333333333333
79,"['believe', 'publish']",2020-07-31T14:10:52Z,0.0
0,"['stylist', 'great', 'job', 'make', 'look', 'vulnerable', 'r', 'buy', 'pathetic', 'woman']",2020-07-31T14:12:15Z,-0.2333333333333333
120,"['drama', 'queen', 'sach', 'main', 'sataymaivo', 'jaytee', 'ho', 'ni', 'chahi', 'hain']",2020-07-31T14:13:04Z,0.16666666666666666
156,"['bakchodi', 'kar', 'rahi', 'hai', 'rhea']",2020-07-31T14:13:21Z,0.0
23,"['accord', 'science', 'white', 'color', 'indicate', 'innocent', 'may', 'know', 'great', 'director']",2020-07-31T14:13:37Z,0.43333333333333335
1,"['terrible', 'act', 'gain', 'sympathy']",2020-07-31T14:14:32Z,-1.0
20,"['hahahaha', 'rad', 'roona']",2020-07-31T14:14:46Z,0.2
135,"['drama', 'queen']",2020-07-31T14:16:08Z,0.0
107,"['justice', 'prosti', 'justice', 'prosti', 'justice', 'prosti']",2020-07-31T14:16:31Z,0.0
4,"['plain', 'white', 'clothe', 'bare', 'jewel', 'body', 'language', 'show', 'something', 'hide']",2020-07-31T14:17:44Z,-0.054761904761904755
