,snippet.topLevelComment.snippet.textDisplay,snippet.topLevelComment.snippet.publishedAt,sentiment
134,['sad'],2020-06-14T14:17:12Z,-0.5
33,['rip'],2020-06-14T14:20:11Z,0.0
135,"['driect', 'hell']",2020-06-14T14:29:40Z,0.0
98,['rip'],2020-06-14T14:29:55Z,0.0
38,"['unbelievableim', 'sad']",2020-06-14T14:30:14Z,-0.5
8,"['dishearten', 'see', 'young', 'talented', 'actor', 'give', 'early', 'life', 'shock']",2020-06-14T14:32:02Z,0.3
83,"['something', 'doesnt', 'seem', 'right', 'check', 'friend']",2020-06-14T14:32:24Z,0.2857142857142857
136,"['drug', 'factor', 'bhi', 'involve', 'hosakta', 'hai', 'depression', 'kay', 'saath', 'iska', 'career', 'bhi', 'itna', 'acha', 'nahi', 'chal', 'raha', 'tha']",2020-06-14T14:33:42Z,0.0
62,['shock'],2020-06-14T14:43:02Z,0.0
77,"['uski', 'atma', 'ko', 'santi', 'mila']",2020-06-14T14:44:00Z,0.0
133,"['han', 'bhai', 'kon', 'bhonk', 'rha', 'tha', 'afridi', 'ke', 'beemar', 'hone', 'pr', 'krdya', 'na', 'isi', 'ne', 'apna', 'kaam']",2020-06-14T14:47:03Z,0.0
126,"['important', 'national', 'tv', 'channel', 'cover', 'much', 'individual', 'actor', 'expect', 'national', 'channel', 'think', 'global', 'expect', 'maturity', 'national', 'channel', 'come', 'strategy', 'channel', 'plan', 'publish', 'would', 'love', 'see', 'national', 'channel', 'start', 'think', 'towards', 'global', 'saw', 'channel', 'like', 'rt', 'country', 'use', 'national', 'channel', 'news', 'channel']",2020-06-14T14:47:49Z,0.18
3,"['dead', 'nothing', 'say', 'tottally', 'shock', 'rip', 'dearest', 'sushant']",2020-06-14T14:51:46Z,-0.2
74,"['doesnt', 'sound', 'feel', 'like', 'sucide', 'case', 'something', 'definitely', 'ok']",2020-06-14T14:52:40Z,0.45
7,"['dont', 'understand', 'r', 'rude', 'people', 'dislike', 'video', 'death']",2020-06-14T14:52:42Z,-0.3
0,"['shock', 'news', 'may', 'soul', 'rest', 'peace']",2020-06-14T14:54:57Z,0.0
86,['sad'],2020-06-14T14:56:59Z,-0.5
70,"['good', 'person', 'susanth', 'singh', 'rajputh', 'miss', 'best', 'bollywood', 'hero']",2020-06-14T14:59:35Z,0.85
47,"['many', 'people', 'take', 'horrific', 'antidepressant', 'pill', 'hard', 'believe', 'happy', 'successful', 'person']",2020-06-14T14:59:36Z,0.15166666666666667
123,"['aatm', 'hathya', 'nahi', 'hai', 'ye', 'madar', 'hai']",2020-06-14T15:00:56Z,0.0
58,['love'],2020-06-14T15:01:04Z,0.5
103,['rip'],2020-06-14T15:02:23Z,0.0
78,"['something', 'doesnt', 'add', 'manager', 'pass', 'away', 'last', 'week', 'blind', 'see', 'conspiracy']",2020-06-14T15:04:05Z,-0.25
99,"['worst', 'year', 'ever', 'rip', 'sushant', 'singh']",2020-06-14T15:06:59Z,-1.0
68,['sushant'],2020-06-14T15:08:07Z,0.0
119,"['sad', 'news']",2020-06-14T15:12:01Z,-0.5
105,['sad'],2020-06-14T15:14:21Z,-0.5
120,"['trajic', 'criminal', 'act', 'commit']",2020-06-14T15:17:11Z,-0.4
12,"['god', 'please', 'give', 'peace', 'soul']",2020-06-14T15:18:00Z,0.0
27,"['sudden', 'shock', 'miss', 'sushant', 'sir', 'may', 'soul', 'rip', 'sir']",2020-06-14T15:20:40Z,0.0
130,"['palmist', 'maine', 'inke', 'hand', 'suicide', 'wali', 'rekha', 'dekhi', 'hai', 'inke', 'life', 'bahot', 'depression', 'raha', 'hoga', 'inka', 'shani', 'bhi', 'kamjor', 'tha', 'inke', 'hand', 'e', 'affair', 'ki', 'line', 'bhi', 'thi']",2020-06-14T15:22:34Z,0.0
84,"['favorite', 'actor']",2020-06-14T15:24:23Z,0.5
95,"['oh', 'give', 'big', 'shock']",2020-06-14T15:24:59Z,0.0
23,"['sadden', 'sushanth', 'singh', 'believe', 'murder', 'instead', 'suicide', 'somuch', 'politics', 'bollywood', 'rip', 'lovely']",2020-06-14T15:25:27Z,0.5
11,"['shock', 'whats', 'go', 'day', 'rip', 'great', 'actor']",2020-06-14T15:25:49Z,0.8
1,"['sushant', 'sir', 'prove', 'money', 'fame', 'doesnt', 'matterwhatever', 'matter', 'mental', 'emotional']",2020-06-14T15:28:54Z,-0.05
54,"['row', 'r', 'cost', 'life']",2020-06-14T15:30:38Z,0.0
127,"['bad', 'incident']",2020-06-14T15:32:10Z,-0.6999999999999998
9,"['rip', 'sad', 'hear', 'miss', 'u', 'sushant']",2020-06-14T15:32:15Z,-0.5
2,"['ghost', 'gon', 'na', 'haunt', 'people', 'behind', 'make']",2020-06-14T15:32:40Z,-0.4
113,"['tell', 'u', 'truth', 'depression', 'as', 'gon', 'na', 'haunt', 'people', 'behind']",2020-06-14T15:33:23Z,-0.4
79,"['seem', 'like', 'bad', 'year', 'bollywood', 'industry', 'hear', 'week', 'ex', 'manager', 'also', 'pass', 'away', 'evidence', 'yet', 'either', 'suicide', 'murder', 'sushant', 'give', 'reaction', 'social', 'medium', 'might', 'coincidence', 'anything', 'relate', 'wish', 'leave', 'ankita', 'would', 'happy', 'together', 'every', 'day', 'go', 'shock', 'news', 'always', 'remember', 'lifetime']",2020-06-14T15:35:00Z,0.04444444444444451
112,"['hate', 'year']",2020-06-14T15:37:30Z,-0.8
29,"['ssr', 'rip', 'never', 'even', 'life', 'leaf', 'back']",2020-06-14T15:41:12Z,0.0
90,"['reason', 'force', 'death']",2020-06-14T15:43:44Z,0.0
22,"['heart', 'break', 'news', 'terrify', 'really']",2020-06-14T15:49:45Z,0.2
60,"['seem', 'suicide']",2020-06-14T15:52:04Z,0.0
111,"['life', 'one', 'poor', 'richbut', 'tear', 'solve', 'together', 'easily']",2020-06-14T15:59:37Z,0.016666666666666663
109,"['rip', 'may', 'hero']",2020-06-14T15:59:37Z,0.0
75,"['always', 'use', 'look', 'confuse', 'shy', 'middleclass']",2020-06-14T16:03:57Z,-0.5
81,['rip'],2020-06-14T16:09:16Z,0.0
45,"['miss', 'u', 'alot']",2020-06-14T16:17:50Z,0.0
48,['miss'],2020-06-14T16:19:29Z,0.0
39,"['dont', 'know', 'doesnt', 'look', 'like', 'suicide', 'day', 'ago', 'former', 'manager', 'rajput', 'suicide', 'something', 'right', 'way', 'rip', 'world', 'already', 'miss']",2020-06-14T16:19:49Z,0.14285714285714285
124,"['really', 'shock', 'u', 'dear']",2020-06-14T16:26:04Z,0.2
5,"['wan', 'na', 'request', 'medium', 'please', 'go', 'depth', 'news', 'inspiration', 'million']",2020-06-14T16:27:18Z,-0.2
73,"['really', 'mysterious', 'circumstance', 'clear', 'case', 'murder']",2020-06-14T16:28:00Z,0.05000000000000001
57,"['whysir', 'im', 'shock', 'news', 'dearest', 'peace', 'r', 'p', 'god', 'guid', 'always', 'love', 'miss']",2020-06-14T16:33:41Z,0.5
20,"['god', 'bless']",2020-06-14T16:38:02Z,0.0
17,"['money', 'cant', 'buy', 'happiness']",2020-06-14T16:44:53Z,0.7
53,"['depressedi', 'cant', 'tolerate']",2020-06-14T16:47:35Z,0.0
