,snippet.topLevelComment.snippet.textDisplay,snippet.topLevelComment.snippet.publishedAt,sentiment
54,"['oh', 'god', 'happen', 'good', 'b', 'people', 'u', 'cant', 'believe', 'one', 'fav', 'actor', 'mine']",2020-06-14T11:11:00Z,0.7
2,"['cant', 'forget', 'role', 'm', 'dhoni', 'make', 'lively', 'rip', 'sushant']",2020-06-14T11:13:00Z,0.13636363636363635
143,['miss'],2020-06-14T11:17:46Z,0.0
3,"['worst', 'year', 'rip', 'cant', 'believe']",2020-06-14T11:19:00Z,-1.0
11,"['awesome', 'actor', 'forget']",2020-06-14T11:19:15Z,1.0
104,"['rest', 'peace']",2020-06-14T11:20:17Z,0.0
32,"['rip', 'sushant', 'wonderful', 'actor']",2020-06-14T11:21:10Z,1.0
26,"['film', 'chichhore', 'suicide', 'never', 'give', 'life', 'incident', 'rip']",2020-06-14T11:22:01Z,0.0
135,['unbelievable'],2020-06-14T11:22:22Z,-0.25
21,"['shame', 'people', 'write', 'condolenceshad', 'friendly', 'n', 'concern', 'abt', 'nearest', 'dearest', 'one', 'lockdown', 'suicide', 'could', 'never', 'happen', 'industrywe', 'hv', 'lose', 'humanity', 'countrylover', 'dog', 'many', 'hardly', 'lover', 'human']",2020-06-14T11:22:57Z,0.14583333333333331
30,"['guy', 'success', 'get', 'air', 'he', 'amaze', 'actor', 'rip']",2020-06-14T11:23:36Z,0.3
103,"['rest', 'peace']",2020-06-14T11:24:07Z,0.0
8,"['legend', 'death', 'khan', 'kapoor', 'singh', 'rajput', 'rip']",2020-06-14T11:24:27Z,0.0
61,"['rip', 'sushant']",2020-06-14T11:24:43Z,0.0
53,"['absolutely', 'shock']",2020-06-14T11:24:54Z,0.2
150,['rip'],2020-06-14T11:25:43Z,0.0
120,"['rip', 'sushant', 'singh', 'rajput']",2020-06-14T11:26:11Z,0.0
36,"['week', 'ago', 'previous', 'manager', 'commit', 'suicide', 'there', 'dark', 'story', 'unfold']",2020-06-14T11:26:52Z,-0.15833333333333333
78,"['rip', 'sushant', 'sir']",2020-06-14T11:27:00Z,0.0
92,"['sad', 'really', 'miss', 'sir']",2020-06-14T11:27:44Z,-0.15
157,"['sad', 'news', 'condolence', 'love', 'one']",2020-06-14T11:29:35Z,0.0
27,"['bright', 'future', 'really', 'shock', 'news', 'commit', 'suicide']",2020-06-14T11:29:37Z,0.30000000000000004
