,snippet.topLevelComment.snippet.textDisplay,snippet.topLevelComment.snippet.publishedAt,sentiment
136,"['really', 'shock', 'bhai', 'tere', 'se', 'ye', 'ummid', 'nahi', 'thi', 'rip', 'lockdown', 'ye', 'din', 'bhi', 'dekhna', 'padega', 'socha', 'nahi']",2020-06-14T10:02:02Z,0.2
50,"['pavitra', 'rista', 'first', 'tv', 'show', 'rip', 'shushant', 'love', 'miss']",2020-06-14T10:05:58Z,0.375
46,"['rip', 'sushant', 'sir']",2020-06-14T10:06:31Z,0.0
20,"['must', 'conspiracy', 'behind', 'manager', 'commit', 'suicide', 'day', 'back', 'shouldnt', 'do', 'may', 'soul', 'rest', 'peace']",2020-06-14T10:07:27Z,-0.2
193,['modi'],2020-06-14T10:09:42Z,0.0
42,"['sad', 'great', 'man', 'talented', 'actor', 'good', 'human', 'hardworking', 'tallented', 'physic', 'lover', 'may', 'soul', 'rest', 'peace']",2020-06-14T10:11:41Z,0.33999999999999997
179,"['kya', 'fayda', 'aisi', 'success', 'ka', 'inse', 'ache', 'toh', 'hum', 'hi', 'hai']",2020-06-14T10:12:14Z,0.3
56,"['save', 'money', 'avoid', 'contact', 'work', 'family']",2020-06-14T10:12:56Z,0.0
52,"['im', 'sadden', 'listen', 'bad', 'news', 'worst', 'year', 'u', 'lose', 'many', 'actor', 'year', 'sushant', 'singh', 'faithful', 'man', 'like', 'watch', 'dancesmovies', 'child', 'rip', 'sushant', 'singh']",2020-06-14T10:14:04Z,-0.3999999999999999
175,"['yeh', 'sarkar', 'ke', 'galat', 'faisle', 'se', 'sara', 'hindustan', 'depression', 'main', 'hai']",2020-06-14T10:14:43Z,0.16666666666666666
59,"['v', 'really', 'miss', 'ustill', 'cant', 'believe']",2020-06-14T10:15:59Z,0.2
170,"['kuch', 'gdbd', 'h']",2020-06-14T10:18:01Z,0.0
71,['rip'],2020-06-14T10:18:13Z,0.0
108,"['fact', 'manager', 'commit', 'suicide', 'day', 'back', 'maybe', 'relate']",2020-06-14T10:18:45Z,0.0
183,"['manhoos', 'saal', 'hai', 'yeh']",2020-06-14T10:19:36Z,0.0
161,"['aur', 'kya', 'kya', 'hoga', 'saal']",2020-06-14T10:20:02Z,0.0
25,"['good', 'talent', 'leave', 'usreally', 'heart', 'wrench', 'rip', 'sushanth']",2020-06-14T10:20:10Z,0.7
188,"['maybe', 'want', 'see', 'afterlife']",2020-06-14T10:20:55Z,0.0
128,"['youth', 'icon', 'commit', 'suicide', 'common', 'man']",2020-06-14T10:20:55Z,-0.3
101,"['suicide', 'sure', 'day', 'ago', 'secretary', 'find', 'dead', 'well', 'yeah', 'way', 'suicide', 'may', 'another', 'drug', 'relate', 'casemay', 'homicide', 'know']",2020-06-14T10:21:39Z,0.15
48,"['kind', 'enough', 'donate', 'one', 'crore', 'kerala', 'arunachal', 'pradesh', 'flood', 'relief', 'work', 'last', 'year']",2020-06-14T10:21:50Z,0.19999999999999998
190,"['favorite', 'actor']",2020-06-14T10:22:40Z,0.5
60,"['bohat', 'afsos', 'hua', 'yar', 'kyun', 'kiya', 'aisa', 'kitna', 'acha', 'actor', 'tha']",2020-06-14T10:22:42Z,0.0
112,"['shock', 'news', 'rip']",2020-06-14T10:23:34Z,0.0
174,"['rip', 'sir']",2020-06-14T10:23:46Z,0.0
400,"['seriously', 'thats', 'shock', 'devastate', 'news', 'lose', 'another', 'great', 'person', 'rip']",2020-06-14T10:23:52Z,0.23333333333333336
90,['noooooooooooooooooo'],2020-06-14T10:24:02Z,0.0
321,['rip'],2020-06-14T10:24:06Z,0.0
398,"['hard', 'workerbut', 'yone', 'actor', 'attain', 'success', 'talent', 'hard', 'work']",2020-06-14T10:24:15Z,-0.09444444444444446
233,"['rip', 'love', 'actor', 'sushant', 'singh', 'rajput']",2020-06-14T10:24:57Z,0.5
12,"['iit', 'delhi', 'engineer', 'mechanical', 'engineer']",2020-06-14T10:25:09Z,0.0
53,"['emotional', 'moment', 'lose', 'talented', 'actor']",2020-06-14T10:25:12Z,0.35
154,"['feel', 'sad', 'hear']",2020-06-14T10:25:29Z,-0.5
91,"['come', 'allah', 'return']",2020-06-14T10:25:31Z,0.0
186,"['may', 'soul', 'rest', 'peace', 'god', 'give', 'strength', 'family', 'miss', 'u', 'much']",2020-06-14T10:25:32Z,0.2
92,"['rip', 'sushant', 'sir']",2020-06-14T10:25:36Z,0.0
163,"['iska', 'piche', 'koyi', 'sorjantra', 'rahe', 'satke', 'hai', 'may', 'lord', 'ram', 'give', 'piece', 'soul']",2020-06-14T10:25:36Z,0.0
253,"['favourite', 'hero', 'ever', 'miss']",2020-06-14T10:25:43Z,0.0
125,"['sad', 'im', 'shock', 'rip']",2020-06-14T10:25:58Z,-0.5
291,"['akher', 'kar', 'sarfaraz', 'ne', 'doka', 'dya']",2020-06-14T10:26:06Z,0.0
4,"['person', 'say', 'never', 'give', 'give', 'ultimate', 'truth', 'liferip']",2020-06-14T10:26:07Z,0.0
14,"['hard', 'believe', 'end', 'life', 'may', 'soul', 'rest', 'peace']",2020-06-14T10:26:50Z,-0.2916666666666667
117,"['rip', 'sir', 'ye', 'kiya', 'ho', 'raha', 'ek', 'ke', 'bad', 'ek', 'sad', 'news', 'ye', 'year', 'kitne', 'bure', 'hone', 'wale', 'hai', 'pata', 'nhi', 'may', 'god', 'bless', 'also', 'u']",2020-06-14T10:27:23Z,-0.5999999999999999
316,"['way', 'absolutely', 'unbelievable']",2020-06-14T10:27:43Z,-0.25
123,"['plzz', 'gueys', 'request', 'suicide', 'nai', 'karna', 'cahiye', 'yrr', 'apke', 'piche', 'apka', 'parivaar', 'hota', 'ha']",2020-06-14T10:27:43Z,0.0
351,"['nice', 'decision', 'life', 'wish']",2020-06-14T10:27:47Z,0.6
359,"['allah', 'belong', 'return']",2020-06-14T10:27:51Z,0.0
282,"['rip', 'sushanth', 'hard', 'worker', 'good', 'actor']",2020-06-14T10:27:52Z,0.20416666666666664
13,"['couldnt', 'stop', 'cry', 'since', 'come', 'know', 'pray', 'peace', 'really', 'admire', 'hard', 'work']",2020-06-14T10:28:11Z,-0.04583333333333334
263,['sad'],2020-06-14T10:28:29Z,-0.5
369,"['sad', 'hear']",2020-06-14T10:28:31Z,-0.5
157,"['something', 'bad', 'must', 'happen', 'life', 'cant', 'believe']",2020-06-14T10:28:33Z,-0.6999999999999998
249,"['rip', 'sushanth', 'miss']",2020-06-14T10:28:42Z,0.0
326,['rip'],2020-06-14T10:28:45Z,0.0
6,"['lrfan', 'khan', 'rishi', 'kapoor', 'sushant', 'singh', 'worst', 'year']",2020-06-14T10:28:45Z,-1.0
103,"['rest', 'peace']",2020-06-14T10:28:47Z,0.0
30,"['un', 'believeable', 'best', 'actor']",2020-06-14T10:28:57Z,1.0
38,"['rip', 'sushant', 'brother']",2020-06-14T10:29:07Z,0.0
86,"['bhagwan', 'unki', 'aatma', 'ko', 'shanti', 'de']",2020-06-14T10:29:09Z,0.0
197,"['soul', 'may', 'rest', 'peace']",2020-06-14T10:29:13Z,0.0
248,"['rip', 'miss', 'u', 'much', 'sir']",2020-06-14T10:29:14Z,0.2
265,"['rip', 'sushant']",2020-06-14T10:29:39Z,0.0
382,"['dishearting', 'news', 'heartbreaking']",2020-06-14T10:29:41Z,0.0
83,['rlp'],2020-06-14T10:29:41Z,0.0
182,"['hell', 'loose', 'month', 'beloved']",2020-06-14T10:29:51Z,0.31153846153846154
368,"['rip', 'sir']",2020-06-14T10:29:52Z,0.0
62,"['rest', 'peace']",2020-06-14T10:29:55Z,0.0
287,"['rip', 'soul']",2020-06-14T10:29:56Z,0.0
149,"['cant', 'believe', 'actor', 'like', 'lose', 'hope', 'take', 'big', 'decision', 'life']",2020-06-14T10:29:58Z,0.0
205,"['rip', 'shushant']",2020-06-14T10:30:10Z,0.0
206,"['cant', 'believe', 'omg', 'rip']",2020-06-14T10:30:14Z,0.0
65,"['yaa', 'allah', 'rip', 'sir']",2020-06-14T10:30:14Z,0.0
348,"['cant', 'believe', 'please', 'sir', 'tell', 'true', 'oh', 'god', 'possible', 'ya', 'allah', 'he', 'great', 'actor', 'he', 'mostly', 'likely', 'favorite', 'person']",2020-06-14T10:30:15Z,0.32999999999999996
224,"['really', 'miss']",2020-06-14T10:30:24Z,0.2
22,"['miss', 'rip']",2020-06-14T10:30:38Z,0.0
367,"['rip', 'sir']",2020-06-14T10:30:42Z,0.0
