,snippet.topLevelComment.snippet.textDisplay,snippet.topLevelComment.snippet.publishedAt,sentiment
84,"['truth', 'shall', 'hide']",2020-07-31T13:05:05Z,0.0
57,"['video', 'funny']",2020-07-31T13:12:32Z,0.25
18,"['wow', 'better', 'act', 'jalabi', 'movie']",2020-07-31T13:13:47Z,0.3
89,"['yes', 'truth', 'prevail', 'sure', 'ready', 'face', 'karma', 'miss', 'rhea', 'sushant', 'get', 'justice', 'behind', 'bar', 'madam']",2020-07-31T13:20:52Z,0.09999999999999998
79,"['actress', 'dont', 'forget', 'guy']",2020-07-31T13:21:45Z,0.0
28,"['please', 'dont', 'give', 'screen', 'timerhea', 'sociopath', 'manipulate', 'sushant', 'try', 'manipulate', 'common', 'massesplease', 'get', 'fool']",2020-07-31T13:27:28Z,-0.3
47,"['atleast', 'imagine', 'innocent', 'guy', 'whose', 'fund', 'family', 'feast', 'must', 'go']",2020-07-31T13:29:32Z,0.5
62,"['ironicaly', 'day', 'back', 'want', 'justice', 'ssr']",2020-07-31T13:32:12Z,0.0
33,"['god', 'watch', 'cant', 'hide', 'truthyou', 'kill', 'sushant']",2020-07-31T13:34:17Z,0.0
4,"['didnt', 'lawyer', 'advice', 'use', 'le', 'glycerine', 'btw', 'rock', 'tihar', 'outfit', 'girl']",2020-07-31T13:34:48Z,0.0
98,"['dialogue', 'kya', 'lawyer', 'ne', 'likke', 'diya']",2020-07-31T13:40:25Z,0.0
38,"['seem', 'cry', 'cut', 'onion', 'shoot', 'get', 'tear']",2020-07-31T13:51:21Z,0.0
52,"['cant', 'even', 'act', 'save']",2020-07-31T14:09:41Z,0.0
9,"['wish', 'sushant', 'would', 'see', 'fan', 'try', 'bring', 'justice', 'go', 'way']",2020-07-31T14:27:05Z,0.0
23,"['see', 'rhea', 'chakraborty', 'respect', 'ex', 'increase']",2020-07-31T14:33:10Z,0.0
81,"['wow', 'croc', 'tear']",2020-07-31T14:35:15Z,0.1
11,"['say', 'truth', 'prevail', 'shes', 'one', 'run', 'hide']",2020-07-31T14:35:30Z,0.0
17,"['wonderingsushant', 'highly', 'educate', 'super', 'talented', 'fall', 'relation', 'average', 'class', 'super', 'joke', 'part', 'satyamev', 'jayte']",2020-07-31T14:36:03Z,0.2753333333333333
31,"['ratio', 'like', 'dislike', 'shall', 'speak']",2020-07-31T14:36:36Z,0.0
87,"['nice', 'actingmahesh', 'bhat', 'wait', 'ur', 'cast']",2020-07-31T14:37:08Z,0.6
14,"['isko', 'inquiry', 'cbi', 'janj', 'karke', 'sach', 'ni', 'milega', 'better', 'isko', 'covid', 'patient', 'se', 'milado', 'sach', 'automatic', 'ajayega']",2020-07-31T14:37:18Z,0.5
49,['hilarious'],2020-07-31T14:38:06Z,0.5
2,"['movie', 'name', 'way', 'get', 'sympathy', 'directer', 'bhatt', 'actor', 'rhea', 'chakraborty', 'producer', 'karan', 'zohori']",2020-07-31T14:39:19Z,0.0
16,"['give', 'filmfare', 'karan', 'johar', 'outstanding', 'performance']",2020-07-31T14:48:10Z,0.5
7,"['play', 'lot', 'game', 'sushant', 'control', 'loot', 'hard', 'earn', 'money', 'push', 'wall', 'start', 'play', 'game', 'time', 'put', 'behind', 'barsshe', 'criminal', 'yes', 'truth', 'prevail']",2020-07-31T14:52:28Z,-0.3783333333333333
22,"['much', 'bad', 'act', 'cbi', 'rip', 'minute', 'interrogation']",2020-07-31T14:53:35Z,-0.6999999999999998
5,"['look', 'depress', 'anyways', 'someone', 'please', 'tell', 'movie', 'shoot', 'thing', 'get', 'real']",2020-07-31T14:53:45Z,0.06666666666666668
61,"['perfect', 'act', 'oscar']",2020-07-31T14:54:52Z,1.0
53,"['give', 'oscar', 'please']",2020-07-31T14:57:38Z,0.0
72,"['see', 'people', 'day', 'uncanny', 'ability', 'tell', 'difference', 'fake', 'real', 'rhea', 'go', 'social', 'medium', 'see', 'whats', 'latest', 'image']",2020-07-31T14:59:23Z,0.058333333333333334
64,"['road', 'oscar']",2020-07-31T15:02:51Z,0.0
93,"['take', 'action']",2020-07-31T15:03:36Z,0.1
74,"['guyz', 'rhea', 'lawyer', 'lawyer', 'handle', 'case', 'salman', 'sanjay', 'dutt']",2020-07-31T15:06:36Z,0.0
10,"['yes', 'ofcourse', 'truth', 'shall', 'prevaildont', 'worry', 'karma', 'never', 'leaf', 'anybody']",2020-07-31T15:11:07Z,0.0
8,"['thing', 'want', 'justicewe', 'blame', 'anyone', 'herewe', 'want', 'truthfrom', 'fan', 'sushant', 'singh', 'rajput']",2020-07-31T15:11:26Z,0.0
70,"['look', 'watch', 'ankitas', 'interview', 'u', 'see', 'difference', 'fake', 'truly', 'sad']",2020-07-31T15:11:49Z,-0.5
50,"['cr', 'withdrawal', 'fromsushants', 'account', 'hire', 'expensive', 'lawyer', 'might', 'prevail', 'never', 'good', 'book']",2020-07-31T15:12:17Z,-0.425
6,"['cry', 'doesnt', 'mean', 'u', 'save', 'matter', 'u', 'definitely', 'face', 'many', 'problem', 'u', 'do', 'sush']",2020-07-31T15:14:30Z,0.0625
43,"['u', 'like', 'party', 'na', 'wen', 'sushanth', 'unwell', 'party', 'go', 'jail', 'shameless']",2020-07-31T15:16:20Z,-0.1
48,"['glycerine', 'tear', 'anyone', 'get', 'need', 'work', 'hard', 'act', 'skill']",2020-07-31T15:25:28Z,-0.2916666666666667
15,"['look', 'bad', 'actingnow', 'understand', 'doesnt', 'get', 'movie']",2020-07-31T15:27:49Z,-0.6999999999999998
3,"['someone', 'give', 'oscar', 'mindblowing', 'act']",2020-07-31T15:33:12Z,0.0
21,"['first', 'manipulate', 'moment', 'later']",2020-07-31T15:33:14Z,0.125
24,"['yes', 'rheality', 'shall', 'come', 'forward', 'youll', 'rot', 'jail']",2020-07-31T15:37:36Z,-0.1
12,"['want', 'rhea', 'behind', 'bar', 'everything', 'come', 'real', 'victim', 'sushants', 'death', 'plan', 'murder', 'want', 'behind', 'bar', 'satyamev', 'jayate']",2020-07-31T15:40:07Z,-0.3041666666666667
30,"['ratte', 'huee', 'line', 'hain', 'engineer', 'certainly', 'identify', 'time', 'youre', 'gf', 'ssr', 'sir', 'clear', 'f', 'brother', 'enjoy', 'malya', 'type', 'life', 'bey', 'also', 'identify', 'girl', 'crocodile', 'tear', 'also', 'civil', 'engineer', 'student', 'literally', 'justice', 'prevail', 'time', 'go', 'jail']",2020-07-31T15:41:18Z,0.15357142857142858
34,"['dont', 'right', 'say', 'stya', 'meva', 'jayathey']",2020-07-31T15:42:59Z,0.2857142857142857
0,"['video', 'like', 'child', 'memorize', 'essay']",2020-07-31T15:45:23Z,0.0
75,"['overdose', 'act', 'artificial', 'sob', 'wish', 'sushant', 'could', 'see', 'behave']",2020-07-31T15:54:56Z,-0.6
96,"['sacrifice', 'final', 'card', 'finish']",2020-07-31T15:57:38Z,0.0
80,"['oo', 'madam', 'jitna', 'bhi', 'sadaran', 'kapde', 'pehen', 'le', 'likin', 'tum', 'bach', 'nhi', 'payigi', 'hum', 'public', 'tujhe', 'jail', 'bhej', 'k', 'rahenge', 'jitna', 'bhi', 'higher', 'lawyer', 'appoint', 'karle']",2020-07-31T16:12:26Z,0.049999999999999996
68,"['truth', 'shall', 'prevail', 'wish', 'could', 'save', 'hope', 'law', 'justice']",2020-07-31T16:13:04Z,0.0
77,"['much', 'take', 'take', 'scene']",2020-07-31T16:13:22Z,0.2
92,"['nice', 'act']",2020-07-31T16:38:55Z,0.6
66,"['dramatic', 'line', 'end', 'chaotic', 'situation', 'ur', 'life', 'think', 'abt', 'speech']",2020-07-31T16:46:44Z,-0.4333333333333333
39,"['im', 'support', 'arnab', 'team', 'great', 'job', 'thank']",2020-07-31T16:49:49Z,0.8
36,"['guess', 'wait', 'result', 'though', 'let', 'see', 'interest', 'come']",2020-07-31T16:58:04Z,0.0
85,"['cbi', 'investigation', 'need', 'simple', 'investigation', 'follow', 'money', 'trail', 'lead', 'main', 'culprit']",2020-07-31T17:09:23Z,0.08333333333333333
54,"['yesu', 'act', 'quite', 'similar', 'ur', 'previous', 'act', 'jalebi']",2020-07-31T17:09:52Z,-0.08333333333333333
32,"['rhea', 'understand', 'everyone', 'know', 'actress']",2020-07-31T17:12:18Z,0.0
76,"['people', 'stop', 'give', 'judgement', 'there', 'thing', 'call', 'court', 'let', 'decide']",2020-07-31T17:18:03Z,0.0
65,"['mean', 'relation', 'maheshbhat']",2020-07-31T17:24:45Z,-0.3125
13,"['playgirl', 'criminal', 'mind', 'look', 'like', 'memorize', 'part', 'guy', 'dont', 'believe']",2020-07-31T17:25:11Z,-0.4
41,"['apparently', 'fast', 'track', 'court', 'set', 'newsroom', 'medium', 'house', 'india', 'decision', 'also', 'give', 'within', 'hour', 'time']",2020-07-31T18:10:39Z,0.2
