,snippet.topLevelComment.snippet.textDisplay,snippet.topLevelComment.snippet.publishedAt,sentiment
74,"['rip', 'sushant', 'singh', 'rajput']",2020-06-15T16:13:55Z,0.0
46,"['year', 'trust', 'indian', 'medium', 'news', 'channel', 'cause', 'depression', 'medium', 'bring', 'public', 'india', 'radio', 'news', 'paper', 'day', 'back']",2020-06-15T16:24:49Z,0.0
59,"['must', 'privilege', 'club', 'time', 'organization', 'also', 'anchor', 'part', 'club']",2020-06-15T16:29:49Z,0.0
53,"['bollywood', 'dominate', 'north', 'indian', 'delhi', 'punjab', 'le', 'chance', 'untill', 'dont', 'kapoor', 'chopra', 'khanna', 'khan', 'behind', 'name', 'time', 'boycott', 'family', 'legacy', 'base', 'indian', 'film', 'industry']",2020-06-15T16:30:43Z,-0.6000000000000001
81,"['person', 'much', 'passion', 'ambition', 'cant', 'end', 'life', 'investigation', 'must', 'watch', 'kangna', 'ranauts', 'video']",2020-06-15T16:49:05Z,0.2
20,"['guy', 'death', 'thing', 'never', 'change', 'bollywood', 'top', 'level', 'want', 'rule']",2020-06-15T16:52:44Z,0.5
71,"['award', 'functionsduring', 'talk', 'show', 'want', 'poke', 'fun', 'actor', 'actress', 'time', 'target', 'person', 'face', 'time', 'say']",2020-06-15T17:00:26Z,0.3
52,"['first', 'throw', 'karan', 'johar', 'thing', 'would', 'start', 'settle']",2020-06-15T17:10:54Z,0.25
76,"['respect', 'rahul', 'shivshankaryou', 'undoubtedly', 'best', 'havekomal', 'nahata', 'samir', 'soni', 'continue', 'lick', 'fee', 'yourip', 'true', 'talent', 'ssr']",2020-06-15T17:11:08Z,0.675
78,"['watch', 'blood', 'diamond', 'bank', 'job', 'edge', 'tomorrow', 'live', 'die', 'repeat', 'waste', 'time', 'bore', 'mainstream', 'bollywood', 'cliche', 'movie']",2020-06-15T17:17:09Z,-0.03181818181818183
6,"['kill', 'bollywood', 'people', 'like', 'want', 'happy', 'live', 'people', 'stop', 'watch', 'bwood', 'movie', 'punish', 'industry', 'murder']",2020-06-15T17:23:17Z,0.4681818181818182
57,['murdersir'],2020-06-15T17:29:34Z,0.0
23,"['agree', 'bollywood', 'suck', 'ban', 'nepotism']",2020-06-15T17:30:29Z,0.0
27,['murder'],2020-06-15T17:35:54Z,0.0
39,"['bollywood', 'fallywoodgone', 'ash']",2020-06-15T17:45:23Z,0.0
26,"['see', 'event', 'sparties', 'bollywood', 'sushant', 'always', 'remain', 'unseen', 'one', 'invite']",2020-06-15T17:46:13Z,0.0
50,"['bansalmankhan', 'bankaranjorar', 'swach', 'bollywood']",2020-06-15T17:46:33Z,0.0
55,"['waste', 'watch', 'bollywood', 'movie', 'today', 'fact', 'bollywood']",2020-06-15T17:48:10Z,-0.2
18,"['good', 'intelligent', 'skilled', 'people', 'always', 'pull', 'downthe', 'jealousy', 'fear', 'hatredness', 'kill', 'badly']",2020-06-15T18:00:49Z,0.32500000000000007
79,"['totaly', 'plan', 'murder']",2020-06-15T18:02:48Z,0.0
29,"['look', 'sceaming', 'sniving', 'puppet', 'karan', 'johar', 'komal', 'nahta', 'try', 'defend', 'master']",2020-06-15T18:13:21Z,0.0
86,"['nepotism', 'everywhere', 'field', 'look', 'even', 'tech', 'company', 'people', 'family', 'employ', 'company', 'even', 'dont', 'appropriate', 'talent', 'people', 'talent', 'link', 'kill', 'time', 'literally', 'definitely', 'mentally', 'tech', 'company', 'big', 'giant', 'thing']",2020-06-15T18:14:34Z,0.1
54,"['komal', 'nahta', 'talk', 'pay', 'check', 'bollywood', 'clique', 'still', 'doesnt', 'get', 'pretend', 'get', 'shameful']",2020-06-15T18:15:08Z,0.0
68,"['please', 'guy', 'dont', 'let', 'sushant', 'life', 'go', 'forget', 'wish', 'pray', 'journalist', 'like', 'bring', 'light', 'dark', 'human', 'existence', 'like', 'sekhender', 'say', 'human', 'virus']",2020-06-15T18:20:47Z,0.0625
58,"['yes', 'saw', 'bully', 'talented', 'actor', 'recent', 'bigboss', 'also', 'mean', 'article', 'write', 'false', 'allegation', 'make', 'blame', 'siddharth', 'shukla', 'drug', 'addict', 'undergo', 'treatment', 'notwe', 'glad', 'ppl', 'didnt', 'let', 'vote', 'right', 'talent', 'entertain', 'u', 'chela', 'bollywood', 'shameless', 'dadagiri', 'wala', 'egoistic', 'bhai', 'finish', 'actor', 'carrier', 'mess', 'dangerous', 'gang', 'cabal', 'indeed']",2020-06-15T18:22:58Z,-0.08908730158730159
51,"['bollywood', 'killer', 'nd', 'bollywood', 'killerjustice', 'sushant', 'singh', 'rajput']",2020-06-15T18:28:31Z,0.0
42,"['personally', 'believe', 'people', 'creative', 'genius', 'restrict', 'contract', 'bollywood', 'bigwig', 'shame', 'hypocrite', 'didnt', 'reward', 'sushantsingrajput', 'superlative', 'performance', 'year', 'pay', 'rich', 'tribute', 'shower', 'appreciation', 'life', 'snuff', 'prime', 'shame', 'jury', 'film', 'fraternity', 'collectively', 'rat', 'mediocre', 'film', 'like', 'gully', 'boy', 'instead', 'chichore', 'india', 'best', 'film', 'nomination', 'deserve', 'award', 'accolade', 'nepotism', 'groupism', 'stifle', 'deserve', 'actor', 'promise', 'talent', 'bollywoodblockedsushant']",2020-06-15T18:28:48Z,0.275
89,"['get', 'comment', 'govinda', 'also', 'relate', 'similar', 'issue']",2020-06-15T18:55:23Z,0.0
