id,snippet.topLevelComment.snippet.textDisplay,tone
2,Only Kangana Ranaut has guts to speak the truth ­čĹŹ,"{'document_tone': {'tones': [{'score': 0.618451, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
3,sushant singh bhai's death is not a suicide its a murder .His loss makes me feel like i have lost half of my soul,"{'document_tone': {'tones': [{'score': 0.854252, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.523822, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
4,"This is absolutely pre plan murder,it's not suicide ­čśş","{'document_tone': {'tones': [{'score': 0.928569, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
5,"I honestly never liked any Bollywood actors no matter how big they were. I never liked their movies either because it was simply not my type at all. I only had respect for Irrfan Khan and Sushant Singh and now both of them are gone living us poorer. Believe me when I say this, the Indian film industry has suffered a great great loss, they'll think that there are many actors but no one will be as good as these late actors.  I really hope that Rajkumar Rao will survive and become big in Bollywood because in my opinion, he is the only one left who can save this failing film industry. Rest in peace Sushant Singh, so deeply loved and missed.","{'document_tone': {'tones': [{'score': 1.0, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.731445, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.651028, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'I honestly never liked any Bollywood actors no matter how big they were.', 'tones': [{'score': 0.507547, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.762356, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 1, 'text': 'I never liked their movies either because it was simply not my type at all.', 'tones': [{'score': 0.595102, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.842108, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.849827, 'tone_id': 'confident', 'tone_name': 'Confident'}]}, {'sentence_id': 2, 'text': 'I only had respect for Irrfan Khan and Sushant Singh and now both of them are gone living us poorer.', 'tones': [{'score': 0.618141, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}, {'sentence_id': 3, 'text': ""Believe me when I say this, the Indian film industry has suffered a great great loss, they'll think that there are many actors but no one will be as good as these late actors."", 'tones': [{'score': 0.715835, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}, {'sentence_id': 4, 'text': 'I really hope that Rajkumar Rao will survive and become big in Bollywood because in my opinion, he is the only one left who can save this failing film industry.', 'tones': [{'score': 0.529075, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.762356, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.779898, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, {'sentence_id': 5, 'text': 'Rest in peace Sushant Singh, so deeply loved and missed.', 'tones': [{'score': 0.83096, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}]}"
6,It's a murder. Bollywood killed a brilliant actor. It's a shame!!!!,"{'document_tone': {'tones': []}, 'sentences_tone': [{'sentence_id': 0, 'text': ""It's a murder."", 'tones': [{'score': 0.931034, 'tone_id': 'fear', 'tone_name': 'Fear'}, {'score': 0.916667, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.931034, 'tone_id': 'anger', 'tone_name': 'Anger'}]}, {'sentence_id': 1, 'text': 'Bollywood killed a brilliant actor.', 'tones': []}, {'sentence_id': 2, 'text': ""It's a shame!!!!"", 'tones': [{'score': 0.931034, 'tone_id': 'fear', 'tone_name': 'Fear'}, {'score': 1.0, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}]}"
7,We need actors like Kangana to expose these elites,"{'document_tone': {'tones': [{'score': 0.5538, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}}"
8,He has been killed by Bollywood. We people liked him and wanted him happy and living. People stop watching B'wood movies and punish the industry for this murder,"{'document_tone': {'tones': [{'score': 0.592674, 'tone_id': 'anger', 'tone_name': 'Anger'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'He has been killed by Bollywood.', 'tones': []}, {'sentence_id': 1, 'text': 'We people liked him and wanted him happy and living.', 'tones': [{'score': 0.841619, 'tone_id': 'joy', 'tone_name': 'Joy'}]}, {'sentence_id': 2, 'text': ""People stop watching B'wood movies and punish the industry for this murder"", 'tones': [{'score': 0.599897, 'tone_id': 'anger', 'tone_name': 'Anger'}]}]}"
9,"When my sister first told me he died and didnÔÇÖt leave a suicide note, I KNEW this has got to be a murder. After seeing most of his interviews and hearing about his dreams, I think my suspicion is confirmed. Also it doesnÔÇÖt look like he hanged himself, it looks like someone strangled him. The lines on his neck are in the middle and not near the jaw where they would be if he were hanging from the ceiling. Look into this matter properly.","{'document_tone': {'tones': [{'score': 0.576017, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.796763, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.830474, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'When my sister first told me he died and didnÔÇÖt leave a suicide note, I KNEW this has got to be a murder.', 'tones': [{'score': 0.763201, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}, {'sentence_id': 1, 'text': 'After seeing most of his interviews and hearing about his dreams, I think my suspicion is confirmed.', 'tones': [{'score': 0.855572, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.58393, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, {'sentence_id': 2, 'text': 'Also it doesnÔÇÖt look like he hanged himself, it looks like someone strangled him.', 'tones': [{'score': 0.91961, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, {'sentence_id': 3, 'text': 'The lines on his neck are in the middle and not near the jaw where they would be if he were hanging from the ceiling.', 'tones': [{'score': 0.501764, 'tone_id': 'anger', 'tone_name': 'Anger'}]}, {'sentence_id': 4, 'text': 'Look into this matter properly.', 'tones': [{'score': 0.972214, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}]}"
10,We lost all rounder prince of India. He had uncountable knowledge and intellectual power. But cruel people finished him  ­čś×­čśş­čśş,"{'document_tone': {'tones': [{'score': 0.699402, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.922197, 'tone_id': 'confident', 'tone_name': 'Confident'}, {'score': 0.551743, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'We lost all rounder prince of India.', 'tones': [{'score': 0.753283, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.92125, 'tone_id': 'confident', 'tone_name': 'Confident'}]}, {'sentence_id': 1, 'text': 'He had uncountable knowledge and intellectual power.', 'tones': [{'score': 0.801827, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 2, 'text': 'But cruel people finished him  \xadčś×\xadčśş\xadčśş', 'tones': [{'score': 0.57585, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}]}"
11,"These people should be criminally charged,or bullying will never stop.Sushant should get Justice ­čÖĆ","{'document_tone': {'tones': [{'score': 0.529251, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}}"
